ASIN,Category,Action,Priority,ROAS_Trend,Total_Spend_Raw,Total_Ad_Sales_Raw,Overall_ROAS,Overall_ACoS%,CTR%,Conv%,Jan_Spend_26d,Jan_Daily_Spend,Jan_Proj_30d,Jan_ROAS,Feb_Spend_28d,Feb_Daily_Spend,Feb_Proj_30d,Feb_ROAS,Mar_Spend_31d,Mar_Daily_Spend,Mar_Proj_30d,Mar_ROAS,Apr_Spend_11d,Apr_Daily_Spend,Apr_Proj_30d,Apr_ROAS,Avg_Prior_Daily_Spend,Apr_vs_AvgPrior_Spend%,Avg_Prior_ROAS,Apr_ROAS_vs_Avg
B0D9HBWG5P,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,15626.0,0.0,0.0,N/A,1.38,0.0,3359.0,129.0,3876.0,0.0,4473.0,160.0,4793.0,0.0,6271.0,202.0,6068.0,0.0,1523.0,138.0,4153.0,0.0,164.0,-15.0,0,
B0CRHQLDZG,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,12144.0,0.0,0.0,N/A,0.85,0.0,364.0,14.0,420.0,0.0,2969.0,106.0,3181.0,0.0,6907.0,223.0,6684.0,0.0,1904.0,173.0,5193.0,0.0,114.0,51.0,0,
B09MY5K3SH,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,8426.0,0.0,0.0,N/A,1.12,0.0,1236.0,48.0,1427.0,0.0,134.0,5.0,144.0,0.0,7056.0,228.0,6828.0,0.0,0.0,0.0,0.0,0,93.0,,0,
B0BN5NZCGH,ASM,PAUSE - ROAS < 2x,TODAY,NEW,8242.0,0.0,0.0,N/A,0.35,0.0,1588.0,61.0,1832.0,0.0,2319.0,83.0,2485.0,0.0,3203.0,103.0,3099.0,0.0,1132.0,103.0,3088.0,0.0,82.0,25.0,0,
B0BZZHSTNQ,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,4869.0,0.0,0.0,N/A,1.28,0.0,4603.0,177.0,5311.0,0.0,266.0,9.0,285.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,93.0,,0,
B0CN177JS7,ASM,PAUSE - ROAS < 2x,TODAY,NEW,4453.0,0.0,0.0,N/A,0.45,0.0,4453.0,171.0,5138.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,171.0,,0,
B0F91VHKKW,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,4245.0,0.0,0.0,N/A,1.62,0.0,27.0,1.0,31.0,0.0,1462.0,52.0,1566.0,0.0,2057.0,66.0,1991.0,0.0,699.0,64.0,1906.0,0.0,40.0,59.0,0,
B0D9HB8LTP,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,4195.0,0.0,0.0,N/A,1.01,0.0,1281.0,49.0,1478.0,0.0,2219.0,79.0,2378.0,0.0,617.0,20.0,598.0,0.0,78.0,7.0,212.0,0.0,49.0,-86.0,0,
B0G1YQXMCY,Storage,PAUSE - ROAS < 2x,TODAY,NEW,4105.0,0.0,0.0,N/A,0.46,0.0,0.0,0.0,0.0,0,265.0,9.0,284.0,0.0,2538.0,82.0,2456.0,0.0,1302.0,118.0,3552.0,0.0,46.0,159.0,0,
B09MYDPF3Y,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,3494.0,0.0,0.0,N/A,1.33,0.0,846.0,33.0,976.0,0.0,91.0,3.0,98.0,0.0,405.0,13.0,391.0,0.0,2153.0,196.0,5871.0,0.0,16.0,1102.0,0,
B0BN631JD4,ASM,PAUSE - ROAS < 2x,TODAY,NEW,3452.0,0.0,0.0,N/A,0.55,0.0,3113.0,120.0,3592.0,0.0,21.0,1.0,22.0,0.0,211.0,7.0,205.0,0.0,107.0,10.0,291.0,0.0,42.0,-77.0,0,
B0F7RLG815,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,3231.0,0.0,0.0,N/A,2.2,0.0,27.0,1.0,31.0,0.0,55.0,2.0,58.0,0.0,2020.0,65.0,1954.0,0.0,1130.0,103.0,3081.0,0.0,23.0,352.0,0,
B0G25TVVSX,Storage,PAUSE - ROAS < 2x,TODAY,NEW,3071.0,0.0,0.0,N/A,0.76,0.0,113.0,4.0,131.0,0.0,1743.0,62.0,1867.0,0.0,296.0,10.0,287.0,0.0,919.0,84.0,2505.0,0.0,25.0,229.0,0,
B0D9C1KYDY,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,2972.0,0.0,0.0,N/A,1.29,0.0,253.0,10.0,292.0,0.0,615.0,22.0,659.0,0.0,1506.0,49.0,1457.0,0.0,598.0,54.0,1632.0,0.0,27.0,103.0,0,
B08642G3SR,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,2701.0,0.0,0.0,N/A,0.41,0.0,916.0,35.0,1057.0,0.0,718.0,26.0,770.0,0.0,920.0,30.0,890.0,0.0,146.0,13.0,398.0,0.0,30.0,-56.0,0,
B0C1431JNZ,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,2598.0,0.0,0.0,N/A,1.56,0.0,1930.0,74.0,2227.0,0.0,104.0,4.0,112.0,0.0,80.0,3.0,78.0,0.0,483.0,44.0,1317.0,0.0,27.0,64.0,0,
B0CRKWXKCK,UNCATEGORIZED,PAUSE - ROAS < 2x,TODAY,NEW,2428.0,0.0,0.0,N/A,3.65,0.0,1175.0,45.0,1356.0,0.0,1253.0,45.0,1343.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,45.0,,0,
B0F7RM1269,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,2390.0,0.0,0.0,N/A,0.53,0.0,416.0,16.0,480.0,0.0,220.0,8.0,235.0,0.0,714.0,23.0,691.0,0.0,1040.0,95.0,2837.0,0.0,16.0,505.0,0,
B086424GCB,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,2287.0,0.0,0.0,N/A,0.27,0.0,215.0,8.0,248.0,0.0,1737.0,62.0,1861.0,0.0,159.0,5.0,153.0,0.0,177.0,16.0,483.0,0.0,25.0,-36.0,0,
B0BN5P232F,ASM,PAUSE - ROAS < 2x,TODAY,NEW,2173.0,0.0,0.0,N/A,0.54,0.0,1055.0,41.0,1218.0,0.0,1089.0,39.0,1167.0,0.0,18.0,1.0,18.0,0.0,10.0,1.0,27.0,0.0,27.0,-97.0,0,
B0F48HZBYQ,ASM,PAUSE - ROAS < 2x,TODAY,NEW,1987.0,0.0,0.0,N/A,0.51,0.0,702.0,27.0,810.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1285.0,117.0,3504.0,0.0,27.0,333.0,0,
B0D9HBH1XQ,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,1955.0,0.0,0.0,N/A,0.64,0.0,1796.0,69.0,2072.0,0.0,82.0,3.0,88.0,0.0,77.0,2.0,74.0,0.0,0,0.0,0.0,0,25.0,,0,
B0G1YX68NH,Storage,PAUSE - ROAS < 2x,TODAY,NEW,1939.0,0.0,0.0,N/A,0.49,0.0,0.0,0.0,0.0,0,1634.0,58.0,1751.0,0.0,206.0,7.0,200.0,0.0,99.0,9.0,270.0,0.0,33.0,-72.0,0,
B0D9D3X4WF,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,1812.0,0.0,0.0,N/A,1.77,0.0,740.0,28.0,854.0,0.0,172.0,6.0,184.0,0.0,506.0,16.0,489.0,0.0,395.0,36.0,1077.0,0.0,17.0,112.0,0,
B0CRKV5XTR,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,1259.0,0.0,0.0,N/A,0.94,0.0,343.0,13.0,395.0,0.0,144.0,5.0,154.0,0.0,575.0,19.0,556.0,0.0,198.0,18.0,540.0,0.0,12.0,46.0,0,
B0FMRH64X9,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,1219.0,0.0,0.0,N/A,0.75,0.0,1103.0,42.0,1273.0,0.0,116.0,4.0,124.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,23.0,,0,
B0CJJPJP4M,ASM,PAUSE - ROAS < 2x,TODAY,NEW,1204.0,0.0,0.0,N/A,0.49,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1204.0,109.0,3285.0,0.0,0,,0,
B0F9X8LW1G,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,1183.0,0.0,0.0,N/A,1.7,0.0,48.0,2.0,55.0,0.0,260.0,9.0,278.0,0.0,766.0,25.0,741.0,0.0,109.0,10.0,298.0,0.0,12.0,-17.0,0,
B0G1YNMTPK,Storage,PAUSE - ROAS < 2x,TODAY,NEW,1089.0,0.0,0.0,N/A,0.66,0.0,43.0,2.0,50.0,0.0,366.0,13.0,392.0,0.0,483.0,16.0,467.0,0.0,197.0,18.0,538.0,0.0,10.0,78.0,0,
B0F228RM13,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,1065.0,0.0,0.0,N/A,1.45,0.0,471.0,18.0,543.0,0.0,137.0,5.0,146.0,0.0,454.0,15.0,440.0,0.0,4.0,0.0,10.0,0.0,13.0,-97.0,0,
B0CJR97J2H,ASM,PAUSE - ROAS < 2x,TODAY,NEW,842.0,0.0,0.0,N/A,0.35,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,842.0,77.0,2297.0,0.0,0,,0,
B0C145JTP3,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,710.0,0.0,0.0,N/A,1.02,0.0,114.0,4.0,132.0,0.0,304.0,11.0,326.0,0.0,152.0,5.0,147.0,0.0,140.0,13.0,382.0,0.0,7.0,90.0,0,
B0G1YHH1ZN,Storage,PAUSE - ROAS < 2x,TODAY,NEW,674.0,0.0,0.0,N/A,1.27,0.0,0.0,0.0,0.0,0,22.0,1.0,24.0,0.0,547.0,18.0,530.0,0.0,105.0,10.0,286.0,0.0,9.0,3.0,0,
B0D92MQ123,BPM,PAUSE - ROAS < 2x,TODAY,NEW,656.0,0.0,0.0,N/A,1.03,0.0,0,0.0,0.0,0,0,0.0,0.0,0,383.0,12.0,370.0,0.0,273.0,25.0,745.0,0.0,12.0,101.0,0,
B0B6T6D2YV,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,576.0,0.0,0.0,N/A,1.4,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0,0.0,564.0,51.0,1537.0,0.0,0.0,22430.0,0,
B0CRKQJNL4,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,540.0,0.0,0.0,N/A,2.2,0.0,183.0,7.0,211.0,0.0,79.0,3.0,85.0,0.0,278.0,9.0,269.0,0.0,0.0,0.0,0.0,0,6.0,,0,
B0C145GFJY,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,533.0,0.0,0.0,N/A,0.54,0.0,54.0,2.0,63.0,0.0,205.0,7.0,220.0,0.0,229.0,7.0,222.0,0.0,45.0,4.0,122.0,0.0,6.0,-28.0,0,
B0GQ4L7R75,BPM,PAUSE - ROAS < 2x,TODAY,NEW,492.0,0.0,0.0,N/A,1.36,0.0,0,0.0,0.0,0,0,0.0,0.0,0,198.0,6.0,191.0,0.0,295.0,27.0,804.0,0.0,6.0,321.0,0,
B0D9QXVWLL,BPM,PAUSE - ROAS < 2x,TODAY,NEW,456.0,0.0,0.0,N/A,1.24,0.0,0,0.0,0.0,0,0,0.0,0.0,0,298.0,10.0,289.0,0.0,158.0,14.0,430.0,0.0,10.0,49.0,0,
B0FP9WSZ8Q,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,423.0,0.0,0.0,N/A,0.58,0.0,370.0,14.0,427.0,0.0,43.0,2.0,46.0,0.0,6.0,0.0,6.0,0.0,3.0,0.0,9.0,0.0,5.0,-94.0,0,
B0D9HBVW5C,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,422.0,0.0,0.0,N/A,0.5,0.0,0,0.0,0.0,0,0,0.0,0.0,0,312.0,10.0,302.0,0.0,110.0,10.0,299.0,0.0,10.0,-1.0,0,
B0BN5QG1KJ,ASM,PAUSE - ROAS < 2x,TODAY,NEW,391.0,0.0,0.0,N/A,1.34,0.0,309.0,12.0,356.0,0.0,13.0,0.0,13.0,0.0,61.0,2.0,59.0,0.0,8.0,1.0,23.0,0.0,5.0,-84.0,0,
B0G1YY2HNF,Storage,PAUSE - ROAS < 2x,TODAY,NEW,380.0,0.0,0.0,N/A,0.31,0.0,9.0,0.0,10.0,0.0,347.0,12.0,372.0,0.0,8.0,0.0,7.0,0.0,16.0,1.0,44.0,0.0,4.0,-66.0,0,
B0G1YPN442,Storage,PAUSE - ROAS < 2x,TODAY,NEW,375.0,0.0,0.0,N/A,0.42,0.0,8.0,0.0,10.0,0.0,12.0,0.0,12.0,0.0,247.0,8.0,239.0,0.0,108.0,10.0,294.0,0.0,3.0,238.0,0,
B0F2TLCK85,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,351.0,0.0,0.0,N/A,0.5,0.0,341.0,13.0,394.0,0.0,0.0,0.0,0.0,0,10.0,0.0,10.0,0.0,0,0.0,0.0,0,7.0,,0,
B0D54GKMYX,BPM,PAUSE - ROAS < 2x,TODAY,NEW,347.0,0.0,0.0,N/A,0.52,0.0,0,0.0,0.0,0,0,0.0,0.0,0,148.0,5.0,143.0,0.0,199.0,18.0,542.0,0.0,5.0,278.0,0,
B0BZZF4Z21,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,342.0,0.0,0.0,N/A,3.72,0.0,327.0,13.0,378.0,0.0,15.0,1.0,16.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,7.0,,0,
B0C141W8X1,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,342.0,0.0,0.0,N/A,0.55,0.0,47.0,2.0,54.0,0.0,69.0,2.0,74.0,0.0,95.0,3.0,92.0,0.0,132.0,12.0,359.0,0.0,2.0,389.0,0,
B0D9HH4VYG,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,307.0,0.0,0.0,N/A,0.56,0.0,17.0,1.0,20.0,0.0,14.0,0.0,15.0,0.0,245.0,8.0,237.0,0.0,31.0,3.0,86.0,0.0,3.0,-5.0,0,
B0G1YX6GXV,Storage,PAUSE - ROAS < 2x,TODAY,NEW,294.0,0.0,0.0,N/A,1.54,0.0,0.0,0.0,0.0,0,178.0,6.0,190.0,0.0,67.0,2.0,65.0,0.0,49.0,4.0,133.0,0.0,4.0,5.0,0,
B0FMP6CMM6,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,278.0,0.0,0.0,N/A,0.75,0.0,54.0,2.0,62.0,0.0,26.0,1.0,28.0,0.0,160.0,5.0,155.0,0.0,39.0,4.0,105.0,0.0,3.0,29.0,0,
B0CJR9TTCR,ASM,PAUSE - ROAS < 2x,TODAY,NEW,272.0,0.0,0.0,N/A,0.35,0.0,38.0,1.0,44.0,0.0,27.0,1.0,29.0,0.0,109.0,4.0,106.0,0.0,97.0,9.0,266.0,0.0,2.0,346.0,0,
B0D9HD43H9,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,266.0,0.0,0.0,N/A,0.39,0.0,35.0,1.0,41.0,0.0,106.0,4.0,113.0,0.0,126.0,4.0,122.0,0.0,0,0.0,0.0,0,3.0,,0,
B0CJJSVBSJ,ASM,PAUSE - ROAS < 2x,TODAY,NEW,264.0,0.0,0.0,N/A,0.31,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,264.0,24.0,721.0,0.0,0,,0,
B0B6VDFMJT,EVA_Kids,PAUSE - ROAS < 2x,TODAY,NEW,249.0,0.0,0.0,N/A,1.54,0.0,14.0,1.0,16.0,0.0,12.0,0.0,13.0,0.0,123.0,4.0,119.0,0.0,101.0,9.0,274.0,0.0,2.0,458.0,0,
B0C143T5D8,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,240.0,0.0,0.0,N/A,0.72,0.0,14.0,1.0,17.0,0.0,62.0,2.0,66.0,0.0,164.0,5.0,159.0,0.0,0,0.0,0.0,0,3.0,,0,
B0CRKV6Z84,EVA_Gym,PAUSE - ROAS < 2x,TODAY,NEW,238.0,0.0,0.0,N/A,0.52,0.0,50.0,2.0,58.0,0.0,12.0,0.0,13.0,0.0,16.0,1.0,15.0,0.0,160.0,15.0,436.0,0.0,1.0,1420.0,0,
B0G1YKGMTJ,Storage,PAUSE - ROAS < 2x,TODAY,NEW,222.0,0.0,0.0,N/A,0.58,0.0,0.0,0.0,0.0,0,72.0,3.0,77.0,0.0,70.0,2.0,68.0,0.0,80.0,7.0,219.0,0.0,2.0,202.0,0,
B0F48HNNB1,ASM,PAUSE - ROAS < 2x,TODAY,NEW,204.0,0.0,0.0,N/A,0.44,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,204.0,19.0,557.0,0.0,0,,0,
