Campaign,Type,Category,Status,Action,Total_Spend_Raw,Total_Sales_Raw,Overall_ROAS,Jan_Spend,Jan_Daily,Jan_Proj_30d,Jan_ROAS,Feb_Spend,Feb_Daily,Feb_Proj_30d,Feb_ROAS,Mar_Spend,Mar_Daily,Mar_Proj_30d,Mar_ROAS,Apr_Spend_11d,Apr_Daily,Apr_Proj_30d,Apr_ROAS,Avg_Prior_Daily,Apr_vs_AvgPrior%,Avg_Prior_ROAS
SPA-EVA Kids Mat,SP,EVA_Kids,ENABLED,MONITOR,78686.0,726639.0,9.23,17707.0,681.0,20432.0,12.27,23687.0,846.0,25379.0,7.51,27248.0,879.0,26369.0,8.9,10044.0,913.0,27393.0,8.85,802.0,14.0,9.56
SP-KT-EVA Gym Mat- (Gym Mats for Floor),SP,EVA_Gym,ENABLED,MONITOR,38729.0,278908.0,7.2,13717.0,528.0,15827.0,5.66,14256.0,509.0,15274.0,7.15,8439.0,272.0,8167.0,7.67,2318.0,211.0,6322.0,14.91,436.0,-52.0,6.83
SP-PT-EVA Gym Mat- (B0D95TB7KV Xtrim),SP,EVA_Gym,ENABLED,MONITOR,34325.0,231033.0,6.73,3964.0,152.0,4574.0,6.03,12279.0,439.0,13156.0,6.96,12121.0,391.0,11730.0,6.87,5960.0,542.0,16254.0,6.44,327.0,66.0,6.62
SPA-EVA Gym Mat,SP,EVA_Gym,ENABLED,MONITOR,33719.0,325378.0,9.65,6266.0,241.0,7230.0,10.18,12140.0,434.0,13007.0,12.45,12018.0,388.0,11630.0,5.76,3295.0,300.0,8986.0,12.53,354.0,-15.0,9.46
SPA-Storage Bag,SP,Storage,ENABLED,MONITOR,32726.0,120927.0,3.7,7500.0,288.0,8654.0,3.25,5652.0,202.0,6055.0,3.45,13306.0,429.0,12876.0,4.08,6269.0,570.0,17096.0,3.63,307.0,86.0,3.59
SP-KT-ASM- Broad Keywords,SP,ASM,PAUSED,MONITOR,26525.0,157127.0,5.92,8708.0,335.0,10048.0,4.41,8541.0,305.0,9151.0,7.0,5498.0,177.0,5321.0,7.25,3778.0,343.0,10303.0,5.04,272.0,26.0,6.22
SP-KT-EVA Gym Mat- (Gym Mat),SP,EVA_Gym,ENABLED,MONITOR,25931.0,188627.0,7.27,8438.0,325.0,9736.0,7.67,8056.0,288.0,8631.0,7.59,5455.0,176.0,5279.0,5.96,3983.0,362.0,10862.0,7.6,263.0,38.0,7.07
SP-KT-ASM- *(Shelf Liners),SP,ASM,ENABLED,MONITOR,25683.0,122435.0,4.77,8114.0,312.0,9363.0,4.48,6961.0,249.0,7458.0,6.2,5654.0,182.0,5472.0,5.24,4953.0,450.0,13510.0,2.69,248.0,82.0,5.31
SP-PT-EVA Kids Mat- (Defensive),SP,EVA_Kids,ENABLED,MONITOR,20672.0,351272.0,16.99,8846.0,340.0,10207.0,11.52,4155.0,148.0,4452.0,19.03,4879.0,157.0,4721.0,26.26,2791.0,254.0,7613.0,15.1,215.0,18.0,18.94
SP-PT-EVA Kids Mat- (B08JZ8SS2H Liltoes),SP,EVA_Kids,ENABLED,CUT - Spend UP 338% with ROAS declining,20387.0,258469.0,12.68,1044.0,40.0,1205.0,27.57,929.0,33.0,995.0,19.13,11358.0,366.0,10992.0,12.22,7056.0,641.0,19245.0,10.36,147.0,338.0,19.64
SPA-Liltoes-EVA Kids Mat,SP,EVA_Kids,ENABLED,MONITOR,18349.0,226200.0,12.33,1085.0,42.0,1252.0,7.54,4300.0,154.0,4607.0,14.75,9959.0,321.0,9638.0,10.99,3005.0,273.0,8195.0,15.01,172.0,59.0,11.09
SP-PT-EVA Gym Mat- (B0CHMZCX43 Xtrim),SP,EVA_Gym,ENABLED,MONITOR,18328.0,120662.0,6.58,2760.0,106.0,3184.0,5.66,8935.0,319.0,9574.0,7.24,6112.0,197.0,5915.0,5.02,521.0,47.0,1421.0,18.54,207.0,-77.0,5.97
SP-KT-EVA Gym Mat- (Rubber Mat for Gym),SP,EVA_Gym,ENABLED,MONITOR,15649.0,116378.0,7.44,3535.0,136.0,4078.0,7.38,7165.0,256.0,7676.0,7.96,2934.0,95.0,2840.0,7.3,2015.0,183.0,5495.0,5.89,162.0,13.0,7.54
SPA-EVA Kids Mat PO9,SP,EVA_Kids,ENABLED,MONITOR,15339.0,138866.0,9.05,5214.0,201.0,6016.0,8.3,4995.0,178.0,5352.0,6.69,3222.0,104.0,3118.0,15.47,1907.0,173.0,5201.0,6.47,161.0,8.0,10.15
SP-KT-EVA Kids Mat- (Interlocking Play Mats for Kids),SP,EVA_Kids,ENABLED,REVIEW - Daily spend UP 110% vs avg,15106.0,226911.0,15.02,3356.0,129.0,3873.0,20.36,2994.0,107.0,3208.0,10.49,5560.0,179.0,5381.0,17.44,3196.0,291.0,8717.0,9.44,138.0,110.0,16.1
SP-KT-ASM-Multi Keywords,SP,ASM,ENABLED,MONITOR,14782.0,62573.0,4.23,3563.0,137.0,4111.0,3.77,4881.0,174.0,5230.0,4.91,4672.0,151.0,4521.0,3.89,1666.0,151.0,4544.0,4.2,154.0,-2.0,4.19
SP-PT-ASM- (B0D7W73KZ1 Senego),SP,ASM,ENABLED,MONITOR,14511.0,89828.0,6.19,3364.0,129.0,3882.0,5.49,5717.0,204.0,6126.0,7.19,3682.0,119.0,3563.0,6.58,1748.0,159.0,4768.0,3.47,151.0,5.0,6.42
SP-PT-EVA Gym Mat-Defensive,SP,EVA_Gym,ENABLED,MONITOR,14104.0,249359.0,17.68,3622.0,139.0,4179.0,18.0,5281.0,189.0,5659.0,19.45,4037.0,130.0,3907.0,17.46,1164.0,106.0,3175.0,9.39,153.0,-31.0,18.31
SP-PT-SB-(B07BZ1XZ77 Storite),SP,UNCATEGORIZED,ENABLED,REVIEW - Daily spend UP 242% vs avg,13611.0,35841.0,2.63,0.0,0.0,0.0,0,3064.0,109.0,3282.0,2.01,5281.0,170.0,5111.0,3.05,5266.0,479.0,14361.0,2.58,140.0,242.0,2.53
