Month,Days_in_Period,Category,Raw_Spend,Raw_Sales,Daily_Spend,Daily_Ad_Sales,Proj_30d_Spend,Proj_30d_Sales,ROAS,ACoS%,Target_ACoS%,ACoS_vs_Target,Target_ROAS,CPC,CTR%,Conv%,Clicks,Impressions,SP_Spend,SD_Spend
2026-01,26,ASM,54708.0,0.0,2104.0,0.0,63125.0,0.0,0.0,0,0,,0,11.6,0.49,0.0,4727,955758,54708.0,0
2026-02,28,ASM,42100.0,9525.0,1504.0,340.0,45108.0,10205.0,0.23,442.0,0,,0,13.4,0.47,0.0,3132,660869,39298.0,2802.0
2026-03,31,ASM,34857.0,10817.0,1124.0,349.0,33733.0,10468.0,0.31,322.3,0,,0,14.8,0.48,0.0,2360,494443,31076.0,3781.0
2026-04,11,ASM,21076.0,6503.0,1916.0,591.0,57481.0,17735.0,0.31,324.1,0,,0,12.9,0.47,0.0,1639,346168,20433.0,643.0
2026-03,31,BPM,16852.0,0.0,544.0,0.0,16308.0,0.0,0.0,0,0,,0,6.4,0.97,0.0,2620,269048,16852.0,0
2026-04,11,BPM,16339.0,0.0,1485.0,0.0,44562.0,0.0,0.0,0,0,,0,6.5,0.99,0.0,2506,252205,16339.0,0
2026-01,26,EVA_Gym,44313.0,0.0,1704.0,0.0,51131.0,0.0,0.0,0,0,,0,6.9,0.66,0.0,6457,978650,44313.0,0
2026-02,28,EVA_Gym,84670.0,52293.0,3024.0,1868.0,90718.0,56029.0,0.62,161.9,0,,0,7.5,0.83,0.0,11326,1364719,80931.0,3739.0
2026-03,31,EVA_Gym,73955.0,49704.0,2386.0,1603.0,71569.0,48101.0,0.67,148.8,0,,0,7.7,0.72,0.0,9587,1340479,67117.0,6838.0
2026-04,11,EVA_Gym,31014.0,15811.0,2819.0,1437.0,84585.0,43122.0,0.51,196.2,0,,0,8.6,0.72,0.0,3604,502940,29138.0,1876.0
2026-01,26,EVA_Kids,94772.0,0.0,3645.0,0.0,109352.0,0.0,0.0,0,0,,0,6.1,1.08,0.0,15443,1424001,94772.0,0
2026-02,28,EVA_Kids,80593.0,35612.0,2878.0,1272.0,86349.0,38156.0,0.44,226.3,0,,0,5.6,0.9,0.0,14409,1604071,77116.0,3477.0
2026-03,31,EVA_Kids,98667.0,105933.0,3183.0,3417.0,95484.0,102516.0,1.07,93.1,0,,0,6.3,0.95,0.0,15546,1641372,91814.0,6853.0
2026-04,11,EVA_Kids,37796.0,15521.0,3436.0,1411.0,103080.0,42330.0,0.41,243.5,0,,0,7.8,1.02,0.0,4824,475230,35942.0,1854.0
2026-01,26,Storage,11868.0,0.0,456.0,0.0,13694.0,0.0,0.0,0,0,,0,10.5,0.48,0.0,1134,238668,11868.0,0
2026-02,28,Storage,22061.0,4174.0,788.0,149.0,23637.0,4472.0,0.19,528.6,0,,0,12.0,0.65,0.0,1832,280913,21834.0,227.0
2026-03,31,Storage,42063.0,0.0,1357.0,0.0,40706.0,0.0,0.0,0,0,,0,12.9,0.62,0.0,3272,531168,40886.0,1177.0
2026-04,11,Storage,23026.0,2670.0,2093.0,243.0,62797.0,7283.0,0.12,862.2,0,,0,15.9,0.67,0.0,1449,217642,22496.0,529.0
2026-01,26,UNCATEGORIZED,1219.0,0.0,47.0,0.0,1407.0,0.0,0.0,0,0,,0,6.6,2.48,0.0,186,7501,1219.0,0
2026-02,28,UNCATEGORIZED,1260.0,0.0,45.0,0.0,1350.0,0.0,0.0,0,0,,0,5.8,4.79,0.0,218,4548,1260.0,0.0
2026-04,11,UNCATEGORIZED,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,,0,0,0.0,0,0,92,0,2.0
