Action Type,Item,Campaign,Ad Group,Current Bid,New Bid,ACoS,Clicks,Cost,Sales,Orders,Reason,Executed
BID_INCREASE,gym mats for floor,SP-KT-EVA Gym Mat- (Gym Mats for Floor),Ad Group - 24/5/2025 11:34:17.967,8.11,9.73,11.1%,869,7337.47,65957.13,,Strong performer: ACoS 11.1% < target 25.0%,False
BID_INCREASE,gym floor mat rubber,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),Ad Group - 24/5/2025 11:37:06.999,7.76,9.31,8.1%,110,703.91,8720.94,,Strong performer: ACoS 8.1% < target 25.0%,False
BID_INCREASE,gym mat,SP-KT-EVA Gym Mat- (Gym Mat),Ad Group - 24/5/2025 11:37:01.833,15.0,18.0,16.5%,465,5370.81,32517.14,,Strong performer: ACoS 16.5% < target 25.0%,False
BID_INCREASE,gym floor mat,SP-KT-EVA Gym Mat- (Gym Floor Mat),Ad Group - 24/5/2025 11:37:17.806,7.16,8.59,7.4%,79,578.52,7842.87,,Strong performer: ACoS 7.4% < target 25.0%,False
BID_INCREASE,rubber mat for gym,SP-KT-EVA Gym Mat- (Rubber Mat for Gym),Ad Group - 24/5/2025 12:15:14.966,15.0,18.0,11.7%,269,2845.34,24253.33,,Strong performer: ACoS 11.7% < target 25.0%,False
BID_PAUSE,gym floor mats for heavy workout,SP-KT-EVA Gym Mat- (Gym Floor Mat for Heavy Workout),Ad Group - 24/5/2025 12:15:32.648,8.3,1.0,inf%,52,313.36,0.0,,No sales after 52 clicks (spent ₹313.36),False
BID_INCREASE,"asin=""B09SJ6VDN4""",SP-PT-EVA Gym Mat- (B09SJ6VDN4 Nasmodo),Ad Group - 24/5/2025 13:46:42.503,6.0,7.2,15.1%,311,2200.48,14603.8,,Strong performer: ACoS 15.1% < target 25.0%,False
BID_INCREASE,"asin=""B0D95TB7KV""",SP-PT-EVA Gym Mat- (B0D95TB7KV Xtrim),Ad Group - 24/5/2025 13:46:29.001,10.0,12.0,13.7%,1430,11874.97,86589.48,,Strong performer: ACoS 13.7% < target 25.0%,False
BID_DECREASE,"asin=""B0D95SFFL9""",SP-PT-EVA Gym Mat- (B0D95SFFL9 Xtrim),Ad Group - 24/5/2025 13:46:35.933,4.0,2.8,50.5%,206,1259.38,2491.43,,High ACoS: 50.5% > target 25.0%,False
BID_INCREASE,"asin=""B09QMK3PC5""",SP-PT-EVA Gym Mat- (B09QMK3PC5 Nasmodo),Ad Group - 24/5/2025 14:27:48.286,7.0,8.4,15.2%,111,995.02,6532.38,,Strong performer: ACoS 15.2% < target 25.0%,False
BID_PAUSE,"asin=""B0784MK315""",SP-PT-EVA Gym Mat- (B0784MK315 Kobo),Ad Group - 24/5/2025 14:28:04.922,8.0,1.0,inf%,35,300.1,0.0,,No sales after 35 clicks (spent ₹300.10),False
BID_INCREASE,loose-match,SPA-EVA Gym Mat,Ad Group - 26/5/2025 10:56:55.000,1.0,1.2,1.3%,88,101.97,7599.06,,Strong performer: ACoS 1.3% < target 25.0%,False
