cost,unitsSoldClicks1d,campaignId,campaignStatus,clicks,purchases1d,sales1d,impressions,campaignName,campaignBudgetAmount
9964.09,58,535245711377,ENABLED,2077,47,121479.99,244327,SPA-Liltoes-EVA Kids Mat,400.0
1241.92,17,20968751452637,ENABLED,112,17,8545.4,7483,SP-PT-Storage Bag-Defensive,200.0
483.83,3,158475079786365,ENABLED,34,3,1866.67,5690,SP-KT-Cloth Storage Bags for Clothes,200.0
364.99,0,256308032752309,ENABLED,35,0,0,4438,SP-KT-Blanket Cover Bag,200.0
1507.1,12,247409222779109,ENABLED,114,12,5899.27,17900,SP-KT-Storage Bag,300.0
1421.61,10,10906973167401,ENABLED,116,9,5283.82,20723,SP-KT-Storage Bags for Clothes,200.0
8250.64,53,39113273495549,ENABLED,620,49,30596.95,109835,SP-KT-Storage Bags for Clothes Large,400.0
509.03,2,82554496906576,ENABLED,46,2,869.74,8002,SP-KT-Clothes Storage Box,200.0
163.07,2,9582538140844,ENABLED,14,2,890.92,8395,SP-KT-Under Bed Storage Organizer Box,200.0
966.28,3,255888663353885,ENABLED,87,3,1885.72,33007,SP-KT-Blanket Storage Bags,200.0
849.16,4,6450007315179,ENABLED,79,4,1415.45,9140,SP-PT-SB-(B07QRQZK1G Storite),200.0
612.91,4,256312749004119,ENABLED,43,4,3033.06,6413,SP-PT-SB-(B0DBDYX4W6 Storite),100.0
3326.73,23,241740193793969,ENABLED,275,21,12359.7,35156,SP-PT-SB-(B07B8K3RQK Storite),200.0
1223.57,6,65232048239628,ENABLED,99,6,2624.21,11659,SP-PT-SB-(B0DBDWG8K4 Storite),100.0
5529.59,28,203340432142488,ENABLED,350,25,17048.55,32787,SP-PT-SB-(B07BZ1XZ77 Storite),300.0
91.06,2,33915106654796,ENABLED,7,2,1347.62,1293,SP-PT-SB-(B081T9SFWY Storite),100.0
182.87,3,59099144882217,ENABLED,37,2,6837.15,4885,SP-KT-EVA Kids Mat-(kids play mats for floor),100.0
114.84,1,85048571595974,ENABLED,23,1,2566.67,6410,SP-KT-EVA Kids Mat-(playing mat for kids),100.0
1662.21,1,3283598490371,ENABLED,232,1,2611.43,18429,SP-KT-EVA Kids Mat-(kids mats for floor thick),300.0
2087.89,7,168320907718990,ENABLED,247,6,17463.79,24423,SP-KT-EVA Kids Mat-(mat for kids playing),300.0
924.0,4,97733685567435,ENABLED,179,4,11780.95,24163,SP-KT-EVA EHK Gym Mat- (Interlocking Floor Mat),100.0
3003.92,12,140185208970172,ENABLED,471,12,19713.32,67858,SP-KT-EVA EHK Gym Mat- (Gym Mats for Floor),300.0
821.15,3,219925089309364,ENABLED,132,3,7483.81,17737,SP-KT-EVA EHK Gym Mat- (Gym Mat),150.0
2291.63,6,81689102298827,ENABLED,298,6,13104.76,42262,SP-KT-EVA EHK Gym Mat- (Rubber Mat for Gym),300.0
434.77,1,196874581232754,ENABLED,82,1,3296.19,11131,SP-KT-EVA EHK B&G Gym Mat- (Gym floor Mat Rubber),100.0
