cost,unitsSoldClicks1d,campaignId,campaignStatus,clicks,purchases1d,sales1d,impressions,campaignName,campaignBudgetAmount
9964.09,58,535245711377,ENABLED,2077,47,121479.99,244326,SPA-Liltoes-EVA Kids Mat,400.0
1233.35,17,20968751452637,ENABLED,111,17,8545.4,7384,SP-PT-Storage Bag-Defensive,200.0
483.83,3,158475079786365,ENABLED,34,3,1866.67,5657,SP-KT-Cloth Storage Bags for Clothes,200.0
364.99,0,256308032752309,ENABLED,35,0,0,4423,SP-KT-Blanket Cover Bag,200.0
1507.1,12,247409222779109,ENABLED,114,12,5899.27,17818,SP-KT-Storage Bag,300.0
1395.96,10,10906973167401,ENABLED,114,9,5283.82,20446,SP-KT-Storage Bags for Clothes,200.0
8210.48,53,39113273495549,ENABLED,617,49,30596.95,109375,SP-KT-Storage Bags for Clothes Large,400.0
509.03,2,82554496906576,ENABLED,46,2,869.74,7986,SP-KT-Clothes Storage Box,200.0
163.07,2,9582538140844,ENABLED,14,2,890.92,8395,SP-KT-Under Bed Storage Organizer Box,200.0
966.28,3,255888663353885,ENABLED,87,3,1885.72,33002,SP-KT-Blanket Storage Bags,200.0
849.16,4,6450007315179,ENABLED,79,4,1415.45,8967,SP-PT-SB-(B07QRQZK1G Storite),200.0
598.74,4,256312749004119,ENABLED,42,4,3033.06,6307,SP-PT-SB-(B0DBDYX4W6 Storite),100.0
3326.73,23,241740193793969,ENABLED,275,21,12359.7,35088,SP-PT-SB-(B07B8K3RQK Storite),200.0
1223.57,6,65232048239628,ENABLED,99,6,2624.21,11584,SP-PT-SB-(B0DBDWG8K4 Storite),100.0
5393.0,27,203340432142488,ENABLED,342,24,16148.55,32270,SP-PT-SB-(B07BZ1XZ77 Storite),300.0
91.06,2,33915106654796,ENABLED,7,2,1347.62,1286,SP-PT-SB-(B081T9SFWY Storite),100.0
182.87,3,59099144882217,ENABLED,37,2,6837.15,4885,SP-KT-EVA Kids Mat-(kids play mats for floor),100.0
114.84,1,85048571595974,ENABLED,23,1,2566.67,6407,SP-KT-EVA Kids Mat-(playing mat for kids),100.0
1649.81,1,3283598490371,ENABLED,231,1,2611.43,18272,SP-KT-EVA Kids Mat-(kids mats for floor thick),300.0
2005.19,7,168320907718990,ENABLED,241,6,17463.79,23944,SP-KT-EVA Kids Mat-(mat for kids playing),300.0
877.44,4,97733685567435,ENABLED,171,4,11780.95,23065,SP-KT-EVA EHK Gym Mat- (Interlocking Floor Mat),100.0
2785.32,11,140185208970172,ENABLED,440,11,18065.7,64655,SP-KT-EVA EHK Gym Mat- (Gym Mats for Floor),300.0
821.15,3,219925089309364,ENABLED,132,3,7483.81,17352,SP-KT-EVA EHK Gym Mat- (Gym Mat),150.0
2236.33,6,81689102298827,ENABLED,292,6,13104.76,41022,SP-KT-EVA EHK Gym Mat- (Rubber Mat for Gym),300.0
424.26,1,196874581232754,ENABLED,80,1,3296.19,10612,SP-KT-EVA EHK B&G Gym Mat- (Gym floor Mat Rubber),100.0
16.95,0,187742561244204,ENABLED,3,0,0,1681,SP-KT-EVA EHK Gym Mat- (Gym Floor Mat),100.0
16.67,1,38747506437576,ENABLED,3,1,4185.71,237,SP-KT-EVA EHK `Gym Mat (Gym Flooring),100.0
