sku,asin,quantity,item_price,item_status,order_date
Antislipmat_Grey_Lines_45cmx5mtr,B0CJJPJP4M,1,395.0,Shipped,2026-04-10T21:17:25+00:00
eHK_Black&Grey_EVA_PO12,B0D9HDTQ5B,1,2645.0,Shipped,2026-04-10T21:00:57+00:00
eva_mats_multi_16,B0822GYVNX,1,2925.0,Shipped,2026-04-10T19:09:16+00:00
SB_Orange & Navy Blue_70Ltrs_PO2,B0G1YHH1ZN,1,495.0,Shipped,2026-04-10T19:08:46+00:00
SB_Black&White_70Ltrs_PO2,B0G1YKGMTJ,1,495.0,Unshipped,2026-04-10T19:05:26+00:00
SB_Grey&Black_70Ltrs_PO2,B0G1YT2S5N,0,0.0,Cancelled,2026-04-10T19:02:01+00:00
Antislipmat_Clear_Lines_45cmx1.5mtr,B0CJR94LNG,1,177.0,Shipped,2026-04-10T18:55:12+00:00
LT_Baby_Play_Mat_R,B0D92MQ123,1,895.0,Shipped,2026-04-10T18:51:38+00:00
LT_Baby_Play_Mat_R_L,B0GSVW2GQ2,1,995.0,Shipped,2026-04-10T17:56:13+00:00
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,1,269.0,Unshipped,2026-04-10T17:51:40+00:00
LT_Baby_Play_Mat_R_L,B0GSVW2GQ2,1,995.0,Shipped,2026-04-10T17:30:17+00:00
EH_EVA_Grey_Mat_PO04,B0FMRH64X9,1,841.0,Unshipped,2026-04-10T17:10:49+00:00
Antislipmat_Clear_Lines_45cmx10mtr,B0CJR9B2KC,1,785.0,Shipped,2026-04-10T16:39:23+00:00
AntiSkidMat_Diamond_Clear_60cmx10mtr,B0BN631JD4,1,885.0,Shipped,2026-04-10T16:35:36+00:00
LT_Baby_Play_Mat_N,B0D9QXVWLL,1,895.0,Shipped,2026-04-10T16:18:09+00:00
SB_Orange&Navy Blue_33Ltrs_PO2,B0G1YX6GXV,1,475.0,Shipped,2026-04-10T16:02:22+00:00
LT_Baby_Play_Mat_R,B0D92MQ123,1,895.0,Shipped,2026-04-10T16:01:01+00:00
LT_Baby_Play_Mat_R_L,B0GSVW2GQ2,1,995.0,Shipped,2026-04-10T15:58:34+00:00
Antislipmat_Clear_Lines_60cmx3mtr,B0CJR94WSS,1,464.0,Shipped,2026-04-10T15:55:50+00:00
SB_Orange&Navy Blue_33Ltrs_PO2,B0G1YX6GXV,1,475.0,Unshipped,2026-04-10T15:55:06+00:00
