ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category
B09MYDPF3Y,EH-Multicolor-Interlock-Mat-4,339486,4796,36420.6,292449.56,112,175,12.45,8.03,1.41,2.34,7.59,20,PUSH HARDER
B0G1YX6GXV,SB_Orange&Navy Blue_33Ltrs_PO2,177682,1383,20520.5,70450.27,121,137,29.13,3.43,0.78,8.75,14.84,9,MONITOR
B0CRKV5XTR,eHK_EVA_Black_4,210605,2496,18137.28,96114.31,56,61,18.87,5.3,1.19,2.24,7.27,22,WINNER
B0CN177JS7,AntiSkidMat_Diamond_Grey_60cmx10mtr,125031,952,15178.8,78212.03,89,108,19.41,5.15,0.76,9.35,15.94,24,WINNER
B0D92MQ123,LT_Baby_Play_Mat_R,169659,1798,11917.15,41578.8,49,49,28.66,3.49,1.06,2.73,6.63,10,MONITOR
B0BN631JD4,AntiSkidMat_Diamond_Clear_60cmx10mtr,178962,744,10998.29,55822.12,59,81,19.7,5.08,0.42,7.93,14.78,16,WINNER
B0F228RM13,eh_DIAMOND_EVA_MULTI_PO9,136400,1485,10110.46,94126.66,35,41,10.74,9.31,1.09,2.36,6.81,16,PUSH HARDER
B0G1YHH1ZN,SB_Orange & Navy Blue_70Ltrs_PO2,97759,731,9571.13,31549.54,57,59,30.34,3.3,0.75,7.8,13.09,11,MONITOR
B0D9HCMCCY,EH_Black&Grey_EVA_PO4,63931,1119,8504.16,37497.11,20,20,22.68,4.41,1.75,1.79,7.6,3,WINNER
B0D9HB8LTP,EH_Black&Grey_EVA_PO8,153522,896,7651.98,40093.34,18,19,19.09,5.24,0.58,2.01,8.54,30,WINNER
B0D9HH4VYG,eHK_Black&Grey_EVA_PO8,192471,1061,7214.98,57782.85,20,20,12.49,8.01,0.55,1.89,6.8,27,PUSH HARDER
B0C1431JNZ,EH_EVA_Black_Mat_PO4,102687,943,7106.17,91484.75,45,52,7.77,12.87,0.92,4.77,7.54,4,PUSH HARDER
B0CRHQLDZG,LT_EVA_MULTI_4,166751,1535,6950.28,56008.56,23,28,12.41,8.06,0.92,1.5,4.53,1,PUSH HARDER
B0GQ4L7R75,LT_Baby_Play_Mat_A,87546,1010,6547.42,30687.01,35,36,21.34,4.69,1.15,3.47,6.48,10,WINNER
B0D9HBWG5P,eh_DIAMOND_EVA_MULTI_PO6,76133,1013,5980.18,72281.93,30,34,8.27,12.09,1.33,2.96,5.9,1,PUSH HARDER
B0D9QXVWLL,LT_Baby_Play_Mat_N,81539,922,5925.57,29739.39,34,35,19.92,5.02,1.13,3.69,6.43,10,WINNER
B0G1YT2S5N,SB_Grey&Black_70Ltrs_PO2,107153,450,5789.06,21219.46,36,39,27.28,3.67,0.42,8.0,12.86,8,MONITOR
B0BN5NZCGH,AntiSkidMat_Diamond_Grey_45cmx5mtr,128594,554,5538.53,13740.77,30,31,40.31,2.48,0.43,5.42,10.0,8,MONITOR
B09MY5K3SH,EH-Black-Interlock-Mat-4,115016,1246,4848.41,27309.55,14,14,17.75,5.63,1.08,1.12,3.89,6,WINNER
B0D54GKMYX,LT_Baby_Play_Mat,117619,757,4831.03,15924.68,20,20,30.34,3.3,0.64,2.64,6.38,10,MONITOR
B0822GYVNX,eva_mats_multi_16,85552,700,4804.33,141833.29,35,54,3.39,29.52,0.82,5.0,6.86,22,PUSH HARDER
B08642G3SR,eva_mats_black_8,125064,551,4623.11,43698.13,24,24,10.58,9.45,0.44,4.36,8.39,9,PUSH HARDER
B0F9X8LW1G,EH_EVA_Brown&Beige_PO9,38984,541,4359.62,17334.26,7,9,25.15,3.98,1.39,1.29,8.06,11,MONITOR
B0F7RLG815,EH_EVA_Orange_Sea_Green_Navy_PO9,31973,479,4225.74,46023.74,17,23,9.18,10.89,1.5,3.55,8.82,10,PUSH HARDER
B0CJJPJP4M,Antislipmat_Grey_Lines_45cmx5mtr,49522,319,4069.12,8617.0,18,23,47.22,2.12,0.64,5.64,12.76,10,MONITOR
B0822G97QZ,eva_mat_multi_12,92306,640,3916.92,54298.09,23,24,7.21,13.86,0.69,3.59,6.12,23,PUSH HARDER
B0C145JTP3,EH_EVA_Grey_Mat_PO12,80403,360,3907.64,50637.13,16,17,7.72,12.96,0.45,4.44,10.85,9,PUSH HARDER
B0F91VHKKW,EH_EVA_Blue_Grey_White_PO9,44525,517,3801.09,29221.85,14,15,13.01,7.69,1.16,2.71,7.35,8,PUSH HARDER
B0G1YQXMCY,SB_Orange & Navy Blue_70Ltrs_PO4,46719,218,3158.72,8019.04,12,12,39.39,2.54,0.47,5.5,14.49,2,MONITOR
B086424GCB,eva_mats_black_16,85049,341,2856.11,37391.41,11,16,7.64,13.09,0.4,3.23,8.38,12,PUSH HARDER
B0CRHSF42W,LT_EVA_MULTI_8,45993,388,2461.12,43665.71,18,20,5.64,17.74,0.84,4.64,6.34,23,PUSH HARDER
B0G1YKGMTJ,SB_Black&White_70Ltrs_PO2,40353,203,2452.98,5958.49,11,12,41.17,2.43,0.5,5.42,12.08,9,MONITOR
B0GQ9H6BV3,LT_Baby_Play_Mat_B,42937,398,2413.1,5965.71,6,6,40.45,2.47,0.93,1.51,6.06,10,MONITOR
B0F7RQKXVL,EH_EVA_ALL_MULTICOLOR_PO9,91606,348,2056.81,9940.0,4,4,20.69,4.83,0.38,1.15,5.91,11,WINNER
B0CJR97J2H,Antislipmat_Clear_Lines_60cmx10mtr,51688,158,2008.99,8877.11,9,13,22.63,4.42,0.31,5.7,12.72,7,WINNER
B0D9C1KYDY,Lil_EVA_MULTI_12,20325,280,1829.67,30255.23,11,13,6.05,16.54,1.38,3.93,6.53,2,PUSH HARDER
B0B6VDFMJT,eva_mats_multi-8,29673,291,1817.11,19397.13,8,10,9.37,10.67,0.98,2.75,6.24,12,PUSH HARDER
B0B6T6D2YV,eva_mats_grey_4_,16309,282,1812.13,16650.47,9,9,10.88,9.19,1.73,3.19,6.43,2,PUSH HARDER
B0G1YWZH29,SB_Grey&Black_33Ltrs_PO2,16008,127,1742.58,3609.52,6,7,48.28,2.07,0.79,4.72,13.72,7,MONITOR
B0C141W8X1,EH_EVA_Black_Mat_PO12,19642,172,1663.34,19038.08,7,7,8.74,11.45,0.88,4.07,9.67,16,PUSH HARDER
B0F2TCMVWC,EH-Black-Mat-8,17257,198,1635.7,22293.34,7,9,7.34,13.63,1.15,3.54,8.26,23,PUSH HARDER
B0F7RM1269,EH_EVA_Yellow_Sea_Green_Purple_PO9,28284,195,1627.43,15639.99,5,12,10.41,9.61,0.69,2.56,8.35,1,PUSH HARDER
B0CJJSVBSJ,Antislipmat_Grey_Lines_60cmx10mtr,21509,100,1533.89,0.0,0,0,,0.0,0.46,0.0,15.34,8,LOSER - PAUSE
B0DX25VNGF,eh_eva_mats_black_8,45677,237,1412.07,7671.43,4,4,18.41,5.43,0.52,1.69,5.96,6,WINNER
B0G25TVVSX,SB_Navy Blue&White_33Ltrs_PO2,15269,104,1306.32,1680.0,4,4,77.76,1.29,0.68,3.85,12.56,2,LOSER - CUT BIDS
B0FPD2S95J,EH_EVA_Multicolor_Mat_PO08,27115,140,1305.53,12931.44,4,6,10.1,9.91,0.52,2.86,9.33,5,PUSH HARDER
B0F48HZBYQ,EH_ASM_Floral_45x5,33544,154,1179.7,487.29,1,1,242.09,0.41,0.46,0.65,7.66,1,LOSER - CUT BIDS
B0FP9WSZ8Q,Lil_EVA_MULTI_9_,45084,202,1042.57,12529.52,5,5,8.32,12.02,0.45,2.48,5.16,2,PUSH HARDER
B0D9HBVW5C,EH_Black&Grey_EVA_PO16,23066,87,870.61,19938.1,6,6,4.37,22.9,0.38,6.9,10.01,12,PUSH HARDER
B0CRKV6Z84,eHK_EVA_Black_8,18896,141,857.14,10250.48,6,6,8.36,11.96,0.75,4.26,6.08,5,PUSH HARDER
B0D9D3X4WF,Lil_EVA_MULTI_6,5163,101,773.42,8715.25,2,5,8.87,11.27,1.96,1.98,7.66,1,PUSH HARDER
B0G1YPPMQR,SB_Grey&Black_70Ltrs_PO4,15441,43,651.19,1880.96,2,2,34.62,2.89,0.28,4.65,15.14,3,MONITOR
B0G1YNMTPK,SB_Navy Blue&White_70Ltrs_PO2,8574,55,646.38,2809.53,5,5,23.01,4.35,0.64,9.09,11.75,2,WINNER
B0BN5P232F,AntiSkidMat_Diamond_Clear_45cmx5mtr,11349,63,607.35,1677.97,4,4,36.2,2.76,0.56,6.35,9.64,11,MONITOR
