Campaign,CampaignId,Status,AdType,Budget,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS
SPA-Liltoes-EVA Kids Mat,535245711377,ENABLED,SP,400.0,247452,2116,10194.89,110579.97,45,52,9.22,10.85
SP-PT-Storage Bag-Defensive,20968751452637,ENABLED,SP,200.0,8105,107,1223.01,7660.96,13,14,15.96,6.26
SP-KT-Cloth Storage Bags for Clothes,158475079786365,ENABLED,SP,200.0,5162,28,416.45,1866.67,3,3,22.31,4.48
SP-KT-Blanket Cover Bag,256308032752309,ENABLED,SP,200.0,4055,30,310.75,0.0,0,0,,0.0
SP-KT-Storage Bag,247409222779109,ENABLED,SP,300.0,21217,172,2556.04,11460.32,22,23,22.3,4.48
SP-KT-Storage Bags for Clothes,10906973167401,ENABLED,SP,200.0,20885,144,1962.37,5501.9,9,10,35.67,2.8
SP-KT-Storage Bags for Clothes Large,39113273495549,ENABLED,SP,400.0,109185,553,7719.42,24443.31,39,41,31.58,3.17
SP-KT-Clothes Storage Box,82554496906576,ENABLED,SP,200.0,11743,48,682.78,471.43,1,1,144.83,0.69
SP-KT-Under Bed Storage Organizer Box,9582538140844,ENABLED,SP,200.0,8050,11,137.36,471.43,1,1,29.14,3.43
SP-KT-Blanket Storage Bags,255888663353885,ENABLED,SP,200.0,34118,79,923.78,1885.72,3,3,48.99,2.04
SP-PT-SB-(B07QRQZK1G Storite),6450007315179,ENABLED,SP,200.0,17181,139,1751.04,1945.71,5,5,89.99,1.11
SP-PT-SB-(B0DBDYX4W6 Storite),256312749004119,ENABLED,SP,100.0,7239,47,699.25,2700.0,3,3,25.9,3.86
SP-PT-SB-(B07B8K3RQK Storite),241740193793969,ENABLED,SP,200.0,29347,177,2254.57,6076.65,10,11,37.1,2.7
SP-PT-SB-(B0DBDWG8K4 Storite),65232048239628,ENABLED,SP,100.0,13492,114,1653.12,2357.15,5,5,70.13,1.43
SP-PT-SB-(B07BZ1XZ77 Storite),203340432142488,ENABLED,SP,300.0,39571,500,8816.3,24376.17,39,41,36.17,2.76
SP-PT-SB-(B081T9SFWY Storite),33915106654796,ENABLED,SP,100.0,1420,10,143.76,2295.24,3,3,6.26,15.97
SP-KT-EVA Kids Mat-(kids play mats for floor),59099144882217,ENABLED,SP,100.0,3416,22,106.52,0.0,0,0,,0.0
SP-KT-EVA Kids Mat-(playing mat for kids),85048571595974,ENABLED,SP,100.0,4690,20,94.4,2566.67,1,1,3.68,27.19
SP-KT-EVA Kids Mat-(kids mats for floor thick),3283598490371,ENABLED,SP,300.0,22400,237,1825.32,3185.73,2,3,57.3,1.75
SP-KT-EVA Kids Mat-(mat for kids playing),168320907718990,ENABLED,SP,300.0,46778,434,4394.36,21935.21,9,10,20.03,4.99
SP-KT-EVA EHK Gym Mat- (Interlocking Floor Mat),97733685567435,ENABLED,SP,100.0,31434,235,1235.49,11780.95,4,4,10.49,9.54
SP-KT-EVA EHK Gym Mat- (Gym Mats for Floor),140185208970172,ENABLED,SP,600.0,102877,785,5376.41,32922.86,19,20,16.33,6.12
SP-KT-EVA EHK Gym Mat- (Gym Mat),219925089309364,ENABLED,SP,150.0,20041,142,876.55,9226.67,4,5,9.5,10.53
SP-KT-EVA EHK Gym Mat- (Rubber Mat for Gym),81689102298827,ENABLED,SP,300.0,51278,324,2734.24,11726.67,5,5,23.32,4.29
SP-KT-EVA EHK B&G Gym Mat- (Gym floor Mat Rubber),196874581232754,ENABLED,SP,100.0,14876,110,539.64,3296.19,1,1,16.37,6.11
SP-KT-EVA EHK Gym Mat- (Gym Floor Mat),187742561244204,ENABLED,SP,100.0,1820,2,6.88,0.0,0,0,,0.0
SP-KT-EVA EHK `Gym Mat (Gym Flooring),38747506437576,ENABLED,SP,100.0,280,3,16.67,4185.71,1,1,0.4,251.09
SP-KT-EVA EHK Gym Mat- (Gym Matt for Workout),264859196534408,ENABLED,SP,100.0,14544,69,307.25,824.76,1,1,37.25,2.68
SP-KT-BPM-LT-(Mat for Baby),241007015837636,ENABLED,SP,350.0,79604,621,3919.07,16953.69,20,20,23.12,4.33
SP-KT-BPM-LT-(Play Mat for Babies 0 to 3 Years Thick),50402724701940,ENABLED,SP,100.0,9528,102,623.16,0.0,0,0,,0.0
SP-KT-BPM-LT-(Kids Mats for Floor Thick),156537487256378,ENABLED,SP,100.0,25078,254,1961.11,7483.6,9,9,26.21,3.82
SP-KT-BPM-LT-(Play Mat),220664481004072,ENABLED,SP,300.0,42317,495,3348.61,14490.46,16,17,23.11,4.33
SP-KT-BPM-LT-(Multi),71797717631962,ENABLED,SP,250.0,26688,339,2135.35,15248.93,18,18,14.0,7.14
SP-KT-BPM-LT-(Baby Mats for Floor),207289207672400,ENABLED,SP,1200.0,101094,885,6414.35,25292.33,30,30,25.36,3.94
SP-KT-BPM-LT-(Baby Mat),43333490979919,ENABLED,SP,200.0,51063,499,2998.98,9283.6,11,11,32.3,3.1
SPA-BPM-LT,140884656142754,ENABLED,SP,400.0,106100,1012,6080.07,19895.0,23,24,30.56,3.27
SP-KT-BPM-LT-(Baby Playing Mat),196758043116120,ENABLED,SP,250.0,47590,574,3515.65,14395.6,16,16,24.42,4.09
SP-KT-BPM-LT-(Floor Mat for Kids),49320689416740,PAUSED,SP,100.0,10238,104,637.92,852.38,1,1,74.84,1.34
SPA-ASM-Printed,177646338728749,ENABLED,SP,200.0,39047,178,1384.05,487.29,1,1,284.03,0.35
SP-KT-ASM- (Kitchen Shelf Mats Roll),429616088691752,ENABLED,SP,200.0,215,0,0.0,0.0,0,0,,0
Defense- Antislip- SPM ASIN,525534316779701,ENABLED,SP,399.99,3880,56,504.31,5664.42,8,11,8.9,11.23
SP-KT-EVA Gym Mat- (Gym Matt for Workout),447874778015438,ENABLED,SP,300.0,8037,84,445.8,3163.81,3,3,14.09,7.1
SP-PT-EVA Gym Mat- (B0D95SFFL9 Xtrim),486573877816929,ENABLED,SP,350.0,57369,440,2669.72,21779.05,12,12,12.26,8.16
SP-PT-EVA Gym Mat- (B09F6SLMS4 Agaro),424814241746405,ENABLED,SP,100.0,6,0,0.0,0.0,0,0,,0
SP-KT-EVA Gym Mat- (Foam Mat),355311063587869,ENABLED,SP,200.0,759,7,35.3,0.0,0,0,,0.0
SP-PT-EVA Gym Mat- (B0BGHCFLYJ Horianzo),373158452443701,ENABLED,SP,100.0,10,0,0.0,0.0,0,0,,0
SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),306648672666736,ENABLED,SP,450.0,17275,97,609.86,6000.95,2,2,10.16,9.84
SP-KT-EVA Gym Mat- (Gym Floor Mat for Heavy Workout),425765379909690,ENABLED,SP,100.0,12740,53,350.92,6247.62,3,3,5.62,17.8
SP-PT-EVA Gym Mat- (B012TWTUMU WeSellMats),298172857793238,ENABLED,SP,100.0,56,1,8.04,0.0,0,0,,0.0
SP-PT-EVA Gym Mat- (B01MT9MNLE Yes4All),324829196535221,ENABLED,SP,100.0,0,0,0.0,0.0,0,0,,0
SP-KT-EVA Gym Mat- (Rubber Floor Tiles),359469823003063,ENABLED,SP,100.0,465,5,58.54,0.0,0,0,,0.0
SP-PT-EVA Gym Mat- (B07F3JN779 Kobo),476060609587191,ENABLED,SP,100.0,5152,70,769.31,3423.81,1,1,22.47,4.45
SP-PT-EVA Gym Mat- (B0B8H9BQZQ Litenyx),462892590449728,ENABLED,SP,100.0,13,0,0.0,0.0,0,0,,0
SP-KT-EVA Gym Mat-Defensive,540403636890128,ENABLED,SP,200.0,6002,20,190.37,0.0,0,0,,0.0
SP-PT-EVA Gym Mat- (B0716SW4WP Yes4All),522838723145268,ENABLED,SP,100.0,490,5,51.79,0.0,0,0,,0.0
SP-PT-EVA Gym Mat-Defensive,455121583944025,ENABLED,SP,470.0,81038,543,3625.81,54636.18,25,28,6.64,15.07
SP-KT-EVA Gym Mat- (Gym Floor Mat),307260474921082,ENABLED,SP,350.0,17775,84,617.26,8061.91,2,3,7.66,13.06
SP-PT-EVA Gym Mat- (B0CHMZCX43 Xtrim),281974136978325,ENABLED,SP,400.0,46439,569,4087.71,18402.84,11,12,22.21,4.5
SP-PT-EVA Gym Mat- (B0784MK315 Kobo),467682964635869,ENABLED,SP,100.0,5448,43,370.87,4419.05,2,2,8.39,11.92
SP-PT-EVA Gym Mat- (B0B5N7S9QJ Signatron),479380068179034,ENABLED,SP,100.0,1208,22,247.6,1640.95,1,1,15.09,6.63
SP-KT-EVA Gym Mat- (Gym Carpet),465835212527063,ENABLED,SP,100.0,2828,40,386.32,2833.33,1,1,13.63,7.33
SP-PT-EVA Gym Mat- (B09SJ6VDN4 Nasmodo),386522372561870,ENABLED,SP,200.0,12855,146,1050.7,9580.95,5,5,10.97,9.12
SP-KT-EVA Gym Mat- (Gym Flooring),330012053021270,ENABLED,SP,100.0,894,10,82.94,0.0,0,0,,0.0
SP-KT-EVA Gym Mat- (Gym Mats for Floor),471873610002541,ENABLED,SP,800.0,133890,764,6531.27,76931.41,31,38,8.49,11.78
SP-KT-EVA Gym Mat- (Rubber Mat for Gym),335463343417473,ENABLED,SP,300.0,83776,329,3853.71,28282.85,9,9,13.63,7.34
SP-PT-EVA Gym Mat- (B09F68LRLC Signatron),290868611109374,ENABLED,SP,100.0,0,0,0.0,0.0,0,0,,0
SP-KT-EVA Gym Mat- (Interlocking Floor Mat),361079652913959,ENABLED,SP,100.0,65,0,0.0,0.0,0,0,,0
SP-PT-EVA Gym Mat- (B0D95TB7KV Xtrim),491551781535347,ENABLED,SP,1000.0,71775,1591,13368.89,89888.57,45,47,14.87,6.72
"SP-PT-EVA Gym Mat (B0B8HB34QP, B09P37XWNC, B08SVVX49Q, B08QND92PJ, B01JBA5LIA, B003RD7ENS)",348654896918302,ENABLED,SP,100.0,304,6,39.73,10557.15,1,3,0.38,265.72
SP-KT-EVA Gym Mat- (Gym Equipment Mat),546255629915286,ENABLED,SP,100.0,763,3,33.15,0.0,0,0,,0.0
SP-PT-EVA Gym Mat- (B01DAOOAW6 Stalwart),298715086571150,ENABLED,SP,100.0,69,0,0.0,0.0,0,0,,0
SP-PT-EVA Gym Mat- (B09QMK3PC5 Nasmodo),475976771349191,ENABLED,SP,250.0,2493,93,830.36,2632.38,2,3,31.54,3.17
SP-PT-EVA Gym Mat- (B09P3NQ1V5 Signatron),418580047231626,ENABLED,SP,100.0,0,0,0.0,0.0,0,0,,0
SP-KT-EVA Gym Mat- (Exercise Mat for Home Workout),537007738248322,ENABLED,SP,100.0,5337,24,249.29,0.0,0,0,,0.0
SP-KT-EVA Gym Mat- (Gym Mat),431252039560980,ENABLED,SP,800.0,100139,662,8305.23,59098.1,26,26,14.05,7.12
SPA-EVA Gym Mat,528389355177773,ENABLED,SP,500.0,299398,2324,10865.81,81795.28,43,44,13.28,7.53
SP-KT-EVA Kids Mat- (Floor Mat For Kids),319402810185441,ENABLED,SP,100.0,4586,40,228.62,1597.14,1,1,14.31,6.99
SP-KT-EVA Kids Mat-Competition,549101113141780,ENABLED,SP,100.0,450,2,14.24,0.0,0,0,,0.0
SP-PT-EVA Kids Mat- (Defensive),406348657309210,ENABLED,SP,850.0,49100,875,6270.22,145178.92,47,67,4.32,23.15
