Keyword,MatchType,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CPC,CVR%,Category
close-match,TARGETING_EXPRESSION_PREDEFINED,1033490,7686,52315.4,397124.62,216,13.17,6.81,2.81,TOP PERFORMER
substitutes,TARGETING_EXPRESSION_PREDEFINED,529620,4423,26852.75,152052.46,110,17.66,6.07,2.49,TOP PERFORMER
"asin=""B08JZ8SS2H""",TARGETING_EXPRESSION,55246,1471,14363.62,168261.84,57,8.54,9.76,3.87,TOP PERFORMER
"asin=""B0D95TB7KV""",TARGETING_EXPRESSION,71775,1591,13368.89,89888.57,45,14.87,8.4,2.83,TOP PERFORMER
gym mats for floor,EXACT,236767,1549,11907.68,109854.27,50,10.84,7.69,3.23,TOP PERFORMER
gym mat,EXACT,120180,804,9181.78,68324.77,30,13.44,11.42,3.73,TOP PERFORMER
shelf liners,PHRASE,119820,558,9059.87,35380.6,44,25.61,16.24,7.89,MONITOR
"asin=""B07BZ1XZ77""",TARGETING_EXPRESSION,39571,500,8816.3,24376.17,39,36.17,17.63,7.8,MONITOR
storage bags for clothes large,EXACT,108407,545,7640.21,22567.11,38,33.86,14.02,6.97,MONITOR
interlocking play mats for kids,EXACT,88562,997,7469.5,104634.38,37,7.14,7.49,3.71,TOP PERFORMER
rubber mat for gym,EXACT,135054,653,6587.95,40009.52,14,16.47,10.09,2.14,TOP PERFORMER
drawer mat,EXACT,87767,342,5779.4,19108.5,16,30.25,16.9,4.68,MONITOR
baby mats for floor,EXACT,88463,772,5721.1,23587.57,28,24.25,7.41,3.63,TOP PERFORMER
mat for kids playing,EXACT,46778,434,4394.36,21935.21,9,20.03,10.13,2.07,TOP PERFORMER
"asin=""B0CHMZCX43""",TARGETING_EXPRESSION,46439,569,4087.71,18402.84,11,22.21,7.18,1.93,TOP PERFORMER
"asin=""B0D7W73KZ1""",TARGETING_EXPRESSION,22257,218,3961.24,20129.7,22,19.68,18.17,10.09,TOP PERFORMER
"asin=""B08GJ2W8H6""",TARGETING_EXPRESSION,48707,797,3946.39,50544.75,18,7.81,4.95,2.26,TOP PERFORMER
mat for baby,PHRASE,79571,621,3919.07,16953.69,20,23.12,6.31,3.22,TOP PERFORMER
kids mats for floor thick,EXACT,47399,491,3786.43,10669.33,11,35.49,7.71,2.24,MONITOR
baby playing mat,PHRASE,47490,570,3494.01,14395.6,16,24.27,6.13,2.81,TOP PERFORMER
baby mat,PHRASE,51006,498,2993.52,9283.6,11,32.25,6.01,2.21,MONITOR
interlocking mat,EXACT,43241,292,2689.45,8302.84,4,32.39,9.21,1.37,MONITOR
kitchen drawer mats,EXACT,69320,233,2408.73,9136.49,17,26.36,10.34,7.3,MONITOR
"asin=""B09MYDPF3Y""",TARGETING_EXPRESSION,17904,325,2274.37,32215.18,15,7.06,7.0,4.62,TOP PERFORMER
"asin=""B07B8K3RQK""",TARGETING_EXPRESSION,29347,177,2254.57,6076.65,10,37.1,12.74,5.65,MONITOR
loose-match,TARGETING_EXPRESSION_PREDEFINED,36745,609,2040.78,41384.17,19,4.93,3.35,3.12,TOP PERFORMER
