SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
gym mats for floor,259375,1807,13330.66,122549.52,55,10.88,3.04,BEST CONVERTING
b08jz8ss2h,51447,1338,12925.06,134140.89,47,9.64,3.51,BEST CONVERTING
b0d95tb7kv,63979,1374,11485.08,69964.76,38,16.42,2.77,BEST CONVERTING
interlocking play mat for kids,116963,1255,9141.93,129990.56,46,7.03,3.67,BEST CONVERTING
gym mat,101517,743,7991.1,65611.43,29,12.18,3.9,BEST CONVERTING
baby mats for floor,125090,1113,7958.5,31733.65,34,25.08,3.05,CONVERTING
storage bags for clothes large,110068,566,7891.57,22567.11,38,34.97,6.71,CONVERTING
rubber mat for gym,129148,643,6300.62,40834.28,15,15.43,2.33,BEST CONVERTING
b07bz1xz77,31733,355,6222.4,17638.08,28,35.28,7.89,CONVERTING
mat for kids playing,62745,655,5945.87,25259.02,11,23.54,1.68,BEST CONVERTING
drawer mat,82817,317,5301.39,13858.5,14,38.25,4.42,CONVERTING
interlocking floor mat,100926,834,4336.55,45179.04,19,9.6,2.28,BEST CONVERTING
b0chmzcx43,48948,565,3962.07,17108.56,10,23.16,1.77,BEST CONVERTING
kids mats for floor thick,47669,510,3943.87,10669.33,11,36.96,2.16,CONVERTING
b0d7w73kz1,21714,216,3923.4,19328.85,21,20.3,9.72,BEST CONVERTING
b08gj2w8h6,41643,724,3512.08,45677.14,17,7.69,2.35,BEST CONVERTING
gym floor mat rubber,39098,400,2614.81,17820.95,9,14.67,2.25,BEST CONVERTING
play mat,27067,340,2476.94,6819.04,8,36.32,2.35,CONVERTING
b09mydpf3y,18435,339,2276.65,32215.18,15,7.07,4.42,BEST CONVERTING
interlocking mat,38585,265,2266.47,6350.46,4,35.69,1.51,CONVERTING
kitchen drawer mats,67905,222,2257.28,8639.88,16,26.13,7.21,CONVERTING
play mat for babies 0 to 12 months,23677,313,1989.95,12652.74,14,15.73,4.47,BEST CONVERTING
floor mat for kids,18029,260,1927.66,20085.71,5,9.6,1.92,BEST CONVERTING
b0822gyvnx,10737,247,1864.64,39750.43,13,4.69,5.26,BEST CONVERTING
gym mats,23963,175,1836.53,13832.38,6,13.28,3.43,BEST CONVERTING
storage bags for clothes,13580,124,1824.12,6406.66,11,28.47,8.87,CONVERTING
