cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
0.0,0,kitchen shelf mats roll,429616088691752,B0CN177JS7,0,AntiSkidMat_Diamond_Grey_60cmx10mtr,0,0.0,10,SP-KT-ASM- (Kitchen Shelf Mats Roll),326807220936343
18.13,0,ASINs,525534316779701,B0CN177JS7,2,AntiSkidMat_Diamond_Grey_60cmx10mtr,0,0.0,39,Defense- Antislip- SPM ASIN,370304859254119
18.92,0,ASINs,525534316779701,B0BN5NZCGH,2,AntiSkidMat_Diamond_Grey_45cmx5mtr,0,0.0,535,Defense- Antislip- SPM ASIN,370304859254119
28.17,0,ASINs,525534316779701,B0BN5P232F,3,AntiSkidMat_Diamond_Clear_45cmx5mtr,0,0.0,135,Defense- Antislip- SPM ASIN,370304859254119
47.3,1,ASINs,525534316779701,B0BN631JD4,5,AntiSkidMat_Diamond_Clear_60cmx10mtr,1,496.61,107,Defense- Antislip- SPM ASIN,370304859254119
27.2,0,Ad Group - 24/5/2025 11:17:13.814,540403636890128,B09MY5K3SH,4,EH-Black-Interlock-Mat-4,0,0.0,1159,SP-KT-EVA Gym Mat-Defensive,538890822032291
0.0,0,Ad Group - 24/5/2025 11:17:13.814,540403636890128,B0F2TCMVWC,0,EH-Black-Mat-8,0,0.0,45,SP-KT-EVA Gym Mat-Defensive,538890822032291
997.15,0,Ad Group - 24/5/2025 11:37:01.833,431252039560980,B0D9HB8LTP,64,EH_Black&Grey_EVA_PO8,0,0.0,5464,SP-KT-EVA Gym Mat- (Gym Mat),412317785138777
1629.34,9,Ad Group - 24/5/2025 11:37:01.833,431252039560980,B08642G3SR,131,eva_mats_black_8,9,15728.59,27883,SP-KT-EVA Gym Mat- (Gym Mat),412317785138777
401.09,3,Ad Group - 24/5/2025 11:34:17.967,471873610002541,B0D9HB8LTP,44,EH_Black&Grey_EVA_PO8,3,6504.76,6606,SP-KT-EVA Gym Mat- (Gym Mats for Floor),438144705350280
0.0,0,Ad Group - 24/5/2025 11:37:22.788,355311063587869,B0D9HB8LTP,0,EH_Black&Grey_EVA_PO8,0,0.0,19,SP-KT-EVA Gym Mat- (Foam Mat),413600167687188
49.35,0,Ad Group - 24/5/2025 11:37:06.999,306648672666736,B0D9HB8LTP,8,EH_Black&Grey_EVA_PO8,0,0.0,2082,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),336047415485697
16.03,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B0D9HB8LTP,2,EH_Black&Grey_EVA_PO8,0,0.0,97,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
5.61,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B0F2TCMVWC,1,EH-Black-Mat-8,0,0.0,13,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
18.39,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B08642G3SR,2,eva_mats_black_8,0,0.0,229,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
0.0,0,Ad Group - 24/5/2025 12:15:01.512,359469823003063,B0D9HB8LTP,0,EH_Black&Grey_EVA_PO8,0,0.0,34,SP-KT-EVA Gym Mat- (Rubber Floor Tiles),469993859433214
0.0,0,Ad Group - 24/5/2025 12:15:01.512,359469823003063,B08642G3SR,0,eva_mats_black_8,0,0.0,24,SP-KT-EVA Gym Mat- (Rubber Floor Tiles),469993859433214
0.0,0,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B0D9HB8LTP,0,EH_Black&Grey_EVA_PO8,0,0.0,507,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
2.38,0,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0D9HB8LTP,1,EH_Black&Grey_EVA_PO8,0,0.0,478,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
73.22,1,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0F2TCMVWC,10,EH-Black-Mat-8,1,2833.33,2412,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
40.83,0,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0B6VCW2VK,6,eva_mat_grey_12,0,0.0,2149,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
0.0,0,Ad Group - 24/5/2025 12:15:19.387,330012053021270,B0D9HB8LTP,0,EH_Black&Grey_EVA_PO8,0,0.0,24,SP-KT-EVA Gym Mat- (Gym Flooring),446287475736959
