sku,asin,product_name,fba_available,fba_inbound_working,fba_inbound_shipped,fba_reserved,fba_unsellable,fba_total,snapshot_date
54-Y94B-A1SC,B0GH6LP7S2,EASY HOME Water Tank Cover,0,0,0,0,0,0,2026-04-13
ASM_D_Brown_60cmx5mtr,B0BN5R2L4Q,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 5 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",31,0,0,1,2,32,2026-04-13
ASM_D_Clear_60cmx5mtr,B0BN5NTWZR,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",195,0,0,0,0,195,2026-04-13
ASM_D_Grey_60cmx5mtr,B0BN5Y4WW6,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 5 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",106,0,0,4,1,110,2026-04-13
AntiSkidMat_Diamond_Brown_45cmx10mtr,B0BN5P95C4,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",79,0,0,0,0,79,2026-04-13
AntiSkidMat_Diamond_Brown_45cmx3mtr,B0BN5QLGTC,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",66,0,0,1,0,67,2026-04-13
AntiSkidMat_Diamond_Brown_45cmx5mtr,B0BN5QG1KJ,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",41,0,0,0,0,41,2026-04-13
AntiSkidMat_Diamond_Brown_60cmx10mtr,B0BN5NVRF5,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 10 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",68,0,0,0,0,68,2026-04-13
AntiSkidMat_Diamond_Brown_60cmx3mtr,B0BN5PMK3V,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 3 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",67,0,0,1,0,68,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx10mtr,B0BN5P7KMN,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",60,0,0,0,0,60,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",312,0,0,0,0,312,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx5mtr,B0BN5P232F,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",213,0,0,1,2,214,2026-04-13
AntiSkidMat_Diamond_Clear_60cmx10mtr,B0BN631JD4,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 10 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",70,0,20,1,1,91,2026-04-13
AntiSkidMat_Diamond_Clear_60cmx3mtr,B0BN5PJ762,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",325,0,0,1,0,326,2026-04-13
AntiSkidMat_Diamond_Grey_45cmx10mtr,B0BN5P55SW,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",122,0,0,0,0,122,2026-04-13
AntiSkidMat_Diamond_Grey_45cmx3mtr,B0BN5QKNF7,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",267,0,0,0,0,267,2026-04-13
AntiSkidMat_Diamond_Grey_45cmx5mtr,B0BN5NZCGH,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",164,0,0,3,0,167,2026-04-13
AntiSkidMat_Diamond_Grey_60cmx10mtr,B0CN177JS7,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 10 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",44,0,0,1,0,45,2026-04-13
AntiSkidMat_Diamond_Grey_60cmx3mtr,B0BN5MLSSR,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 3 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",166,0,0,0,0,166,2026-04-13
Antislipmat_Clear_Lines_45cmx1.5mtr,B0CJR94LNG,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 1.5 Meter, Clear Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",121,0,0,1,0,122,2026-04-13
Antislipmat_Clear_Lines_45cmx10mtr,B0CJR9B2KC,"EASY HOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Clear Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",228,0,0,1,0,229,2026-04-13
Antislipmat_Clear_Lines_45cmx3mtr,B0CJR9748V,"EASY HOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",190,0,0,0,0,190,2026-04-13
Antislipmat_Clear_Lines_45cmx5mtr,B0CJR9TTCR,"EASY HOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Clear Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",176,0,0,1,0,177,2026-04-13
Antislipmat_Clear_Lines_60cmx10mtr,B0CJR97J2H,"EASYHOME Multipurpose 60cm x 10m Waterproof EVA Lines Anti Slip Mat for Kitchen, Bathroom Cabinet Kitchen Drawer Shelf Liner Sheets Roll, Non-Slip Fridge Mat, Table Mat (60cm x 10 Metres Roll, Clear)",54,0,0,2,1,56,2026-04-13
Antislipmat_Clear_Lines_60cmx3mtr,B0CJR94WSS,"EASYHOME Multipurpose 60cm x 3m Waterproof EVA Lines Anti Slip Mat for Kitchen, Bathroom Cabinet Kitchen Drawer Shelf Liner Sheets Roll, Non-Slip Fridge Mat, Table Mat (60cm x 3 Metres Roll, Clear)",64,0,0,1,0,65,2026-04-13
Antislipmat_Clear_Lines_60cmx5mtr,B0CJRC7W4H,"EASYHOME Multipurpose 60cm x 5m Waterproof EVA Lines Anti Slip Mat for Kitchen, Bathroom Cabinet Kitchen Drawer Shelf Liner Sheets Roll, Non-Slip Fridge Mat, Table Mat (60cm x 5 Metres Roll, Clear)",44,0,0,1,1,45,2026-04-13
Antislipmat_Grey_Lines_45cmx1.5mtr,B0CJJP2RLH,"EASYHOME Multipurpose EVA Anti-Slip Mat (45m x 1.5 Meter, Grey Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",35,0,0,0,0,35,2026-04-13
Antislipmat_Grey_Lines_45cmx10mtr,B0CJJRQ1JD,"EASY HOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Grey Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",273,0,0,0,0,273,2026-04-13
Antislipmat_Grey_Lines_45cmx3mtr,B0CJJS7PSX,"EASY HOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Grey Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",160,0,0,0,0,160,2026-04-13
Antislipmat_Grey_Lines_45cmx5mtr,B0CJJPJP4M,"EASY HOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Grey Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",190,0,0,0,0,190,2026-04-13
Antislipmat_Grey_Lines_60cmx10mtr,B0CJJSVBSJ,"EASY HOME Multipurpose EVA Anti-Slip Mat (60cm x 10 Meter, Grey Lines) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",9,0,0,3,0,12,2026-04-13
Antislipmat_Grey_Lines_60cmx3mtr,B0CJJR4LNW,"EASYHOME Multipurpose 60cm x 3m Waterproof EVA Lines Anti Slip Mat for Kitchen, Bathroom Cabinet Kitchen Drawer Shelf Liner Sheets Roll, Non-Slip Fridge Mat, Table Mat (60cm x 3 Metres Roll, Grey)",43,0,0,0,0,43,2026-04-13
Antislipmat_Grey_Lines_60cmx5mtr,B0CJJR6WGL,"EASYHOME Multipurpose 60cm x 5m Waterproof EVA Lines Anti Slip Mat for Kitchen, Bathroom Cabinet Kitchen Drawer Shelf Liner Sheets Roll, Non-Slip Fridge Mat, Table Mat (60cm x 5 Metres Roll, Grey)",53,0,0,0,1,53,2026-04-13
