sku,asin,product_name,fc_code,quantity,fc_type,snapshot_date
AntiSkidMat_Diamond_Grey_45cmx5mtr,B0BN5NZCGH,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",HYD8,10,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Grey_45cmx5mtr,B0BN5NZCGH,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",XHZU,68,seller_flex,2026-04-13
AntiSkidMat_Diamond_Brown_45cmx10mtr,B0BN5P95C4,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",AMD2,5,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Brown_45cmx10mtr,B0BN5P95C4,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",DEL4,1,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Brown_45cmx10mtr,B0BN5P95C4,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",DEL5,6,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Brown_45cmx10mtr,B0BN5P95C4,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 10 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",XHZU,68,seller_flex,2026-04-13
AntiSkidMat_Diamond_Brown_60cmx5mtr,B0BN5R2L4Q,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 5 Meter, Brown) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",XHZU,9,seller_flex,2026-04-13
AntiSkidMat_Diamond_Grey_60cmx10mtr,B0CN177JS7,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 10 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",CCX1,3,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Grey_60cmx10mtr,B0CN177JS7,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 10 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",HYD3,22,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Grey_60cmx10mtr,B0CN177JS7,"EASYHOME Multipurpose EVA Anti-Slip Mat (60cm x 10 Meter, Grey) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",XHZU,23,seller_flex,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx5mtr,B0BN5P232F,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",AMD2,18,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx5mtr,B0BN5P232F,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",BLR8,49,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx5mtr,B0BN5P232F,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",CCX1,5,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx5mtr,B0BN5P232F,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",HYD3,21,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx5mtr,B0BN5P232F,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",HYD8,12,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx5mtr,B0BN5P232F,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 5 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",XHZU,110,seller_flex,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",BOM5,18,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",CCX1,34,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",DEL4,33,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",DEL5,26,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",DEX3,1,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",LKO1,76,amazon_fba,2026-04-13
AntiSkidMat_Diamond_Clear_45cmx3mtr,B0BN5P73JD,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 3 Meter, Clear) – Waterproof, Washable Shelf Liner Roll Sheet for Kitchen, Bathroom, Drawers, Cabinets, Fridge & Table Mat",XHZU,125,seller_flex,2026-04-13
