source,position_in_search,asin,title,url,price,rating,sponsored,badge_detected,link_clickable,sponsored_hint_on_pdp,click_method
search_results,1.0,B0BWV7CFRG,"Earthen Story A2 Ghee from Gir Cow 1 Litre | A2 cow ghee bilona method from curd | 100% Pure, Natural & Healthy | A2 gir cow ghee in Glass Jar | Lab Tested",https://amazon.in/sspa/click?ie=UTF8&spc=MToyMDc0NTA1NzgwMDg3OTM2OjE3NzQ1NDk2NDg6c3BfYXRmOjMwMDk1MzYxMjIwODczMjo6MDo6&url=%2FEarthen-Story-Bilona-Natural-Healthy%2Fdp%2FB0BWV7CFRG%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg%26dib_tag%3Dse%26keywords%3Da2%2Bghee%26qid%3D1774549648%26rdc%3D1%26sr%3D8-1-spons%26aref%3Dt830yEqj1R%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=t830yEqj1R&sp_cr=ZAZ,"₹1,599",4.0 out of 5 stars,True,Sponsored,True,,
search_results,2.0,B07GWPCCGX,"Kapiva Certified A2 Gir Cow Ghee 500ML | Traditional Vedic Bilona Method | Grassfed, Pure & Healthy | Curd-Churned | Premium Glass Bottle | 100% Natural & Lab-Tested | Rich in Nutrition",https://amazon.in/sspa/click?ie=UTF8&spc=MToyMDc0NTA1NzgwMDg3OTM2OjE3NzQ1NDk2NDg6c3BfYXRmOjMwMDQ3OTE0ODE3MDgzMjo6MDo6&url=%2FKapiva-certified-Curd-Churned-Grassfed-Traditional%2Fdp%2FB07GWPCCGX%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg%26dib_tag%3Dse%26keywords%3Da2%2Bghee%26qid%3D1774549648%26sr%3D8-2-spons%26aref%3DYFrZZgVTeX%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=YFrZZgVTeX&sp_cr=ZAZ,₹939,4.0 out of 5 stars,True,Sponsored,True,,
search_results,3.0,B08KJG9VLJ,"Anveshan A2 Cow Ghee 1 Litre | Traditionally Bilona-Churned, Danedar Ghee | Aromatic| NABL Lab Tested (70+ tests), Cruelty-Free | Grass-Fed | Glass Jar",https://amazon.in/sspa/click?ie=UTF8&spc=MToyMDc0NTA1NzgwMDg3OTM2OjE3NzQ1NDk2NDg6c3BfYXRmOjMwMDcyMjkzNzQ3OTQzMjo6MDo6&url=%2FAnveshan-Curd-Churned-Natural-Healthy-Tested%2Fdp%2FB08KJG9VLJ%2Fref%3Dsr_1_3_in_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg%26dib_tag%3Dse%26keywords%3Da2%2Bghee%26qid%3D1774549648%26sr%3D8-3-spons%26aref%3Dl1llRFd6q1%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=l1llRFd6q1&sp_cr=ZAZ,"₹1,524",4.2 out of 5 stars,True,Sponsored,True,,
search_results,4.0,B0FC6PSS3W,Two Brothers Organic Farms Desi Gir Cow Ghee 500ml | A2 Cow Ghee | Made with A2 Ghee from Grass-fed Gir Cows | Premium Desi Ghee | Handcrafted in Small Batches,https://amazon.in/sspa/click?ie=UTF8&spc=MToyMDc0NTA1NzgwMDg3OTM2OjE3NzQ1NDk2NDg6c3BfYXRmOjMwMDYxMjM4ODA4NzYzMjo6MDo6&url=%2FBrothers-Organic-Grass-fed-Premium-Handcrafted%2Fdp%2FB0FC6PSS3W%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg%26dib_tag%3Dse%26keywords%3Da2%2Bghee%26qid%3D1774549648%26sr%3D8-4-spons%26aref%3DTcqZC8EmeA%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=TcqZC8EmeA&sp_cr=ZAZ,"₹1,071",4.1 out of 5 stars,True,Sponsored,True,,
search_results,5.0,B07TMKSC3S,"Anveshan A2 Cow Ghee 500ML | Desi Ghee in Glass Jar | Bilona Method | Grass-Fed | Curd-Churned | Cultured Ghee | Pure, Natural, Healthy | Keto-Friendly | Lab Tested",https://amazon.in/Anveshan-Curd-Churned-Natural-Healthy-Tested/dp/B07TMKSC3S/ref=sr_1_5_in_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg&dib_tag=se&keywords=a2+ghee&qid=1774549648&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-5,₹762,4.2 out of 5 stars,False,,True,,
search_results,6.0,B0CP7M2RW6,"SATVIK PURE GHEE A2 Gir Cow Ghee 1 Litre Churned From Vedic Bilona Method Bilona Ghee A2 Cow Desi Ghee 1 Litre,1.49 Kilograms",https://amazon.in/SATVIK-PURE-GHEE-Churned-Bilona/dp/B0CP7M2RW6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg&dib_tag=se&keywords=a2+ghee&qid=1774549648&sr=8-6,"₹1,299",4.2 out of 5 stars,False,,True,,
search_results,7.0,B0BLSNB96M,"ROSIER A2 Gir Cow Ghee (500 ml) | Traditional Bilona Method A2 Cow Ghee | Grassfed, Pure and Healthy Desi Cow Ghee (Glass Bottle - 500 ML)",https://amazon.in/ROSIER-Traditional-Bilona-Grassfed-Healthy/dp/B0BLSNB96M/ref=sr_1_7?dib=eyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg&dib_tag=se&keywords=a2+ghee&qid=1774549648&sr=8-7,"₹1,099",4.2 out of 5 stars,False,,True,,
search_results,8.0,B085DZWQ9K,"Anveshan A2 Gir Cow Desi Ghee 500ML | Bilona Method | Curd-Churned & Cultured | Pure, Natural & Danedar | Lactose-Free, Gluten-Free | Grass-Fed | Lab Tested | Traditional Desi Ghee",https://amazon.in/Anveshan-Curd-Churned-Lactose-Free-Gluten-Free-Traditional/dp/B085DZWQ9K/ref=sr_1_8_in_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg&dib_tag=se&keywords=a2+ghee&qid=1774549648&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-8,₹799,4.3 out of 5 stars,False,,True,,
search_results,9.0,B09YH4PRQY,Auric A2 Bilona Desi Cow Ghee 500 ml - Pure Brijwasi Ghee - Bilona Curd Churned - Lab Tested - Perfect Aroma & Danedar Ghee - Grass Fed,https://amazon.in/Auric-Brijwasi-Churned-Perfect-Danedar/dp/B09YH4PRQY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg&dib_tag=se&keywords=a2+ghee&qid=1774549648&sr=8-9,₹669,4.1 out of 5 stars,False,,True,,
search_results,10.0,B0FB9JWPXQ,Dabur A2 Cow Ghee - 500ml | Rich in Vitamin A & Antioxidant properties | Made with Bilona method | Helps balance Vata & Pitta Dosha | Crafted using milk from A2 desi cows | 100% pure,https://amazon.in/Dabur-Cow-Ghee-Antioxidant-properties/dp/B0FB9JWPXQ/ref=sr_1_10_in_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.KjLsauF4cLfLvhG5b0eFnEBuJz3iWLdCx_6OeCNMthBbZXhE3Oi9M8CkGL1a0_3DCOpvsbbB-abV8kDUM0ZcIsX4KVOYz-regacTU3Ij6yvGiRNtMIeBLqL37gXRVk_RK3qLfiO9GGZ9klxzxi3IltraIwSasitPd4mxzkYqjE90oh52rS37VeMIYd0FglPcINWq2NmDd9qtNssAXfzcO2gdNbRsVcVP-FGJTp_c9KSWFYNmXmZ7dXxEWwBwrwnyVo3XbrwVktZ1z6XXMhgRz12wewMkiKaqBbxLvNvmLLY.VsLax0PtElKoedl2U-XjeNT_R08Rvb87YnupkIFnXAg&dib_tag=se&keywords=a2+ghee&qid=1774549648&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-10,₹949,4.4 out of 5 stars,False,,True,,
