asin,pincode,url,title,is_buyable,availability_text,amazon_fulfilled,merchant_text,delivery_type,delivery_text,captcha_seen,error
B0BN5P95C4,600001,https://www.amazon.in/dp/B0BN5P95C4,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 9 hrs 8 mins. Details | Sunday, 29 March | 9 hrs 8 mins",False,
B0BN5QLGTC,600001,https://www.amazon.in/dp/B0BN5QLGTC,,True,In stock,False,,other,"FREE delivery Sunday, 29 March on your first order. Order within 8 mins. Details | Sunday, 29 March | Order within 8 mins",False,
B0BN5QG1KJ,600001,https://www.amazon.in/dp/B0BN5QG1KJ,,True,In stock,False,,other,"FREE delivery Sunday, 29 March on your first order. Order within 8 mins. Details | Sunday, 29 March | Order within 8 mins",False,
B0BN5NVRF5,600001,https://www.amazon.in/dp/B0BN5NVRF5,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 13 hrs 17 mins. Details | Sunday, 29 March | 13 hrs 17 mins",False,
B0BN5PMK3V,600001,https://www.amazon.in/dp/B0BN5PMK3V,,True,In stock,False,,other,free delivery on eligible orders | FREE Delivery by Amazon,False,
B0BN5R2L4Q,600001,https://www.amazon.in/dp/B0BN5R2L4Q,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 13 hrs 17 mins. Details | Sunday, 29 March | 13 hrs 17 mins",False,
B0BN5P7KMN,600001,https://www.amazon.in/dp/B0BN5P7KMN,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 9 hrs 7 mins. Details | Sunday, 29 March | 9 hrs 7 mins",False,
B0BN5P73JD,600001,https://www.amazon.in/dp/B0BN5P73JD,,True,In stock,False,,other,"FREE delivery Sunday, 29 March on your first order. Order within 7 mins. Details | Sunday, 29 March | Order within 7 mins",False,
B0BN5P232F,600001,https://www.amazon.in/dp/B0BN5P232F,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 13 hrs 17 mins. Details | Sunday, 29 March | 13 hrs 17 mins",False,
B0BN631JD4,600001,https://www.amazon.in/dp/B0BN631JD4,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 6 mins. Details | Sunday, 29 March | Order within 6 mins",False,
B0BN5PJ762,600001,https://www.amazon.in/dp/B0BN5PJ762,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 13 hrs 16 mins. Details | Sunday, 29 March | 13 hrs 16 mins",False,
B0BN5NTWZR,600001,https://www.amazon.in/dp/B0BN5NTWZR,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 13 hrs 16 mins. Details | Sunday, 29 March | 13 hrs 16 mins",False,
B0BN5P55SW,600001,https://www.amazon.in/dp/B0BN5P55SW,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 6 mins. Details | Sunday, 29 March | Order within 6 mins",False,
B0BN5QKNF7,600001,https://www.amazon.in/dp/B0BN5QKNF7,,True,In stock,False,,other,"FREE delivery Sunday, 29 March on your first order. Order within 6 mins. Details | Sunday, 29 March | Order within 6 mins",False,
B0BN5NZCGH,600001,https://www.amazon.in/dp/B0BN5NZCGH,,True,In stock,False,,other,"FREE delivery Sunday, 29 March on your first order. Order within 6 mins. Details | Sunday, 29 March | Order within 6 mins",False,
B0CN177JS7,600001,https://www.amazon.in/dp/B0CN177JS7,,True,In stock,False,,other,"FREE delivery Sunday, 29 March. Order within 13 hrs 15 mins. Details | Sunday, 29 March | 13 hrs 15 mins",False,
B0BN5MLSSR,600001,https://www.amazon.in/dp/B0BN5MLSSR,,True,In stock,False,,other,"FREE delivery Sunday, 29 March on your first order. Order within 5 mins. Details | Sunday, 29 March | Order within 5 mins",False,
