asin,pincode,url,title,is_buyable,availability_text,amazon_fulfilled,merchant_text,delivery_type,delivery_text,captcha_seen,error
B0FFBC22J7,500001,https://www.amazon.in/dp/B0FFBC22J7,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 9 hrs 29 mins. Details | Thursday, 23 April | 9 hrs 29 mins",False,
B0F8HX1LWF,500001,https://www.amazon.in/dp/B0F8HX1LWF,,False,Currently unavailable. | Delivering to Delhi 110008 - Update location | Add to Wish List | 5 l (Pack of 1) Currently unavailable. | Currently unavailable. We don't know when or if this item will be back in stock. | Currently unavailable. We don't know when or if this item will be back in stock. Delivering to Delhi 110008 - Update location Add to Wish List,False,,unavailable,free delivery on eligible orders | FREE Delivery by Amazon,False,
B0F8HSCMZB,500001,https://www.amazon.in/dp/B0F8HSCMZB,,False,In stock | Currently unavailable. | 5 l (Pack of 1) Currently unavailable.,False,,unavailable,"FREE delivery Thursday, 23 April. Details | Thursday, 23 April",False,
B0FFB9VK8N,500001,https://www.amazon.in/dp/B0FFB9VK8N,,True,In stock,False,,other,"FREE delivery Thursday, 23 April. Order within 9 hrs 29 mins. Details | Thursday, 23 April | 9 hrs 29 mins",False,
B0F8HF1BLP,500001,https://www.amazon.in/dp/B0F8HF1BLP,,True,In stock,False,,other,"FREE delivery Thursday, 23 April. Order within 9 hrs 29 mins. Details | Thursday, 23 April | 9 hrs 29 mins",False,
B0F8HPR6V1,500001,https://www.amazon.in/dp/B0F8HPR6V1,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Details | Thursday, 23 April | FREE delivery Thursday, 23 April on your first order. Details Or fastest delivery Tomorrow 8 am - 12 pm. Order within 8 hrs 58 mins. Details",False,
B0F8J3TFBL,500001,https://www.amazon.in/dp/B0F8J3TFBL,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 9 hrs 28 mins. Details | Thursday, 23 April | 9 hrs 28 mins",False,
B0FFB9SF9R,500001,https://www.amazon.in/dp/B0FFB9SF9R,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Details | Thursday, 23 April | FREE delivery Thursday, 23 April on your first order. Details Or FREE delivery Tomorrow 8 am - 12 pm on eligible orders. Order within 8 hrs 58 mins. Details",False,
B0F8J275QC,500001,https://www.amazon.in/dp/B0F8J275QC,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 9 hrs 28 mins. Details | Thursday, 23 April | 9 hrs 28 mins",False,
B0F8HXFXMH,500001,https://www.amazon.in/dp/B0F8HXFXMH,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Details | Thursday, 23 April | FREE delivery Thursday, 23 April on your first order. Details Or fastest delivery Tomorrow 8 am - 12 pm. Order within 8 hrs 58 mins. Details",False,
B0F8J41165,500001,https://www.amazon.in/dp/B0F8J41165,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Details | Thursday, 23 April | FREE delivery Thursday, 23 April on your first order. Details Or fastest delivery Tomorrow 8 am - 12 pm. Order within 8 hrs 58 mins. Details",False,
B0F8J4RHL5,500001,https://www.amazon.in/dp/B0F8J4RHL5,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Details | Thursday, 23 April | FREE delivery Thursday, 23 April on your first order. Details Or fastest delivery Tomorrow 8 am - 12 pm. Order within 8 hrs 57 mins. Details",False,
B0FFBC22J7,791110,https://www.amazon.in/dp/B0FFBC22J7,,True,In stock,False,,other,"FREE delivery Monday, 27 April on your first order. Details | Monday, 27 April",False,
B0F8HX1LWF,791110,https://www.amazon.in/dp/B0F8HX1LWF,,False,Currently unavailable. | Deliver to Naharlagun 791110‌ | Deliver to | 5 l (Pack of 1) Currently unavailable. | Currently unavailable. We don't know when or if this item will be back in stock. | Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Naharlagun 791110‌ Add to Wish List,False,,unavailable,free delivery on eligible orders | FREE Delivery by Amazon,False,
B0F8HSCMZB,791110,https://www.amazon.in/dp/B0F8HSCMZB,,False,In stock | Currently unavailable. | 5 l (Pack of 1) Currently unavailable.,False,,unavailable,"FREE delivery Monday, 27 April. Details | Monday, 27 April",False,
B0FFB9VK8N,791110,https://www.amazon.in/dp/B0FFB9VK8N,,True,In stock,False,,other,"FREE delivery Monday, 27 April. Details | Monday, 27 April",False,
B0F8HF1BLP,791110,https://www.amazon.in/dp/B0F8HF1BLP,,True,In stock,False,,other,"FREE delivery Monday, 27 April. Details | Monday, 27 April",False,
B0F8HPR6V1,791110,https://www.amazon.in/dp/B0F8HPR6V1,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 9 hrs 26 mins. Details | Thursday, 23 April | 9 hrs 26 mins",False,
B0F8J3TFBL,791110,https://www.amazon.in/dp/B0F8J3TFBL,,True,In stock,False,,other,"FREE delivery Monday, 27 April on your first order. Details | Monday, 27 April",False,
B0FFB9SF9R,791110,https://www.amazon.in/dp/B0FFB9SF9R,,True,In stock,False,,other,"FREE delivery Monday, 27 April on your first order. Details | Monday, 27 April",False,
B0F8J275QC,791110,https://www.amazon.in/dp/B0F8J275QC,,True,In stock,False,,other,"FREE delivery Monday, 27 April on your first order. Details | Monday, 27 April",False,
B0F8HXFXMH,791110,https://www.amazon.in/dp/B0F8HXFXMH,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 9 hrs 26 mins. Details | Thursday, 23 April | 9 hrs 26 mins",False,
B0F8J41165,791110,https://www.amazon.in/dp/B0F8J41165,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 9 hrs 25 mins. Details | Thursday, 23 April | 9 hrs 25 mins",False,
B0F8J4RHL5,791110,https://www.amazon.in/dp/B0F8J4RHL5,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Order within 9 hrs 25 mins. Details | Thursday, 23 April | 9 hrs 25 mins",False,
B0FFBC22J7,781001,https://www.amazon.in/dp/B0FFBC22J7,,True,In stock,False,,other,"FREE delivery Monday, 27 April on your first order. Details | Monday, 27 April",False,
B0F8HX1LWF,781001,https://www.amazon.in/dp/B0F8HX1LWF,,False,Currently unavailable. | Deliver to Guwahati 781001‌ | Deliver to | 5 l (Pack of 1) Currently unavailable. | Currently unavailable. We don't know when or if this item will be back in stock. | Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Guwahati 781001‌ Add to Wish List,False,,unavailable,free delivery on eligible orders | FREE Delivery by Amazon,False,
B0F8HSCMZB,781001,https://www.amazon.in/dp/B0F8HSCMZB,,False,In stock | Currently unavailable. | 5 l (Pack of 1) Currently unavailable.,False,,unavailable,"FREE delivery Monday, 27 April. Details | Monday, 27 April",False,
B0FFB9VK8N,781001,https://www.amazon.in/dp/B0FFB9VK8N,,True,In stock,False,,other,"FREE delivery Monday, 27 April. Details | Monday, 27 April",False,
B0F8HF1BLP,781001,https://www.amazon.in/dp/B0F8HF1BLP,,True,In stock,False,,other,"FREE delivery Monday, 27 April. Details | Monday, 27 April",False,
B0F8HPR6V1,781001,https://www.amazon.in/dp/B0F8HPR6V1,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Details | Thursday, 23 April | FREE delivery Thursday, 23 April on your first order. Details Or fastest delivery Tomorrow 8 am - 12 pm. Order within 8 hrs 39 mins. Details",False,
B0F8J3TFBL,781001,https://www.amazon.in/dp/B0F8J3TFBL,,True,In stock,False,,other,"FREE delivery Monday, 27 April on your first order. Details | Monday, 27 April",False,
B0FFB9SF9R,781001,https://www.amazon.in/dp/B0FFB9SF9R,,True,In stock,False,,next_day,"FREE delivery Monday, 27 April on your first order. Details | Monday, 27 April | FREE delivery Monday, 27 April on your first order. Details Or fastest delivery Tomorrow, 22 April. Order within 4 hrs 24 mins. Details",False,
B0F8J275QC,781001,https://www.amazon.in/dp/B0F8J275QC,,True,In stock,False,,other,"FREE delivery Monday, 27 April on your first order. Details | Monday, 27 April",False,
B0F8HXFXMH,781001,https://www.amazon.in/dp/B0F8HXFXMH,,True,In stock,False,,other,"FREE delivery Thursday, 23 April on your first order. Details | Thursday, 23 April | FREE delivery Thursday, 23 April on your first order. Details Or fastest delivery Tomorrow 8 am - 12 pm. Order within 8 hrs 39 mins. Details",False,
