unitsSoldClicks,cost,purchases,campaignId,campaignStatus,clicks,impressions,campaignName,sales
0,0,0,157428663096746,PAUSED,0,0,SD-Category/CompetitionTarget-Eva Mat,0
0,0.24,0,209292321847418,ENABLED,0,12,Multicolor vCPM- Target Temoli,0
4,1277.62,4,67689273965447,ENABLED,43,23291,SD-VCPM-Storage Bag-Defensive,2670.48
0,0.4,0,52081996498520,ENABLED,0,28,SD-VCPM-SB-Competition,0
3,1109.38,5,443522020803957,ENABLED,54,21127,SD-VCPM-EVA Kids Mats- B08GJ2W8H6 Liltoes,10445.92
0,99.88,2,511827829287276,ENABLED,11,2903,Multicolor vCPM- Target Ehomekart,4114.49
0,39.66,0,306854315900695,ENABLED,0,1159,SD-Views-Anti-Slip Mats Defensive,0
8,3222.28,19,481061152849251,ENABLED,167,96031,SD-VCPM-EVA Gym Mat- (B0CHMZCX43 Xtrim),35318.2
0,445.55,0,537801191689695,ENABLED,18,14429,SD-VCPM-EVA Gym Mat- (B09QMK3PC5 Nasmodo),0
0,46.65,0,355409400089994,ENABLED,0,803,SD-VCPM-EVA Gym Mat- (B01DAOOAW6 Stalwart),0
6,1969.06,3,457139211617322,ENABLED,80,56458,SD-VCPM-EVA Gym Mat-Defensive,11407.6
17,1008.05,13,389639008589861,ENABLED,124,37062,SD-EVA Kids Mat-Defensive,39216.17
0,290.5,0,388683862001772,ENABLED,22,6336,"SD-VCPM-EVA Gym Mat- (B0784MK315, B07F3JN779 Kobo)",0
0,13.51,0,459114062083124,ENABLED,0,833,SD-VCPM-EVA Gym Mat- (B0D95SFFL9 Xtrim),0
1,1098.94,4,290187432097965,ENABLED,42,28514,SD-VCPM-EVA Gym Mat- (B09SJ6VDN4 Nasmodo),12571.41
0,346.13,0,397624518684234,ENABLED,23,9682,SD-VCPM-EVA Gym Mat- (B0D95TB7KV Xtrim),0
1,550.44,1,449905481136315,ENABLED,32,21455,SD-VCPM-EVA Gym Mat- (B09P3NQ1V5 Signatron),1412.38
0,47.9,1,305564740370745,ENABLED,4,2112,"SD-VCPM-EVA Gym Mat- (B09P3NQ1V5, B09F68LRLC, B0B5N7S9QJ Signatron)",4276.19
0,297.35,1,349980243723708,ENABLED,15,9434,SD-VCPM-ASM- (B078X7KLTH Urbanfix),334.75
0,0,0,413703656044062,ENABLED,0,6,SD-CPC-ASM- (B08N4R1HQ6 KayJen),0
0,508.27,1,450971091916435,ENABLED,8,11122,SD-VCPM-ASM-(B0DDXRHF54 Niwlix),334.75
0,129.64,0,431945262212312,ENABLED,4,3412,SD-VCPM-ASM- (B08N4R1HQ6 KayJen),0
0,0,0,352399194287445,ENABLED,0,2,SD-CPC-ASM- (B0D8L853WP Niwlix),0
0,0,0,478359384774103,ENABLED,0,0,SD-CPC-ASM- (B078X7KLTH Urbanfix),0
1,52.94,1,392989596184040,ENABLED,1,182,SD-CPC-ASM- (B08W3CF11M Elastpro),334.75
0,0,0,420370903781708,PAUSED,0,0,SD-VCPM-ASM- (B07MNKGT2P Kuber),0
0,0,0,455734630575915,ENABLED,0,4,SD-CPC-ASM- (B08336VK4N Urbanfix),0
0,3.8,0,329042635556732,ENABLED,1,1218,SD-CPC-ASM- (B09K7YTVP7 Ladiosa),0
0,87.3,0,483274600242538,ENABLED,4,2047,SD-VCPM-ASM- (B09YP2YQK1 KayJen),0
0,0,0,560640835732321,ENABLED,0,6,SD-CPC-ASM-(B0DDXRHF54 Niwlix),0
0,0,0,554948198542369,ENABLED,0,0,SD-CPC-ASM- (B09YP2YQK1 KayJen),0
0,258.4,0,351456524576092,ENABLED,5,5960,SD-VCPM-ASM- (B0D8L853WP Niwlix),0
0,145.3,0,410935427873743,PAUSED,2,3437,SD-VCPM-ASM- (B0831486NM Elastpro),0
0,0,0,433365069808477,PAUSED,0,0,SD-CPC-ASM- (B07MNKGT2P Kuber),0
0,0,0,493572077324397,ENABLED,0,0,SD-Category-ASM-Defensive,0
1,1068.28,3,347327126610116,ENABLED,68,23734,SD-VCPM-EVA Kids Mat-B0CDH4X4DD Liltoes,4384.01
3,3482.25,12,319808882793969,ENABLED,156,60969,SD-VCPM-EVA Kids Mat-B08JZ8SS2H Liltoes,32191.6
0,0,0,532569419518741,PAUSED,0,0,Growz | SD - GIF 25 - Sports (1) - 17213,0
0,0,0,357746731074939,PAUSED,0,0,SD-CPC-Views Remarketing-Competition,0
0,0,0,371322498987426,PAUSED,0,0,Growz | SD - GIF 25 - Baby Product (1) - 68188,0
0,0,0,519725544196465,PAUSED,0,0,Growz | SD - GIF 25 - Home (1) - 78302,0
0,0,0,511163479396898,PAUSED,0,0,SD-CPC-Views Remarketing-Defensive,0
0,0,0,495145198318482,PAUSED,0,0,Growz | SD - GIF 25 - Amz (1) - 60589,0
0,0,0,503689132074175,PAUSED,0,0,SD-VCPM-ASM- (B0D7W73KZ1 Senego),0
