cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
0,0,kitchen shelf mats roll,429616088691752,B0CN177JS7,0,AntiSkidMat_Diamond_Grey_60cmx10mtr,0,0,215,SP-KT-ASM- (Kitchen Shelf Mats Roll),326807220936343
25.69,0,ASINs,525534316779701,B0CN177JS7,3,AntiSkidMat_Diamond_Grey_60cmx10mtr,0,0,143,Defense- Antislip- SPM ASIN,370304859254119
147.95,0,ASINs,525534316779701,B0BN5NZCGH,16,AntiSkidMat_Diamond_Grey_45cmx5mtr,0,0,1641,Defense- Antislip- SPM ASIN,370304859254119
45.37,2,ASINs,525534316779701,B0BN5P232F,5,AntiSkidMat_Diamond_Clear_45cmx5mtr,2,838.99,325,Defense- Antislip- SPM ASIN,370304859254119
127.43,5,ASINs,525534316779701,B0BN631JD4,14,AntiSkidMat_Diamond_Clear_60cmx10mtr,2,3700.01,727,Defense- Antislip- SPM ASIN,370304859254119
108.92,0,Ad Group - 24/5/2025 11:17:13.814,540403636890128,B09MY5K3SH,10,EH-Black-Interlock-Mat-4,0,0,2629,SP-KT-EVA Gym Mat-Defensive,538890822032291
0,0,Ad Group - 24/5/2025 11:17:13.814,540403636890128,B0F2TCMVWC,0,EH-Black-Mat-8,0,0,148,SP-KT-EVA Gym Mat-Defensive,538890822032291
2299.09,3,Ad Group - 24/5/2025 11:37:01.833,431252039560980,B0D9HB8LTP,170,EH_Black&Grey_EVA_PO8,3,7143.81,14619,SP-KT-EVA Gym Mat- (Gym Mat),412317785138777
316.88,1,Ad Group - 24/5/2025 11:37:01.833,431252039560980,B0F2TCMVWC,41,EH-Black-Mat-8,1,1371.43,3247,SP-KT-EVA Gym Mat- (Gym Mat),412317785138777
3109.45,12,Ad Group - 24/5/2025 11:37:01.833,431252039560980,B08642G3SR,248,eva_mats_black_8,12,21652.4,47569,SP-KT-EVA Gym Mat- (Gym Mat),412317785138777
1395.31,10,Ad Group - 24/5/2025 11:34:17.967,471873610002541,B0D9HB8LTP,164,EH_Black&Grey_EVA_PO8,9,22983.81,24738,SP-KT-EVA Gym Mat- (Gym Mats for Floor),438144705350280
106.13,0,Ad Group - 24/5/2025 11:34:17.967,471873610002541,B09MY5K3SH,14,EH-Black-Interlock-Mat-4,0,0,1569,SP-KT-EVA Gym Mat- (Gym Mats for Floor),438144705350280
2.28,0,Ad Group - 24/5/2025 11:37:22.788,355311063587869,B0D9HB8LTP,1,EH_Black&Grey_EVA_PO8,0,0,77,SP-KT-EVA Gym Mat- (Foam Mat),413600167687188
100.84,0,Ad Group - 24/5/2025 11:37:06.999,306648672666736,B0D9HB8LTP,15,EH_Black&Grey_EVA_PO8,0,0,3359,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),336047415485697
103.67,0,Ad Group - 24/5/2025 11:37:06.999,306648672666736,B0F2TCMVWC,18,EH-Black-Mat-8,0,0,2256,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),336047415485697
126.33,0,Ad Group - 24/5/2025 11:37:06.999,306648672666736,B08642G3SR,23,eva_mats_black_8,0,0,5390,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),336047415485697
48.85,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B0D9HB8LTP,5,EH_Black&Grey_EVA_PO8,0,0,338,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
5.61,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B0F2TCMVWC,1,EH-Black-Mat-8,0,0,51,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
47.51,1,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B08642G3SR,5,eva_mats_black_8,1,2833.33,687,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
26.59,0,Ad Group - 24/5/2025 12:15:01.512,359469823003063,B0D9HB8LTP,2,EH_Black&Grey_EVA_PO8,0,0,97,SP-KT-EVA Gym Mat- (Rubber Floor Tiles),469993859433214
12.3,0,Ad Group - 24/5/2025 12:15:01.512,359469823003063,B08642G3SR,1,eva_mats_black_8,0,0,103,SP-KT-EVA Gym Mat- (Rubber Floor Tiles),469993859433214
0,0,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B0D9HB8LTP,0,EH_Black&Grey_EVA_PO8,0,0,856,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
285.99,1,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B09MY5K3SH,60,EH-Black-Interlock-Mat-4,1,851.43,4713,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
13.4,0,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B0F2TCMVWC,3,EH-Black-Mat-8,0,0,331,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
4.25,1,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B08642G3SR,1,eva_mats_black_8,1,1460.0,53,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
91.6,0,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0D9HB8LTP,13,EH_Black&Grey_EVA_PO8,0,0,1769,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
89.56,1,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0F2TCMVWC,12,EH-Black-Mat-8,1,2833.33,3140,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
