cost,unitsSoldClicks1d,campaignId,campaignStatus,clicks,purchases1d,sales1d,impressions,campaignName,campaignBudgetAmount
10194.89,52,535245711377,ENABLED,2116,45,110579.97,247452,SPA-Liltoes-EVA Kids Mat,400.0
1223.01,14,20968751452637,ENABLED,107,13,7660.96,8105,SP-PT-Storage Bag-Defensive,200.0
416.45,3,158475079786365,ENABLED,28,3,1866.67,5162,SP-KT-Cloth Storage Bags for Clothes,200.0
310.75,0,256308032752309,ENABLED,30,0,0,4055,SP-KT-Blanket Cover Bag,200.0
2556.04,23,247409222779109,ENABLED,172,22,11460.32,21217,SP-KT-Storage Bag,300.0
1962.37,10,10906973167401,ENABLED,144,9,5501.9,20885,SP-KT-Storage Bags for Clothes,200.0
7719.42,41,39113273495549,ENABLED,553,39,24443.31,109185,SP-KT-Storage Bags for Clothes Large,400.0
682.78,1,82554496906576,ENABLED,48,1,471.43,11743,SP-KT-Clothes Storage Box,200.0
137.36,1,9582538140844,ENABLED,11,1,471.43,8050,SP-KT-Under Bed Storage Organizer Box,200.0
923.78,3,255888663353885,ENABLED,79,3,1885.72,34118,SP-KT-Blanket Storage Bags,200.0
1751.04,5,6450007315179,ENABLED,139,5,1945.71,17181,SP-PT-SB-(B07QRQZK1G Storite),200.0
699.25,3,256312749004119,ENABLED,47,3,2700.0,7239,SP-PT-SB-(B0DBDYX4W6 Storite),100.0
2254.57,11,241740193793969,ENABLED,177,10,6076.65,29347,SP-PT-SB-(B07B8K3RQK Storite),200.0
1653.12,5,65232048239628,ENABLED,114,5,2357.15,13492,SP-PT-SB-(B0DBDWG8K4 Storite),100.0
8816.3,41,203340432142488,ENABLED,500,39,24376.17,39571,SP-PT-SB-(B07BZ1XZ77 Storite),300.0
143.76,3,33915106654796,ENABLED,10,3,2295.24,1420,SP-PT-SB-(B081T9SFWY Storite),100.0
106.52,0,59099144882217,ENABLED,22,0,0,3416,SP-KT-EVA Kids Mat-(kids play mats for floor),100.0
94.4,1,85048571595974,ENABLED,20,1,2566.67,4690,SP-KT-EVA Kids Mat-(playing mat for kids),100.0
