targeting,cost,searchTerm,unitsSoldClicks1d,adGroupName,campaignId,clicks,purchases1d,sales1d,impressions,campaignName,adGroupId
substitutes,4.62,0 month baby,0,Ad Group - 13/3/2026 16:11:29.563,140884656142754,1,0,0,1,SPA-BPM-LT,374319319764080
shelf liners,18.0,0.50m shelf liner,0,Ad Group - 2/6/2025 13:09:44.603,440217389542115,1,0,0,3,SP-KT-ASM- *(Shelf Liners),432353232714756
baby playing mat,13.16,0.8 cm thick baby play mat,0,Ad Group - 13/3/2026 16:23:59.158,196758043116120,2,0,0,18,SP-KT-BPM-LT-(Baby Playing Mat),459932185673124
substitutes,7.94,1 inch foam sheet,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
"asin=""B09QMK3PC5""",7.7,1 inch gym floor mat,0,Ad Group - 24/5/2025 14:27:48.286,475976771349191,1,0,0,2,SP-PT-EVA Gym Mat- (B09QMK3PC5 Nasmodo),301389136846717
baby mat,12.97,1 inch thick baby mat,0,Ad Group - 13/3/2026 16:23:36.417,43333490979919,2,0,0,4,SP-KT-BPM-LT-(Baby Mat),498815586275145
loose-match,5.55,1 square meter therapy room mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
easy home gym mat for floor,11.34,"1. easy home gym mats for floor for home and living room, interlocking rubber floor gym mat for exercise, super absorbent eva foam workout mat- 60x60cm - 12mm thickness, grey (pack of 4-12 sq ft area)",0,Ad Group - 24/5/2025 11:17:13.814,540403636890128,2,0,0,12,SP-KT-EVA Gym Mat-Defensive,538890822032291
mat for baby,6.34,10 mm play mat for baby,0,Ad Group - 13/3/2026 16:23:51.382,241007015837636,1,0,0,2,SP-KT-BPM-LT-(Mat for Baby),413465603133122
shelf liner,15.6,100 feet shelf liner,0,Ad Group - 2/6/2025 13:10:56.332,452390025105521,1,0,0,1,SP-KT-ASM- Broad Keywords,553003683224806
substitutes,4.98,100 kg gym set for home workout,0,Ad Group - 8/7/2025 13:00:40.158,514376000626403,1,0,0,4,SPA-EVA Gym Mat (Ehk),462498025732970
loose-match,1.0,100 sq feet floor mat,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,1,0,0,2,SPA-EVA Gym Mat,367201349277941
shelf liners,13.06,10m kitchen shelf liner,0,Ad Group - 2/6/2025 13:09:44.603,440217389542115,1,0,0,20,SP-KT-ASM- *(Shelf Liners),432353232714756
shelf liners for kitchen shelves,10.89,10m kitchen shelf liner,0,Ad Group - 2/6/2025 13:10:56.332,452390025105521,1,0,0,4,SP-KT-ASM- Broad Keywords,553003683224806
loose-match,8.6,10mm baby matt multi color,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,7,SPA-EVA Kids Mat,434941025425851
substitutes,19.42,10mm thick play mat for kids,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,2,0,0,8,SPA-EVA Kids Mat,434941025425851
play mat,6.52,10mm thickness kids play mat,0,Ad Group - 13/3/2026 16:24:13.043,220664481004072,1,0,0,5,SP-KT-BPM-LT-(Play Mat),476222027673562
loose-match,4.71,11 meter mat for classroom,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,2,SPA-EVA Kids Mat,434941025425851
close-match,6.73,12 by 12 floor mat,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,1,0,0,4,SPA-EVA Gym Mat,367201349277941
loose-match,3.45,12 ft large play mat,0,Ad Group - 19/1/2026 14:30:37.316,535245711377,1,0,0,1,SPA-Liltoes-EVA Kids Mat,437434865512505
close-match,3.76,12 mm eva interlocking mats,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,1,0,0,1,SPA-EVA Gym Mat,367201349277941
substitutes,4.97,12 mm mat for kids,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,2,SPA-EVA Kids Mat,434941025425851
loose-match,2.3,12 mm rubber tiles for kids,0,Ad Group - 19/1/2026 14:30:37.316,535245711377,1,0,0,2,SPA-Liltoes-EVA Kids Mat,437434865512505
mat for baby,6.58,12 mm thick floor mat for baby,0,Ad Group - 13/3/2026 16:23:51.382,241007015837636,1,0,0,10,SP-KT-BPM-LT-(Mat for Baby),413465603133122
baby playing mat,6.58,12 month baby playing mat,0,Ad Group - 13/3/2026 16:23:59.158,196758043116120,1,0,0,5,SP-KT-BPM-LT-(Baby Playing Mat),459932185673124
close-match,6.32,12 tiles for play mat,1,Ad Group - 19/1/2026 14:30:37.316,535245711377,1,1,2308.57,2,SPA-Liltoes-EVA Kids Mat,437434865512505
baby mat,6.36,120 x 120 baby mat,0,Ad Group - 13/3/2026 16:23:36.417,43333490979919,1,0,0,13,SP-KT-BPM-LT-(Baby Mat),498815586275145
substitutes,8.32,120120 play mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,2,SPA-EVA Kids Mat,434941025425851
mat for baby,5.98,120150 mat for baby,0,Ad Group - 13/3/2026 16:23:51.382,241007015837636,1,0,0,8,SP-KT-BPM-LT-(Mat for Baby),413465603133122
baby mat,6.61,120x120 cm baby mat,0,Ad Group - 13/3/2026 16:23:36.417,43333490979919,1,0,0,1,SP-KT-BPM-LT-(Baby Mat),498815586275145
play mat,4.78,120x120 cm play mat,0,Ad Group - 13/3/2026 16:24:13.043,220664481004072,1,0,0,9,SP-KT-BPM-LT-(Play Mat),476222027673562
close-match,8.6,12mm eva foam,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,1,0,0,1,SPA-EVA Gym Mat,367201349277941
close-match,7.83,12mm foam,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
close-match,9.3,12mm gym mat,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,2,0,0,33,SPA-EVA Gym Mat,367201349277941
close-match,8.0,12mm mat,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,1,0,0,2,SPA-EVA Gym Mat,367201349277941
close-match,4.98,12mm mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,115,SPA-EVA Kids Mat,434941025425851
close-match,18.07,12mm mat,0,Ad Group - 13/6/2025 13:50:04.683,314100822945498,3,0,0,340,SPA-EVA Kids Mat PO9,407932472872582
mat for baby,6.58,12mm mat baby,0,Ad Group - 13/3/2026 16:23:51.382,241007015837636,1,0,0,9,SP-KT-BPM-LT-(Mat for Baby),413465603133122
close-match,9.3,12mm mat for kids,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,14,SPA-EVA Kids Mat,434941025425851
"asin=""B08JZ8SS2H""",12.6,12mm play mat,0,Ad Group - 27/5/2025 17:37:28.566,485687530178369,1,0,0,3,SP-PT-EVA Kids Mat- (B08JZ8SS2H Liltoes),495578798046501
mat for baby,6.58,12mm play mat for babies 0 to 12 months,0,Ad Group - 13/3/2026 16:23:51.382,241007015837636,1,0,0,1,SP-KT-BPM-LT-(Mat for Baby),413465603133122
close-match,5.0,12mm rubber mat,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,1,0,0,107,SPA-EVA Gym Mat,367201349277941
mat for baby,8.78,12mm thick foam mat for baby,0,Ad Group - 13/3/2026 16:23:51.382,241007015837636,1,0,0,4,SP-KT-BPM-LT-(Mat for Baby),413465603133122
close-match,7.69,12mm thick kids mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,2,0,0,36,SPA-EVA Kids Mat,434941025425851
close-match,5.83,12mm thick kids mat,1,Ad Group - 13/6/2025 13:50:04.683,314100822945498,1,1,2822.86,138,SPA-EVA Kids Mat PO9,407932472872582
close-match,5.73,12mm thick mat,0,Ad Group - 13/6/2025 13:50:04.683,314100822945498,1,0,0,356,SPA-EVA Kids Mat PO9,407932472872582
loose-match,3.1,12mm thick playmat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
substitutes,4.0,12mm thick playmat,0,Ad Group - 13/6/2025 13:50:04.683,314100822945498,1,0,0,1,SPA-EVA Kids Mat PO9,407932472872582
close-match,6.73,12mm thickness floor mat,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,1,0,0,1,SPA-EVA Gym Mat,367201349277941
close-match,6.7,12mm thickness floor mat,0,Ad Group - 19/1/2026 14:30:37.316,535245711377,1,0,0,4,SPA-Liltoes-EVA Kids Mat,437434865512505
loose-match,3.45,12mm thickness floor mat,0,Ad Group - 19/1/2026 14:30:37.316,535245711377,1,0,0,1,SPA-Liltoes-EVA Kids Mat,437434865512505
close-match,7.05,12mm thickness play mat,0,Ad Group - 19/1/2026 14:30:37.316,535245711377,1,0,0,2,SPA-Liltoes-EVA Kids Mat,437434865512505
baby playing mat,7.53,15 mm baby play mat 200 ×180 foldable,0,Ad Group - 13/3/2026 16:23:59.158,196758043116120,1,0,0,17,SP-KT-BPM-LT-(Baby Playing Mat),459932185673124
baby mat,19.78,150 180 baby mat,0,Ad Group - 13/3/2026 16:23:36.417,43333490979919,3,0,0,8,SP-KT-BPM-LT-(Baby Mat),498815586275145
baby mat,6.16,150 x 180 x 1.2cm thick baby mat,0,Ad Group - 13/3/2026 16:23:36.417,43333490979919,1,0,0,4,SP-KT-BPM-LT-(Baby Mat),498815586275145
loose-match,3.0,150180cm mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
loose-match,5.01,156 sqft room mat therapy,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
substitutes,7.77,16 mm play mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,2,0,0,3,SPA-EVA Kids Mat,434941025425851
substitutes,3.33,16 mm play mat,0,Ad Group - 19/1/2026 14:30:37.316,535245711377,1,0,0,2,SPA-Liltoes-EVA Kids Mat,437434865512505
loose-match,3.0,18 mm thick floor mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,2,SPA-EVA Kids Mat,434941025425851
play mat,5.58,180 150 play mat,0,Ad Group - 13/3/2026 16:24:13.043,220664481004072,1,0,0,5,SP-KT-BPM-LT-(Play Mat),476222027673562
play mat,13.24,180 x 150 play mat,0,Ad Group - 13/3/2026 16:24:13.043,220664481004072,2,0,0,5,SP-KT-BPM-LT-(Play Mat),476222027673562
loose-match,4.36,18mm coloured mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
loose-match,11.1,18mm thickness children mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,2,0,0,2,SPA-EVA Kids Mat,434941025425851
substitutes,5.26,1cm play mat,0,Ad Group - 13/3/2026 16:11:29.563,140884656142754,1,0,0,3,SPA-BPM-LT,374319319764080
mat for baby,6.33,1cm thick play mat for babies,0,Ad Group - 13/3/2026 16:23:51.382,241007015837636,1,0,0,7,SP-KT-BPM-LT-(Mat for Baby),413465603133122
playmat for kids,6.4,1cm thickness playmat for kids,0,Ad Group - 13/3/2026 16:24:18.191,71797717631962,1,0,0,2,SP-KT-BPM-LT-(Multi),397677611210849
substitutes,8.0,1kh,0,Ad Group - 8/7/2025 13:00:40.158,514376000626403,1,0,0,1,SPA-EVA Gym Mat (Ehk),462498025732970
loose-match,6.04,1meter interlocking 20mm sheet,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,2,0,0,2,SPA-EVA Kids Mat,434941025425851
loose-match,2.0,2 by 2 rubber mats for school,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
loose-match,4.46,2 centimeters thick mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
mat for baby,8.68,2 cm width floor mat for babies,0,Ad Group - 13/3/2026 16:23:51.382,241007015837636,1,0,0,7,SP-KT-BPM-LT-(Mat for Baby),413465603133122
loose-match,5.22,2 feet rubber mat for school,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,1,SPA-EVA Kids Mat,434941025425851
loose-match,1.0,20 in 1 gym bench with weight,0,Ad Group - 26/5/2025 10:56:55.000,528389355177773,1,0,0,9,SPA-EVA Gym Mat,367201349277941
substitutes,4.16,20 in 1 gym bench with weight,0,Ad Group - 8/7/2025 13:00:40.158,514376000626403,1,0,0,6,SPA-EVA Gym Mat (Ehk),462498025732970
baby playing mat,6.58,20 mm baby play mat,0,Ad Group - 13/3/2026 16:23:59.158,196758043116120,1,0,0,29,SP-KT-BPM-LT-(Baby Playing Mat),459932185673124
loose-match,3.7,20 x 20 floor matts,1,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,1,894.29,1,SPA-EVA Kids Mat,434941025425851
substitutes,9.8,200 micron greenhouse plastic,0,Ad Group - 29/5/2025 14:10:06.480,281721250618996,1,0,0,1,SPA-ASM Diamond (60x10),358557490345480
loose-match,5.73,200 sq feet foam mat,0,Ad Group - 29/5/2025 12:33:57.553,460560326042273,1,0,0,2,SPA-EVA Kids Mat,434941025425851
