keywordId,cost,adGroupName,matchType,campaignId,sales1d,impressions,adGroupId,keywordBid,targeting,keywordType,clicks,purchases1d,keyword,campaignName
215764232814404,0,kitchen shelf mats roll,EXACT,429616088691752,0,215,326807220936343,6.45,kitchen shelf mats roll,EXACT,0,0,kitchen shelf mats roll,SP-KT-ASM- (Kitchen Shelf Mats Roll)
209014965113010,9.46,ASINs,TARGETING_EXPRESSION,525534316779701,0,82,370304859254119,8.6,"asin=""B0BN5P7KMN""",TARGETING_EXPRESSION,1,0,"asin=""B0BN5P7KMN""",Defense- Antislip- SPM ASIN
254327954227927,17.05,ASINs,TARGETING_EXPRESSION,525534316779701,0,299,370304859254119,8.6,"asin=""B0BN5P232F""",TARGETING_EXPRESSION,2,0,"asin=""B0BN5P232F""",Defense- Antislip- SPM ASIN
137871515939378,25.54,ASINs,TARGETING_EXPRESSION,525534316779701,0,172,370304859254119,9,"asin=""B0BN631JD4""",TARGETING_EXPRESSION,3,0,"asin=""B0BN631JD4""",Defense- Antislip- SPM ASIN
241776081898933,110.72,ASINs,TARGETING_EXPRESSION,525534316779701,3700.01,488,370304859254119,9,"asin=""B0BN5PJ762""",TARGETING_EXPRESSION,12,2,"asin=""B0BN5PJ762""",Defense- Antislip- SPM ASIN
16962321526741,0,ASINs,TARGETING_EXPRESSION,525534316779701,0,13,370304859254119,8.6,"asin=""B0BN5NTWZR""",TARGETING_EXPRESSION,0,0,"asin=""B0BN5NTWZR""",Defense- Antislip- SPM ASIN
262055448388077,0,ASINs,TARGETING_EXPRESSION,525534316779701,0,14,370304859254119,8.6,"asin=""B0BN5P55SW""",TARGETING_EXPRESSION,0,0,"asin=""B0BN5P55SW""",Defense- Antislip- SPM ASIN
259020252102569,0,ASINs,TARGETING_EXPRESSION,525534316779701,0,34,370304859254119,9,"asin=""B0BN5QKNF7""",TARGETING_EXPRESSION,0,0,"asin=""B0BN5QKNF7""",Defense- Antislip- SPM ASIN
83052841877222,43.4,ASINs,TARGETING_EXPRESSION,525534316779701,655.08,308,370304859254119,9,"asin=""B0BN5NZCGH""",TARGETING_EXPRESSION,5,1,"asin=""B0BN5NZCGH""",Defense- Antislip- SPM ASIN
68225370682455,0,ASINs,TARGETING_EXPRESSION,525534316779701,0,2,370304859254119,8.6,"asin=""B0BN5QXPVX""",TARGETING_EXPRESSION,0,0,"asin=""B0BN5QXPVX""",Defense- Antislip- SPM ASIN
81882837552448,18.92,ASINs,TARGETING_EXPRESSION,525534316779701,0,110,370304859254119,8.6,"asin=""B0BN5MLSSR""",TARGETING_EXPRESSION,2,0,"asin=""B0BN5MLSSR""",Defense- Antislip- SPM ASIN
174145500860809,53.4,ASINs,TARGETING_EXPRESSION,525534316779701,838.99,161,370304859254119,9,"asin=""B0BN5Y4WW6""",TARGETING_EXPRESSION,6,2,"asin=""B0BN5Y4WW6""",Defense- Antislip- SPM ASIN
276156608269833,0,ASINs,TARGETING_EXPRESSION,525534316779701,0,63,370304859254119,8.6,"asin=""B0BTTD6CK7""",TARGETING_EXPRESSION,0,0,"asin=""B0BTTD6CK7""",Defense- Antislip- SPM ASIN
200361092804059,30.15,ASINs,TARGETING_EXPRESSION,525534316779701,0,418,370304859254119,11.3,"asin=""B0BTT8W68J""",TARGETING_EXPRESSION,3,0,"asin=""B0BTT8W68J""",Defense- Antislip- SPM ASIN
103683492577982,195.67,ASINs,TARGETING_EXPRESSION,525534316779701,470.34,1716,370304859254119,8.6,"asin=""B0BTTCZBLV""",TARGETING_EXPRESSION,22,3,"asin=""B0BTTCZBLV""",Defense- Antislip- SPM ASIN
97630054298342,48.12,Ad Group - 24/5/2025 11:17:13.814,PHRASE,540403636890128,0,490,538890822032291,15.82,easyhome gym mats,PHRASE,3,0,easyhome gym mats,SP-KT-EVA Gym Mat-Defensive
247752533778386,34.75,Ad Group - 24/5/2025 11:17:13.814,PHRASE,540403636890128,0,38,538890822032291,12,easy home gym mat for floor,PHRASE,3,0,easy home gym mat for floor,SP-KT-EVA Gym Mat-Defensive
61321908526995,107.5,Ad Group - 24/5/2025 11:17:13.814,EXACT,540403636890128,0,5474,538890822032291,10,easy home gym mat for floor,EXACT,14,0,easy home gym mat for floor,SP-KT-EVA Gym Mat-Defensive
236251310632210,6531.27,Ad Group - 24/5/2025 11:34:17.967,EXACT,471873610002541,76931.41,133890,438144705350280,6.5,gym mats for floor,EXACT,764,31,gym mats for floor,SP-KT-EVA Gym Mat- (Gym Mats for Floor)
14635696450946,445.8,Ad Group - 24/5/2025 11:36:56.919,EXACT,447874778015438,3163.81,8037,439121147951940,6,gym matt for workout,EXACT,84,3,gym matt for workout,SP-KT-EVA Gym Mat- (Gym Matt for Workout)
3881732934804,609.86,Ad Group - 24/5/2025 11:37:06.999,EXACT,306648672666736,6000.95,17275,336047415485697,7.76,gym floor mat rubber,EXACT,97,2,gym floor mat rubber,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber)
194969890645306,8305.23,Ad Group - 24/5/2025 11:37:01.833,EXACT,431252039560980,59098.1,100139,412317785138777,7,gym mat,EXACT,662,26,gym mat,SP-KT-EVA Gym Mat- (Gym Mat)
146992714601391,617.26,Ad Group - 24/5/2025 11:37:17.806,EXACT,307260474921082,8061.91,17775,502295335486580,7.16,gym floor mat,EXACT,84,2,gym floor mat,SP-KT-EVA Gym Mat- (Gym Floor Mat)
12356973806534,35.3,Ad Group - 24/5/2025 11:37:22.788,EXACT,355311063587869,0,759,413600167687188,4.5,foam mat,EXACT,7,0,foam mat,SP-KT-EVA Gym Mat- (Foam Mat)
199501066002430,386.32,Ad Group - 24/5/2025 11:37:33.625,EXACT,465835212527063,2833.33,2828,530796269824942,9,gym carpet,EXACT,40,1,gym carpet,SP-KT-EVA Gym Mat- (Gym Carpet)
92226398735775,58.54,Ad Group - 24/5/2025 12:15:01.512,EXACT,359469823003063,0,465,469993859433214,8.5,rubber floor tiles,EXACT,5,0,rubber floor tiles,SP-KT-EVA Gym Mat- (Rubber Floor Tiles)
119497568686214,249.29,Ad Group - 24/5/2025 11:34:30.975,EXACT,537007738248322,0,5337,364970581964338,10,exercise mat for home workout,EXACT,24,0,exercise mat for home workout,SP-KT-EVA Gym Mat- (Exercise Mat for Home Workout)
92421286618536,3853.71,Ad Group - 24/5/2025 12:15:14.966,EXACT,335463343417473,28282.85,83776,550847276292210,8,rubber mat for gym,EXACT,329,9,rubber mat for gym,SP-KT-EVA Gym Mat- (Rubber Mat for Gym)
120182553604469,82.94,Ad Group - 24/5/2025 12:15:19.387,EXACT,330012053021270,0,894,446287475736959,6.78,gym flooring,EXACT,10,0,gym flooring,SP-KT-EVA Gym Mat- (Gym Flooring)
107704369725342,0,Ad Group - 24/5/2025 12:15:23.827,EXACT,361079652913959,0,65,392007376840560,8,interlocking floor mats,EXACT,0,0,interlocking floor mats,SP-KT-EVA Gym Mat- (Interlocking Floor Mat)
114544657363680,350.92,Ad Group - 24/5/2025 12:15:32.648,EXACT,425765379909690,6247.62,12740,389155763929070,8.3,gym floor mats for heavy workout,EXACT,53,3,gym floor mats for heavy workout,SP-KT-EVA Gym Mat- (Gym Floor Mat for Heavy Workout)
234260785454572,33.15,Ad Group - 24/5/2025 12:15:28.007,EXACT,546255629915286,0,763,389658433063855,11.24,gym equipment mat,EXACT,3,0,gym equipment mat,SP-KT-EVA Gym Mat- (Gym Equipment Mat)
17961802152906,106.33,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,2894,519866902368980,7.85,"asin=""B0B5RVR7ZF""",TARGETING_EXPRESSION,15,0,"asin=""B0B5RVR7ZF""",SP-PT-EVA Gym Mat-Defensive
140868111131192,100.45,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,2377,519866902368980,9.29,"asin=""B0F2TCYXL3""",TARGETING_EXPRESSION,11,0,"asin=""B0F2TCYXL3""",SP-PT-EVA Gym Mat-Defensive
66290096217424,62.57,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,672,519866902368980,9.15,"asin=""B0D9HDFSH3""",TARGETING_EXPRESSION,7,0,"asin=""B0D9HDFSH3""",SP-PT-EVA Gym Mat-Defensive
11599278227192,20.43,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,928,519866902368980,9.37,"asin=""B0D9HBVW5C""",TARGETING_EXPRESSION,2,0,"asin=""B0D9HBVW5C""",SP-PT-EVA Gym Mat-Defensive
53940507389942,0,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,318,519866902368980,10.87,"asin=""B0D9HD2S7M""",TARGETING_EXPRESSION,0,0,"asin=""B0D9HD2S7M""",SP-PT-EVA Gym Mat-Defensive
244680050484494,25.94,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,446,519866902368980,11.12,"asin=""B0D9HBF469""",TARGETING_EXPRESSION,2,0,"asin=""B0D9HBF469""",SP-PT-EVA Gym Mat-Defensive
138447626911999,198.67,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,4969.52,3129,519866902368980,9.43,"asin=""B0B6T6D2YV""",TARGETING_EXPRESSION,23,2,"asin=""B0B6T6D2YV""",SP-PT-EVA Gym Mat-Defensive
143179624525903,34.38,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,1002,519866902368980,9,"asin=""B0B6T6X5DJ""",TARGETING_EXPRESSION,4,0,"asin=""B0B6T6X5DJ""",SP-PT-EVA Gym Mat-Defensive
186784980992534,427.73,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,1640.95,6441,519866902368980,8,"asin=""B0D9HCMCCY""",TARGETING_EXPRESSION,49,1,"asin=""B0D9HCMCCY""",SP-PT-EVA Gym Mat-Defensive
229533771972660,90.1,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,822,519866902368980,10.84,"asin=""B0B6TFQ66M""",TARGETING_EXPRESSION,9,0,"asin=""B0B6TFQ66M""",SP-PT-EVA Gym Mat-Defensive
171851205753510,0,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,154,519866902368980,5.5,"asin=""B0D9HB8LTP""",TARGETING_EXPRESSION,0,0,"asin=""B0D9HB8LTP""",SP-PT-EVA Gym Mat-Defensive
142159960924928,0,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,8,519866902368980,5.14,"asin=""B09MY5K3SH""",TARGETING_EXPRESSION,0,0,"asin=""B09MY5K3SH""",SP-PT-EVA Gym Mat-Defensive
157226482994634,38.57,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,0,512,519866902368980,8.59,"asin=""B0B6VCW2VK""",TARGETING_EXPRESSION,4,0,"asin=""B0B6VCW2VK""",SP-PT-EVA Gym Mat-Defensive
258162714420684,347.3,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,2952.38,5560,519866902368980,7,"asin=""B08642G3SR""",TARGETING_EXPRESSION,52,1,"asin=""B08642G3SR""",SP-PT-EVA Gym Mat-Defensive
28931331846946,197.34,Ad Group - 24/5/2025 13:02:24.065,TARGETING_EXPRESSION,455121583944025,6061.91,4335,519866902368980,7.5,"asin=""B0F2TCMVWC""",TARGETING_EXPRESSION,25,3,"asin=""B0F2TCMVWC""",SP-PT-EVA Gym Mat-Defensive
266460634779052,1050.7,Ad Group - 24/5/2025 13:46:42.503,TARGETING_EXPRESSION,386522372561870,9580.95,12855,500192314183364,6,"asin=""B09SJ6VDN4""",TARGETING_EXPRESSION,146,5,"asin=""B09SJ6VDN4""",SP-PT-EVA Gym Mat- (B09SJ6VDN4 Nasmodo)
62814397581189,4087.71,Ad Group - 24/5/2025 13:39:43.695,TARGETING_EXPRESSION,281974136978325,18402.84,46439,281496844344717,7,"asin=""B0CHMZCX43""",TARGETING_EXPRESSION,569,11,"asin=""B0CHMZCX43""",SP-PT-EVA Gym Mat- (B0CHMZCX43 Xtrim)
79914534993744,13368.89,Ad Group - 24/5/2025 13:46:29.001,TARGETING_EXPRESSION,491551781535347,89888.57,71775,347374572734676,5.6,"asin=""B0D95TB7KV""",TARGETING_EXPRESSION,1591,45,"asin=""B0D95TB7KV""",SP-PT-EVA Gym Mat- (B0D95TB7KV Xtrim)
120736438265961,247.6,Ad Group - 24/5/2025 13:46:53.411,TARGETING_EXPRESSION,479380068179034,1640.95,1208,415008988668416,11,"asin=""B0B5N7S9QJ""",TARGETING_EXPRESSION,22,1,"asin=""B0B5N7S9QJ""",SP-PT-EVA Gym Mat- (B0B5N7S9QJ Signatron)
12222148730038,708.69,Ad Group - 24/5/2025 13:46:35.933,TARGETING_EXPRESSION,486573877816929,2491.43,9958,423665939915321,4,"asin=""B0D95SFFL9""",TARGETING_EXPRESSION,114,2,"asin=""B0D95SFFL9""",SP-PT-EVA Gym Mat- (B0D95SFFL9 Xtrim)
