Campaign,CampaignId,Status,AdType,Budget,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS
SP-PT-Face Serum-(Forest Essential),133543582508551,PAUSED,SP,100.0,746,14,611.42,0.0,0,0,,0.0
SP-PT-Hair Revitaliser-(Forest Essential),77553745435511,PAUSED,SP,100.0,4800,35,1230.56,0.0,0,0,,0.0
SP-PT-Night Cream-(Forest Essential),53792915779924,PAUSED,SP,100.0,8663,45,1245.3,0.0,0,0,,0.0
SP-PT-Face Wash-(Forest Essential),275310261322871,ENABLED,SP,100.0,3191,28,673.7,838.98,2,2,80.3,1.25
SP-PT-Day Cream-(Forest Essentials),216827813491463,PAUSED,SP,100.0,2163,21,643.35,0.0,0,0,,0.0
SP-PT-Face Oil,252467080354898,ENABLED,SP,100.0,1708,11,352.26,0.0,0,0,,0.0
GR-4STAR ASIN 2026 e51b4f,96684110819913,ENABLED,SP,100.0,8805,2,10.2,0.0,0,0,,0.0
SP-KT-Under Eye Gel,172561906294754,ENABLED,SP,300.0,17523,54,966.04,1014.42,3,3,95.23,1.05
SP-KT-Face Mask,22913106144338,ENABLED,SP,100.0,12135,15,311.67,0.0,0,0,,0.0
SP-KT-Facial oil,44818168500186,ENABLED,SP,150.0,975,6,82.26,0.0,0,0,,0.0
SP-KT-Night & Day Cream,179650559035714,ENABLED,SP,100.0,68628,88,1272.91,677.12,1,1,187.99,0.53
SP-KT-Ultimate Rejuvenator Cream,21171896476311,ENABLED,SP,100.0,62,0,0.0,0.0,0,0,,0
SP-KT-Face Wash,165848451288933,ENABLED,SP,100.0,37394,3,50.39,0.0,0,0,,0.0
SP-KT-Face Scrub 2,131944279995721,ENABLED,SP,200.0,15592,76,1346.91,2936.47,5,7,45.87,2.18
SP-KT-Face Serum,81057176750666,ENABLED,SP,100.0,3681,3,54.46,0.0,0,0,,0.0
SP-PT-Face Scrub 2,112085596366611,ENABLED,SP,250.0,8095,51,1444.04,838.98,2,2,172.12,0.58
AD_READY: B0FDR1Z162 botanic brassion scrub,141932700181475,ENABLED,SP,50.0,1660,0,0.0,0.0,0,0,,0
AD_READY: B0FDL3VPCL day cream manual,101525330020256,ENABLED,SP,80.0,315,4,16.17,0.0,0,0,,0.0
AD_READY: B0FDL2SCRM skin rejuvenator cream,61415891603772,ENABLED,SP,80.0,560,5,25.21,0.0,0,0,,0.0
GR POTENTIAL ASIN  23-mar-2026 66e55a,234042213820070,ENABLED,SP,50.0,486,0,0.0,0.0,0,0,,0
SPA-Face Scrub,441139935973339,ENABLED,SP,400.0,294641,573,8637.91,8837.26,19,20,97.74,1.02
SPA-Face Cream,394118169772902,ENABLED,SP,100.0,1045,3,15.31,0.0,0,0,,0.0
SPA-Face Serum,431355751385850,ENABLED,SP,100.0,977,4,41.09,0.0,0,0,,0.0
SPA-Face Cleanser,510858053134151,ENABLED,SP,100.0,580,4,18.87,812.71,1,1,2.32,43.07
SPA-Hair Revitaliser,529074115719232,ENABLED,SP,100.0,298,2,15.91,0.0,0,0,,0.0
SPA-Facial Oil,482889088374664,ENABLED,SP,100.0,1013,4,34.15,0.0,0,0,,0.0
SPA-Under Eye Gel,511989105167946,ENABLED,SP,100.0,1692,5,72.97,0.0,0,0,,0.0
SPA-Face Mask,295936036688999,ENABLED,SP,100.0,598,5,25.1,0.0,0,0,,0.0
SP-KT-Hair Revitaliser,311876590865493,ENABLED,SP,100.0,124,2,19.62,0.0,0,0,,0.0
SP-KT-Kesar Chandan Scrub,422854550275428,ENABLED,SP,400.0,115647,447,8288.75,13843.19,33,33,59.88,1.67
SP-Defensive-Face Cleanser,540001868136112,PAUSED,SP,100.0,660,9,154.36,0.0,0,0,,0.0
SP-PT-Face Scrub,409719708082570,ENABLED,SP,700.0,69279,467,17447.76,18038.1,42,43,96.73,1.03
SP-PT-Defensive,530517008716333,ENABLED,SP,300.0,17844,190,3947.64,5872.87,14,14,67.22,1.49
SD-VCPM-Day Cream (Forest Essential),217407904149409,ENABLED,SD,,26986,46,2898.5,0.0,0,0,,0.0
SD-VCPM-Hair Revitaliser-(Forest Essential),720513318380,ENABLED,SD,,31413,33,2159.64,0.0,0,0,,0.0
SD-VCPM-Face Wash-(Forest Essential),226385825541911,ENABLED,SD,,23634,17,2000.3,0.0,0,0,,0.0
SD-VCPM-Face Oil & Serum-(Forest Essential),53259516907400,ENABLED,SD,,2906,2,416.46,0.0,0,0,,0.0
SD-VCPM-Nigt Cream-(Forest Essential),73707165072833,ENABLED,SD,,23360,24,1826.08,0.0,0,0,,0.0
SD-VCPM-Views Retargeting,148945993344679,ENABLED,SD,,92409,212,5063.18,4194.9,10,4,120.7,0.83
SD-VCPM-Defensive-Face Cleanser,457643010659346,ENABLED,SD,,0,0,0.0,0.0,0,0,,0
SD-VCPM-Face Mask (Competition),538975611612128,ENABLED,SD,,3444,0,241.07,0.0,0,0,,0.0
SD-VCPM-Face Scrub (Competition),374115739481960,ENABLED,SD,,34064,34,1794.47,0.0,0,0,,0.0
SD-VCPM-Defensive-Ubtan Face Scrub & Kesar Face Wash,290208239138286,ENABLED,SD,,16482,24,864.17,1258.47,3,2,68.67,1.46
