Keyword,MatchType,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CPC,CVR%,Category
"asin=""B0CV79NBBK""",TARGETING_EXPRESSION,45927,310,11882.66,9648.28,23,123.16,38.33,7.42,CUT BID 40%
substitutes,TARGETING_EXPRESSION_PREDEFINED,303050,584,8694.29,9649.97,20,90.1,14.89,3.42,CUT BID 40%
face scrub,PHRASE,81328,346,6051.82,10906.75,26,55.49,17.49,7.51,CUT BID 40%
"asin=""B0FDQVW4YD""",TARGETING_EXPRESSION,14726,147,3348.72,5453.38,13,61.41,22.78,8.84,CUT BID 40%
"asin=""B01N7VRC5U""",TARGETING_EXPRESSION,16805,93,3171.65,4614.4,10,68.73,34.1,10.75,CUT BID 40%
"asin=""B0CYCG3S81""",TARGETING_EXPRESSION,8269,43,1227.05,0.0,0,,28.54,0.0,NEGATE
"asin=""B0B6W5KCRM""",TARGETING_EXPRESSION,3885,31,1126.22,0.0,0,,36.33,0.0,NEGATE
"asin=""B009X7RO3M""",TARGETING_EXPRESSION,2441,27,1071.21,2097.45,5,51.07,39.67,18.52,CUT BID 40%
face scrub for glowing skin,EXACT,16952,47,1029.55,2097.46,5,49.09,21.91,10.64,MONITOR
face scrub,EXACT,10462,42,1020.59,838.98,2,121.65,24.3,4.76,CUT BID 40%
"asin=""B0CM9DPYN2""",TARGETING_EXPRESSION,1736,26,1012.47,1258.48,3,80.45,38.94,11.54,CUT BID 40%
"asin=""B0FPWWH55W""",TARGETING_EXPRESSION,1747,18,660.03,0.0,0,,36.67,0.0,NEGATE
pigmentation cream,PHRASE,33805,37,616.31,677.12,1,91.02,16.66,2.7,CUT BID 40%
sage royal ayurveda,EXACT,2850,28,523.37,0.0,0,,18.69,0.0,NEGATE
under eye gel,PHRASE,11242,32,510.24,676.28,2,75.45,15.95,6.25,CUT BID 40%
"asin=""B0DGPPCGGG""",TARGETING_EXPRESSION,1417,16,502.62,0.0,0,,31.41,0.0,NEGATE
"asin=""B0DTYCGMDN""",TARGETING_EXPRESSION,963,8,376.39,0.0,0,,47.05,0.0,NEGATE
"asin=""B0FDQG99RL""",TARGETING_EXPRESSION,329,9,369.56,0.0,0,,41.06,0.0,NEGATE
day cream,PHRASE,19118,26,351.4,0.0,0,,13.52,0.0,NEGATE
scrub tan removal,PHRASE,7421,23,349.32,419.5,1,83.27,15.19,4.35,CUT BID 40%
"asin=""B0C66B692C""",TARGETING_EXPRESSION,2088,11,332.6,0.0,0,,30.24,0.0,NEGATE
"asin=""B0FDQTVSJ6""",TARGETING_EXPRESSION,670,21,322.36,0.0,0,,15.35,0.0,NEGATE
"asin=""B0DZ6542YP""",TARGETING_EXPRESSION,1395,10,258.19,0.0,0,,25.82,0.0,NEGATE
"asin=""B0DN5QBMLZ""",TARGETING_EXPRESSION,773,7,186.51,0.0,0,,26.64,0.0,NEGATE
ubtan scrub,EXACT,1746,7,179.87,838.98,2,21.44,25.7,28.57,TOP PERFORMER
"asin=""B0CM9BK9YD""",TARGETING_EXPRESSION,479,5,177.06,419.49,1,42.21,35.41,20.0,MONITOR
"asin=""B0CBCN8GGP""",TARGETING_EXPRESSION,228,8,173.4,0.0,0,,21.68,0.0,NEGATE
de tan scrub,PHRASE,6888,10,155.3,0.0,0,,15.53,0.0,NEGATE
sage royal ayurveda,PHRASE,486,15,153.74,419.49,1,36.65,10.25,6.67,MONITOR
"asin=""B009VFVRMK""",TARGETING_EXPRESSION,1119,5,140.53,0.0,0,,28.11,0.0,NEGATE
"asin=""B0F2MNK34W""",TARGETING_EXPRESSION,2715,11,134.11,838.98,2,15.98,12.19,18.18,TOP PERFORMER
under eye cream for dark circles for men,EXACT,469,4,130.38,338.14,1,38.56,32.59,25.0,MONITOR
"asin=""B08XC833SM""",TARGETING_EXPRESSION,1247,5,127.13,0.0,0,,25.43,0.0,NEGATE
pigmentation cream for women,PHRASE,2879,8,123.27,0.0,0,,15.41,0.0,NEGATE
under eye gel,EXACT,3308,9,114.17,0.0,0,,12.69,0.0,NEGATE
face pack for women,PHRASE,5329,7,101.88,0.0,0,,14.55,0.0,NEGATE
"asin=""B0FDL28RZX""",TARGETING_EXPRESSION,503,11,97.21,0.0,0,,8.84,0.0,NEGATE
under eye gel for dark circles,EXACT,712,4,96.9,0.0,0,,24.23,0.0,NEGATE
"asin=""B0FDR1Z162""",TARGETING_EXPRESSION,553,5,88.12,419.49,1,21.01,17.62,20.0,MONITOR
ayurveda scrub for face,PHRASE,391,4,85.53,0.0,0,,21.38,0.0,NEGATE
face mask,EXACT,404,2,83.99,0.0,0,,41.99,0.0,NEGATE
brightening scrub,PHRASE,1783,5,82.37,1258.5,1,6.55,16.47,20.0,MONITOR
"asin=""B0FDQK3KN9""",TARGETING_EXPRESSION,250,6,80.99,0.0,0,,13.5,0.0,NEGATE
green tea face mask,EXACT,383,3,74.5,0.0,0,,24.83,0.0,NEGATE
