SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
b0cv79nbbk,24888,174,6494.67,5872.86,14,110.59,8.05,CONVERTING
b0fdqvw4yd,14570,146,3322.04,5453.38,13,60.92,8.9,CONVERTING
face scrub,15107,77,1831.43,2516.94,5,72.76,6.49,CONVERTING
face scrub for glowing skin,23893,86,1716.35,4614.4,11,37.2,12.79,CONVERTING
b0cycg3s81,8163,50,1329.74,419.49,1,316.99,2.0,MONITOR
b0b6w5kcrm,3672,30,1089.01,0.0,0,,0.0,ADD AS NEGATIVE
b009x7ro3m,1481,28,1087.81,2097.45,5,51.86,17.86,CONVERTING
b01n7vrc5u,2215,32,968.76,1677.96,4,57.73,12.5,CONVERTING
b0cm9dpyn2,1024,24,924.35,1258.48,3,73.45,12.5,CONVERTING
b0fpwwh55w,1541,17,632.57,0.0,0,,0.0,ADD AS NEGATIVE
sage royal ayurveda,2611,41,628.23,0.0,0,,0.0,ADD AS NEGATIVE
b0dgppcggg,965,19,544.23,0.0,0,,0.0,ADD AS NEGATIVE
b0dtycgmdn,275,8,376.39,0.0,0,,0.0,ADD AS NEGATIVE
b0fdqg99rl,152,9,369.56,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for women tan removal,488,15,351.55,838.98,2,41.9,13.33,CONVERTING
b0fdqtvsj6,128,21,322.36,0.0,0,,0.0,ADD AS NEGATIVE
b0c66b692c,1469,9,270.2,0.0,0,,0.0,ADD AS NEGATIVE
b0dz6542yp,412,10,258.19,0.0,0,,0.0,ADD AS NEGATIVE
khadi natural face scrub,15,5,248.5,419.49,1,59.24,20.0,MONITOR
under eye gel,2150,15,205.04,338.14,1,60.64,6.67,MONITOR
b0dn5qbmlz,293,7,186.51,0.0,0,,0.0,ADD AS NEGATIVE
ubtan scrub,587,7,179.87,838.98,2,21.44,28.57,BEST CONVERTING
b0cm9bk9yd,95,5,177.06,419.49,1,42.21,20.0,MONITOR
face scrubber for women,491,11,176.72,419.49,1,42.13,9.09,MONITOR
b0cbcn8ggp,67,8,173.4,0.0,0,,0.0,ADD AS NEGATIVE
pigmentation cream for women,866,10,171.45,0.0,0,,0.0,ADD AS NEGATIVE
scrub for women,403,10,159.04,419.49,1,37.91,10.0,MONITOR
b009vfvrmk,210,5,140.53,0.0,0,,0.0,ADD AS NEGATIVE
tan remover,656,9,138.86,0.0,0,,0.0,ADD AS NEGATIVE
biotique face scrub,228,6,137.5,0.0,0,,0.0,ADD AS NEGATIVE
b0f2mnk34w,876,11,134.11,838.98,2,15.98,18.18,BEST CONVERTING
b0cj5krq2d,8406,9,133.53,0.0,0,,0.0,ADD AS NEGATIVE
under eye cream for dark circles for men,469,4,130.38,338.14,1,38.56,25.0,MONITOR
face scrub for dry skin,50,5,128.34,0.0,0,,0.0,ADD AS NEGATIVE
herbal face scrub,4,3,126.37,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for women,111,4,125.58,0.0,0,,0.0,ADD AS NEGATIVE
exfoliating face scrub,20,4,122.93,0.0,0,,0.0,ADD AS NEGATIVE
b08z8b12xv,777,8,118.88,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for man,84,4,115.59,0.0,0,,0.0,ADD AS NEGATIVE
ayurvedic face scrub,15,6,115.44,0.0,0,,0.0,ADD AS NEGATIVE
chemist at play face scrub,218,3,112.94,0.0,0,,0.0,ADD AS NEGATIVE
naturali ubtan brightening body scrub,22,3,112.33,0.0,0,,0.0,ADD AS NEGATIVE
de tan face scrub,89,4,108.18,419.49,1,25.79,25.0,MONITOR
best face scrub,41,4,102.78,0.0,0,,0.0,ADD AS NEGATIVE
best face scrub for glowing skin,38,6,102.5,0.0,0,,0.0,ADD AS NEGATIVE
face and body scrub,73,3,100.59,0.0,0,,0.0,ADD AS NEGATIVE
haldi chandan scrub for face,13,3,99.57,0.0,0,,0.0,ADD AS NEGATIVE
everyuth walnut scrub,881,3,99.48,0.0,0,,0.0,ADD AS NEGATIVE
detan face scrub,85,4,97.61,0.0,0,,0.0,ADD AS NEGATIVE
b0fdl28rzx,170,11,97.21,0.0,0,,0.0,ADD AS NEGATIVE
scrub for men,206,6,94.65,419.49,1,22.56,16.67,MONITOR
khadi face scrub,95,4,94.61,0.0,0,,0.0,ADD AS NEGATIVE
sadhev under eye gel,125,6,92.4,0.0,0,,0.0,ADD AS NEGATIVE
fruit scrub for face,15,2,89.28,0.0,0,,0.0,ADD AS NEGATIVE
b0fdr1z162,173,5,88.12,419.49,1,21.01,20.0,MONITOR
b0fdqk3kn9,74,7,88.05,0.0,0,,0.0,ADD AS NEGATIVE
de tan scrub for women,33,3,87.8,419.49,1,20.93,33.33,MONITOR
b0f486r9kt,222,6,87.73,0.0,0,,0.0,ADD AS NEGATIVE
raga face scrub,6,2,87.6,0.0,0,,0.0,ADD AS NEGATIVE
naturali face scrub,86,4,86.01,419.49,1,20.5,25.0,MONITOR
ayurveda scrub for face,56,4,85.53,0.0,0,,0.0,ADD AS NEGATIVE
dr rashel de tan scrub,803,6,84.37,0.0,0,,0.0,ADD AS NEGATIVE
