unitsSoldClicks,cost,purchases,campaignId,campaignStatus,clicks,impressions,campaignName,sales
0,2898.5,0,217407904149409,ENABLED,46,26986,SD-VCPM-Day Cream (Forest Essential),0
0,2159.64,0,720513318380,ENABLED,33,31413,SD-VCPM-Hair Revitaliser-(Forest Essential),0
0,2000.3,0,226385825541911,ENABLED,17,23634,SD-VCPM-Face Wash-(Forest Essential),0
0,416.46,0,53259516907400,ENABLED,2,2906,SD-VCPM-Face Oil & Serum-(Forest Essential),0
0,1826.08,0,73707165072833,ENABLED,24,23360,SD-VCPM-Nigt Cream-(Forest Essential),0
4,5063.18,10,148945993344679,ENABLED,212,92409,SD-VCPM-Views Retargeting,4194.9
0,0,0,457643010659346,ENABLED,0,0,SD-VCPM-Defensive-Face Cleanser,0
0,241.07,0,538975611612128,ENABLED,0,3444,SD-VCPM-Face Mask (Competition),0
0,1794.47,0,374115739481960,ENABLED,34,34064,SD-VCPM-Face Scrub (Competition),0
2,864.17,3,290208239138286,ENABLED,24,16482,SD-VCPM-Defensive-Ubtan Face Scrub & Kesar Face Wash,1258.47
