cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
25.1,0,Ad Group - 3/11/2025 13:54:47.377,295936036688999,B0FDR1RNPJ,5,SRA-0013,0,0,598,SPA-Face Mask,340236643191298
72.97,0,Ad Group - 3/11/2025 14:45:14.245,511989105167946,B0FDL33HLT,5,SRA-0004,0,0,1692,SPA-Under Eye Gel,298497373603159
34.15,0,Ad Group - 3/11/2025 14:02:31.989,482889088374664,B0FDQTVSJ6,4,SRA-0010,0,0,1013,SPA-Facial Oil,477787551243730
15.31,0,Ad Group - 3/11/2025 14:42:58.404,394118169772902,B0FDL28RZX,3,SRA-0002,0,0,1045,SPA-Face Cream,472662761679244
0,0,Ad Group - 3/11/2025 14:08:31.493,510858053134151,B0FDQMJGMR,0,SRA-0008,0,0,101,SPA-Face Cleanser,386428286768757
1.3,0,Ad Group - 3/11/2025 14:08:31.493,510858053134151,B0FDQPLGWM,1,SRA-0007,0,0,267,SPA-Face Cleanser,386428286768757
17.57,1,Ad Group - 3/11/2025 14:08:31.493,510858053134151,B0FDQJTFP2,3,SRA-0006,1,812.71,212,SPA-Face Cleanser,386428286768757
15.91,0,Ad Group - 3/11/2025 13:45:06.973,529074115719232,B0FDQZDJF1,2,SRA-0014,0,0,298,SPA-Hair Revitaliser,343284740871331
41.09,0,Ad Group - 3/11/2025 14:05:19.330,431355751385850,B0FDQPNSTL,4,SRA-0009,0,0,977,SPA-Face Serum,519281885002476
8637.91,20,Ad Group - 3/11/2025 13:58:14.002,441139935973339,B0FDQVW4YD,573,SRA-0011,19,8837.26,294645,SPA-Face Scrub,441760799846673
19.62,0,Ad Group - 8/12/2025 13:35:16.598,311876590865493,B0FDQZDJF1,2,SRA-0014,0,0,124,SP-KT-Hair Revitaliser,506653995083011
8288.75,33,Ad Group - 12/12/2025 16:55:23.598,422854550275428,B0FDQVW4YD,447,SRA-0011,33,13843.19,115652,SP-KT-Kesar Chandan Scrub,503396541527413
58.57,0,Ad Group - 24/12/2025 16:09:57.607,540001868136112,B0FDQPLGWM,4,SRA-0007,0,0,167,SP-Defensive-Face Cleanser,329783617455077
82.74,0,Ad Group - 24/12/2025 16:09:57.607,540001868136112,B0FDQJTFP2,4,SRA-0006,0,0,162,SP-Defensive-Face Cleanser,329783617455077
13.05,0,Ad Group - 24/12/2025 16:09:57.607,540001868136112,B0FDQMJGMR,1,SRA-0008,0,0,160,SP-Defensive-Face Cleanser,329783617455077
0,0,Ad Group - 24/12/2025 16:09:57.607,540001868136112,B0FDQK3KN9,0,SRA-0005,0,0,171,SP-Defensive-Face Cleanser,329783617455077
17447.76,43,Ad Group - 26/12/2025 14:17:32.668,409719708082570,B0FDQVW4YD,467,SRA-0011,42,18038.1,69283,SP-PT-Face Scrub,530622467560381
582.73,4,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDQK3KN9,26,SRA-0005,4,1677.97,2033,SP-PT-Defensive,415463865960692
43.94,0,Ad Group - 10/2/2026 14:36:10.434,275310261322871,B0FDQMJGMR,2,SRA-0008,0,0,179,SP-PT-Face Wash-(Forest Essential),396668873295896
213.83,0,Ad Group - 10/2/2026 14:36:10.434,275310261322871,B0FDQPLGWM,8,SRA-0007,0,0,502,SP-PT-Face Wash-(Forest Essential),396668873295896
148.64,1,Ad Group - 10/2/2026 14:36:10.434,275310261322871,B0FDQJTFP2,7,SRA-0006,1,419.49,1269,SP-PT-Face Wash-(Forest Essential),396668873295896
267.29,1,Ad Group - 10/2/2026 14:36:10.434,275310261322871,B0FDQK3KN9,11,SRA-0005,1,419.49,1241,SP-PT-Face Wash-(Forest Essential),396668873295896
611.42,0,Ad Group - 10/2/2026 14:44:51.522,133543582508551,B0FDQPNSTL,14,SRA-0009,0,0,746,SP-PT-Face Serum-(Forest Essential),385267679235213
1245.3,0,Ad Group - 10/2/2026 14:33:01.785,53792915779924,B0FDL28RZX,45,SRA-0002,0,0,8663,SP-PT-Night Cream-(Forest Essential),494171160497014
1230.56,0,Ad Group - 10/2/2026 14:41:10.849,77553745435511,B0FDQZDJF1,35,SRA-0014,0,0,4800,SP-PT-Hair Revitaliser-(Forest Essential),546641353074475
643.35,0,Ad Group - 10/2/2026 14:20:37.032,216827813491463,B0FDL3VPCL,21,SRA-0003,0,0,2163,SP-PT-Day Cream-(Forest Essentials),394429305551220
352.26,0,Ad Group - 16/2/2026 11:08:18.146,252467080354898,B0FDQTVSJ6,11,SRA-0010,0,0,1708,SP-PT-Face Oil,339036717667693
137.73,0,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDQTVSJ6,9,SRA-0010,0,0,1071,SP-PT-Defensive,415463865960692
19.7,0,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDQMJGMR,1,SRA-0008,0,0,252,SP-PT-Defensive,415463865960692
1235.44,3,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDQVW4YD,50,SRA-0011,3,1258.47,3577,SP-PT-Defensive,415463865960692
104.24,1,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDL28RZX,6,SRA-0002,1,419.49,593,SP-PT-Defensive,415463865960692
508.13,1,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDR1RNPJ,28,SRA-0013,1,419.49,3593,SP-PT-Defensive,415463865960692
190.59,0,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDL33HLT,8,SRA-0004,0,0,721,SP-PT-Defensive,415463865960692
19.69,0,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDQZDJF1,1,SRA-0014,0,0,286,SP-PT-Defensive,415463865960692
201.97,0,Ad Group - 10/1/2026 13:08:14.108,530517008716333,B0FDQPNSTL,10,SRA-0009,0,0,775,SP-PT-Defensive,415463865960692
