cost,unitsSoldClicks1d,campaignId,campaignStatus,clicks,purchases1d,sales1d,impressions,campaignName,campaignBudgetAmount
611.42,0,133543582508551,PAUSED,14,0,0,746,SP-PT-Face Serum-(Forest Essential),100.0
1230.56,0,77553745435511,PAUSED,35,0,0,4800,SP-PT-Hair Revitaliser-(Forest Essential),100.0
1245.3,0,53792915779924,PAUSED,45,0,0,8663,SP-PT-Night Cream-(Forest Essential),100.0
673.7,2,275310261322871,ENABLED,28,2,838.98,3191,SP-PT-Face Wash-(Forest Essential),100.0
643.35,0,216827813491463,PAUSED,21,0,0,2163,SP-PT-Day Cream-(Forest Essentials),100.0
352.26,0,252467080354898,ENABLED,11,0,0,1708,SP-PT-Face Oil,100.0
10.2,0,96684110819913,ENABLED,2,0,0,8805,GR-4STAR ASIN 2026 e51b4f,100.0
966.04,3,172561906294754,ENABLED,54,3,1014.42,17523,SP-KT-Under Eye Gel,300.0
311.67,0,22913106144338,ENABLED,15,0,0,12135,SP-KT-Face Mask,100.0
82.26,0,44818168500186,ENABLED,6,0,0,975,SP-KT-Facial oil,150.0
1272.91,1,179650559035714,ENABLED,88,1,677.12,68628,SP-KT-Night & Day Cream,100.0
0,0,21171896476311,ENABLED,0,0,0,62,SP-KT-Ultimate Rejuvenator Cream,100.0
50.39,0,165848451288933,ENABLED,3,0,0,37394,SP-KT-Face Wash,100.0
1346.91,7,131944279995721,ENABLED,76,5,2936.47,15592,SP-KT-Face Scrub 2,200.0
54.46,0,81057176750666,ENABLED,3,0,0,3681,SP-KT-Face Serum,100.0
1444.04,2,112085596366611,ENABLED,51,2,838.98,8095,SP-PT-Face Scrub 2,250.0
0,0,141932700181475,ENABLED,0,0,0,1660,AD_READY: B0FDR1Z162 botanic brassion scrub,50.0
16.17,0,101525330020256,ENABLED,4,0,0,315,AD_READY: B0FDL3VPCL day cream manual,80.0
25.21,0,61415891603772,ENABLED,5,0,0,560,AD_READY: B0FDL2SCRM skin rejuvenator cream,80.0
0,0,234042213820070,ENABLED,0,0,0,486,GR POTENTIAL ASIN  23-mar-2026 66e55a,50.0
8637.91,20,441139935973339,ENABLED,573,19,8837.26,294641,SPA-Face Scrub,400.0
15.31,0,394118169772902,ENABLED,3,0,0,1045,SPA-Face Cream,100.0
41.09,0,431355751385850,ENABLED,4,0,0,977,SPA-Face Serum,100.0
18.87,1,510858053134151,ENABLED,4,1,812.71,580,SPA-Face Cleanser,100.0
15.91,0,529074115719232,ENABLED,2,0,0,298,SPA-Hair Revitaliser,100.0
34.15,0,482889088374664,ENABLED,4,0,0,1013,SPA-Facial Oil,100.0
72.97,0,511989105167946,ENABLED,5,0,0,1692,SPA-Under Eye Gel,100.0
25.1,0,295936036688999,ENABLED,5,0,0,598,SPA-Face Mask,100.0
19.62,0,311876590865493,ENABLED,2,0,0,124,SP-KT-Hair Revitaliser,100.0
8288.75,33,422854550275428,ENABLED,447,33,13843.19,115647,SP-KT-Kesar Chandan Scrub,400.0
154.36,0,540001868136112,PAUSED,9,0,0,660,SP-Defensive-Face Cleanser,100.0
17447.76,43,409719708082570,ENABLED,467,42,18038.1,69279,SP-PT-Face Scrub,700.0
3947.64,14,530517008716333,ENABLED,190,14,5872.87,17844,SP-PT-Defensive,300.0
