targeting,cost,searchTerm,unitsSoldClicks1d,adGroupName,campaignId,clicks,purchases1d,sales1d,impressions,campaignName,adGroupId
"asin=""B0FMF4CWX9""",30.14,18 herbs hair oil,0,Ad Group - 10/2/2026 14:41:10.849,77553745435511,1,0,0,76,SP-PT-Hair Revitaliser-(Forest Essential),546641353074475
loose-match,4.75,500gm face massage clean,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,1,SPA-Face Scrub,441760799846673
face scrub,19.5,a good face scrub,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,3,SP-KT-Kesar Chandan Scrub,503396541527413
"asin=""B0CV79NBBK""",35.53,a.d.s face and body cleansing scrub gel papaya,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,4,SP-PT-Face Scrub,530622467560381
face scrub,5.62,aaranya face scrub,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,5,SP-KT-Kesar Chandan Scrub,503396541527413
substitutes,16.74,ads face and body cleansing scrub gel,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,12,SPA-Face Scrub,441760799846673
pigmentation cream,27.78,advanced anti pigmentation cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,2,0,0,8,SP-KT-Night & Day Cream,418846667332067
loose-match,9.84,aharuvi skin superfood,0,Ad Group - 3/11/2025 14:02:31.989,482889088374664,1,0,0,3,SPA-Facial Oil,477787551243730
substitutes,16.74,akankha tanujjal scrub,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,5,SPA-Face Scrub,441760799846673
substitutes,16.02,akansha herbal tanujjol scrubber,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,6,SPA-Face Scrub,441760799846673
substitutes,16.63,akhankha tanujjal scrub,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,2,SPA-Face Scrub,441760799846673
amla hair oil,9.72,amla hair oil organic,0,Ad Group - 8/12/2025 13:35:16.598,311876590865493,1,0,0,1,SP-KT-Hair Revitaliser,506653995083011
"asin=""B0CV79NBBK""",31.82,amway scrub for face,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,6,SP-PT-Face Scrub,530622467560381
anti ageing oil for face massage,17.1,anti ageing oil for face massage,0,Ad Group - 2/3/2026 12:53:57.975,44818168500186,1,0,0,3,SP-KT-Facial oil,524144331841236
"asin=""B0CV79NBBK""",43.46,anti aging face scrub for women,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,8,SP-PT-Face Scrub,530622467560381
anti aging night cream,17.04,anti aging night cream for women,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,3,SP-KT-Night & Day Cream,418846667332067
pigmentation cream,22.07,anti pigmentation cream for women,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,6,SP-KT-Night & Day Cream,418846667332067
substitutes,16.56,anti tan scrub,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,1,0,0,1,SPA-Face Scrub,441760799846673
substitutes,30.27,apricot scrub for face,0,Ad Group - 3/11/2025 13:58:14.002,441139935973339,2,0,0,22,SPA-Face Scrub,441760799846673
"asin=""B0CV79NBBK""",49.82,apricot scrub for face,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,16,SP-PT-Face Scrub,530622467560381
"asin=""B0CV79NBBK""",41.86,apricots face scrub,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,4,SP-PT-Face Scrub,530622467560381
face scrub,21.09,arata oatmeal face scrub,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
pigmentation cream,18.16,arish pigmentation cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,5,SP-KT-Night & Day Cream,418846667332067
face scrub,19.43,arohi face scrub ranikhet,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
under eye gel,17.91,aroma magic under eye gel,0,Ad Group - 2/3/2026 13:32:37.977,172561906294754,1,0,0,23,SP-KT-Under Eye Gel,531866202636140
"asin=""B0CV79NBBK""",34.7,aroma scrub for face,0,Ad Group - 26/12/2025 14:17:32.668,409719708082570,1,0,0,9,SP-PT-Face Scrub,530622467560381
pigmentation cream,12.02,around mouth pigmentation cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,7,SP-KT-Night & Day Cream,418846667332067
face scrub,16.78,asaya face scrub,1,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,1,419.49,1,SP-KT-Kesar Chandan Scrub,503396541527413
anti aging night cream,3.66,assure anti-aging night cream,0,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,0,0,1,SP-KT-Night & Day Cream,418846667332067
face scrub,26.35,auro gold face scrub,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,2,SP-KT-Kesar Chandan Scrub,503396541527413
brightening scrub,32.72,aveeno brightening scrub,0,Ad Group - 3/3/2026 12:42:43.110,131944279995721,2,0,0,36,SP-KT-Face Scrub 2,293368071987808
face scrub,43.47,ayumcure face scrub,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,2,0,0,5,SP-KT-Kesar Chandan Scrub,503396541527413
anti aging,5.94,ayurveda blemish cream anti aging cream wrinkles cream,0,Ad group - 5/3/2026 11:07:55.187,61415891603772,1,0,0,1,AD_READY: B0FDL2SCRM skin rejuvenator cream,504647753389281
face scrub,16.8,ayurveda face scrub for glowing skin,0,Ad Group - 12/12/2025 16:55:23.598,422854550275428,1,0,0,1,SP-KT-Kesar Chandan Scrub,503396541527413
pigmentation cream,14.2,ayurveda pigmentation cream,1,Ad Group - 2/3/2026 13:45:41.026,179650559035714,1,1,677.12,4,SP-KT-Night & Day Cream,418846667332067
