ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category
B0FFB9SF9R,B0FFB9SF9R,658625,2380,49571.07,58152.9,287,306,85.24,1.17,0.36,12.06,20.83,4,LOSER - CUT BIDS
B0FFB9VK8N,B0FFB9VK8N,367370,1931,30082.85,24520.55,148,152,122.68,0.82,0.53,7.66,15.58,4,LOSER - CUT BIDS
B0F8J3TFBL,B0F8J3TFBL,441641,1170,24927.82,43660.95,163,178,57.09,1.75,0.26,13.93,21.31,4,LOSER - CUT BIDS
B0CGNMWJMT,B0CGNMWJMT,185104,2732,22408.7,40324.82,244,248,55.57,1.8,1.48,8.93,8.2,2,LOSER - CUT BIDS
B0DHL729KL,N9-NXLH-PG78,312508,2034,19395.61,42557.24,135,136,45.58,2.19,0.65,6.64,9.54,1,MONITOR
B0F8HXFXMH,B0F8HXFXMH,394134,610,16513.79,12622.88,30,31,130.82,0.76,0.15,4.92,27.07,4,LOSER - CUT BIDS
B0F8HX1LWF,B0F8HX1LWF,180963,314,7707.44,12880.64,39,39,59.84,1.67,0.17,12.42,24.55,4,LOSER - CUT BIDS
B0FFBC22J7,B0FFBC22J7,243352,313,7702.16,4200.87,19,19,183.35,0.55,0.13,6.07,24.61,4,LOSER - CUT BIDS
B0FT35Z27T,B0FT35Z27T,68508,605,6128.76,5525.53,24,24,110.92,0.9,0.88,3.97,10.13,1,LOSER - CUT BIDS
B0DSPZD1X6,B0DSPZD1X6,221168,631,4938.39,4732.16,16,16,104.36,0.96,0.29,2.54,7.83,1,LOSER - CUT BIDS
B0F8HY4X2J,B0F8HY4X2J,54609,137,4485.33,0.0,0,0,,0.0,0.25,0.0,32.74,1,LOSER - PAUSE
B0F8HBSXCF,B0F8HBSXCF,47662,149,4485.2,2860.2,8,9,156.81,0.64,0.31,5.37,30.1,3,LOSER - CUT BIDS
B0F8HPR6V1,B0F8HPR6V1,133411,184,4362.06,11784.73,28,34,37.01,2.7,0.14,15.22,23.71,3,MONITOR
B0CS3J1TX3,B0CS3J1TX3,40305,352,2446.25,3203.4,16,20,76.36,1.31,0.87,4.55,6.95,1,LOSER - CUT BIDS
B0CG6BLJMK,B0CG6BLJMK,32634,218,1700.55,2466.7,10,10,68.94,1.45,0.67,4.59,7.8,1,LOSER - CUT BIDS
B0F8J41165,B0F8J41165,19381,62,1396.15,1885.6,5,5,74.04,1.35,0.32,8.06,22.52,3,LOSER - CUT BIDS
B0F4D9Z5MX,B0F4D9Z5MX,26738,184,1388.56,4256.02,32,38,32.63,3.07,0.69,17.39,7.55,1,MONITOR
B078MMX2GK,Smilecasters_BC_Black,19549,185,1232.77,4209.55,9,9,29.29,3.41,0.95,4.86,6.66,1,MONITOR
B0BV2HCNGM,B0BV2HCNGM,34623,159,1200.23,1755.92,8,8,68.35,1.46,0.46,5.03,7.55,1,LOSER - CUT BIDS
B0FRXZ6V3H,8T-I5PI-U6RE,59928,168,1040.6,1968.65,6,6,52.86,1.89,0.28,3.57,6.19,1,LOSER - CUT BIDS
B0F8H6VCNF,B0F8H6VCNF,54770,99,931.18,1607.63,7,13,57.92,1.73,0.18,7.07,9.41,2,LOSER - CUT BIDS
B0DL3DF56S,B0DL3DF56S,24122,112,825.77,877.97,4,4,94.05,1.06,0.46,3.57,7.37,1,LOSER - CUT BIDS
B0FFBCSQBK,B0FFBCSQBK,25045,75,631.52,1524.57,10,11,41.42,2.41,0.3,13.33,8.42,1,MONITOR
B0F8J275QC,B0F8J275QC,9374,18,461.5,377.12,1,1,122.37,0.82,0.19,5.56,25.64,2,LOSER - CUT BIDS
B0F8J62NFY,B0F8J62NFY,20540,48,400.94,1673.74,5,5,23.95,4.17,0.23,10.42,8.35,1,WINNER
B0FCSDCV89,B0FCSDCV89,3958,37,256.62,0.0,0,0,,0.0,0.93,0.0,6.94,1,LOSER - PAUSE
B0F8HSCMZB,B0F8HSCMZB,2780,33,251.46,537.33,5,5,46.8,2.14,1.19,15.15,7.62,1,MONITOR
B0F8HP147Z,B0F8HP147Z,7549,17,176.45,546.61,1,1,32.28,3.1,0.23,5.88,10.38,2,MONITOR
B0FCFVTZJ5,B0FCFVTZJ5,10024,21,155.36,0.0,0,0,,0.0,0.21,0.0,7.4,1,LOSER - PAUSE
B0FCRT7NSY,B0FCRT7NSY,3862,13,86.92,0.0,0,0,,0.0,0.34,0.0,6.69,1,MONITOR
B0FCFVKPBM,B0FCFVKPBM,17057,11,54.69,0.0,0,0,,0.0,0.06,0.0,4.97,1,MONITOR
B0F8J4RHL5,B0F8J4RHL5,1616,5,50.47,0.0,0,0,,0.0,0.31,0.0,10.09,3,MONITOR
B0CZ3XB2TQ,B0CZ3XB2TQ,6089,6,27.7,0.0,0,0,,0.0,0.1,0.0,4.62,1,MONITOR
B078MGZ6FX,Smilecasters_BC_RoyalBlue,1380,3,21.63,0.0,0,0,,0.0,0.22,0.0,7.21,1,MONITOR
B0CXT158RK,B0CXT158RK,361,2,20.18,0.0,0,0,,0.0,0.55,0.0,10.09,1,MONITOR
B0FCFW8KWY,B0FCFW8KWY,455,2,13.68,0.0,0,0,,0.0,0.44,0.0,6.84,1,MONITOR
B0FCMTF964,B0FCMTF964,296,2,10.03,0.0,0,0,,0.0,0.68,0.0,5.01,1,MONITOR
B0FD71YLKK,B0FD71YLKK,1,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCSG4W8C,B0FCSG4W8C,2,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B0FCS49PPQ,B0FCS49PPQ,581,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
