Campaign,CampaignId,Status,AdType,Budget,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS
SP-PT-Hommies-Defensive,53912245365086,ENABLED,SP,200.0,8142,33,384.51,244.92,1,1,156.99,0.64
SP-PT-Toilet Cleaner,219554620839594,ENABLED,SP,2000.0,119252,956,18678.29,29645.09,143,155,63.01,1.59
SP-PT-Bathroom Cleaner,180284341484787,ENABLED,SP,600.0,46831,132,3762.42,1091.53,4,4,344.69,0.29
SP-PT-Handwash,16843794354150,ENABLED,SP,400.0,99577,285,9035.13,8512.72,21,21,106.14,0.94
SPA-Hand Sanitizer,233363584560305,ENABLED,SP,200.0,54609,137,4485.33,0.0,0,0,,0.0
SP-PT-Floor Cleaner,22275390977964,ENABLED,SP,500.0,110009,165,4182.87,11412.7,27,33,36.65,2.73
SP-PT-Dishwash,150935945169412,ENABLED,SP,800.0,177224,1267,21458.38,19732.55,119,122,108.75,0.92
SP-PT-Phenyl,36300873748827,ENABLED,SP,1000.0,169362,791,18391.32,32119.21,118,131,57.26,1.75
Steamer- 2/3/2026 10:30:10.328,185952594798445,ENABLED,SP,1000.0,159887,1094,9855.31,10626.12,46,46,92.75,1.08
Egg Boiler - 2/3/2026 10:26:31.473,92743541578962,ENABLED,SP,1000.0,593604,2833,25374.6,49258.05,157,158,51.51,1.94
Heating Pad Automatic - 2/3/2026 10:14:33.862,216235499016602,ENABLED,SP,1000.0,225409,3084,24854.95,43528.22,260,268,57.1,1.75
SPA-Hommies-Non selling SKU,254888731825287,ENABLED,SP,425.0,144836,436,3434.87,10148.43,59,70,33.85,2.95
SPA-Non Selling Dishwash,73112425027996,ENABLED,SP,200.0,3146,8,100.51,0.0,0,0,,0.0
SPA-Non Selling Handwash,176299667442030,ENABLED,SP,200.0,2289,3,24.03,0.0,0,0,,0.0
SPA-Non Selling Bathroom Cleaner,31195746368660,ENABLED,SP,200.0,18658,40,499.57,687.3,3,5,72.69,1.38
Unitecare Products-Auto,347048935154945,ENABLED,SP,1000.0,47048,94,625.18,0.0,0,0,,0.0
SPA- Heat Bag,299721350987996,PAUSED,SP,1000.0,0,0,0.0,0.0,0,0,,0
SPA-Handwash,307605513689558,ENABLED,SP,500.0,179178,164,3569.55,2097.45,4,5,170.19,0.59
SPA-Floor Cleaner,541827772160779,ENABLED,SP,300.0,229728,259,3025.36,7592.52,30,31,39.85,2.51
SPA-Bathroom Cleaner,546520737103958,ENABLED,SP,700.0,70049,49,792.2,1232.21,6,6,64.29,1.56
SPA-Glass Cleaner,350040861907539,ENABLED,SP,350.0,94684,93,1443.22,1339.0,4,4,107.78,0.93
SPA-Dishwash,408143135328940,ENABLED,SP,400.0,106146,310,3421.08,2832.12,17,18,120.8,0.83
SPA-Toilet Cleaner,401401556761257,ENABLED,SP,600.0,249296,255,3409.05,2100.86,11,11,162.27,0.62
SP-KT-Toilet Cleaner-Multi Keywords,297008422777552,ENABLED,SP,1100.0,289051,1164,27423.08,26406.95,133,140,103.85,0.96
SP-KT-Floor Cleaner-Multi Keywords,382668512964887,ENABLED,SP,600.0,37686,106,3350.95,3704.3,14,15,90.46,1.11
SP-KT-Bathroom Cleaner-Multi Keywords,474884043698560,ENABLED,SP,1000.0,171650,272,7526.38,4419.53,16,17,170.3,0.59
SP-KT-Glass Cleaner,469325631828807,ENABLED,SP,1000.0,29422,89,3130.96,4686.5,14,14,66.81,1.5
SP-KT-Handwash,559996026392825,ENABLED,SP,600.0,139071,234,5716.23,4275.43,11,11,133.7,0.75
SP-KT-Dishwash,443817337002972,ENABLED,SP,300.0,82966,349,5147.4,1955.88,12,12,263.18,0.38
SPA-SmileCaster,283430406546761,PAUSED,SP,500.0,20929,188,1254.4,4209.55,9,9,29.8,3.36
SP-PT-Glass Cleaner,449918354347491,ENABLED,SP,400.0,56704,132,3133.26,6855.14,21,21,45.71,2.19
SD-CPC-Dishwash (Comp),203760006376283,ENABLED,SD,,4806,13,357.36,151.69,1,1,235.59,0.42
SD-CPC-Glass Cleaner (Comp),90235035345781,ENABLED,SD,,1,0,0.0,0.0,0,0,,0
SD-CPC-Toilet Cleaner (Comp),65913501785234,PAUSED,SD,,0,0,0.0,0.0,0,0,,0
SD-CPC-Handwash (Comp),234889607334500,PAUSED,SD,,0,0,0.0,0.0,0,0,,0
SD-VCPM-Hommies Defensive,99221537314911,ENABLED,SD,,52561,74,2973.01,2217.81,9,3,134.05,0.75
SD-CPC-Floor Cleaner (Comp),54368893466800,PAUSED,SD,,0,0,0.0,0.0,0,0,,0
SD-CPC-Bathroom Cleaner,6283820425993,PAUSED,SD,,0,0,0.0,0.0,0,0,,0
SD-VCPM-Toilet Cleaner,304379286960237,ENABLED,SD,,111751,149,6569.28,936.45,5,2,701.51,0.14
SD-VCPM-Dishwash,312332048243287,ENABLED,SD,,95220,156,5152.68,320.33,2,2,1608.55,0.06
SD-VCPM-Handwash,381935978953393,ENABLED,SD,,153783,276,6182.37,4732.21,12,9,130.64,0.77
SD-VCPM-Bathroom Cleaner,546161106605021,PAUSED,SD,,0,0,0.0,0.0,0,0,,0
SD-VCPM-Steamer (Competition),306985752515154,PAUSED,SD,,0,0,0.0,0.0,0,0,,0
SD-VCPM-Glass Cleaner,361284452303170,ENABLED,SD,,3094,2,168.84,0.0,0,0,,0.0
SD-VCPM-Floor Cleaner,439855929104334,ENABLED,SD,,65233,86,4487.71,3815.28,14,6,117.62,0.85
