Keyword,MatchType,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CPC,CVR%,Category
substitutes,TARGETING_EXPRESSION_PREDEFINED,1496451,5361,52279.71,80296.57,371,65.11,9.75,6.92,CUT BID 40%
toilet cleaner,PHRASE,270749,1114,26102.59,25478.14,129,102.45,23.43,11.58,CUT BID 40%
close-match,TARGETING_EXPRESSION_PREDEFINED,522472,2037,18632.74,27772.47,122,67.09,9.15,5.99,CUT BID 40%
loose-match,TARGETING_EXPRESSION_PREDEFINED,163919,1475,13677.21,21959.58,95,62.28,9.27,6.44,CUT BID 40%
"asin=""B0D8HW8SZ7""",TARGETING_EXPRESSION,90088,772,13071.11,11666.67,69,112.04,16.93,8.94,CUT BID 40%
"asin=""B0CV79F1TM""",TARGETING_EXPRESSION,99070,429,9175.26,17450.32,63,52.58,21.39,14.69,CUT BID 40%
"asin=""B07S2QXDTF""",TARGETING_EXPRESSION,45323,397,8622.22,12021.24,57,71.72,21.72,14.36,CUT BID 40%
"asin=""B07KT852PD""",TARGETING_EXPRESSION,46338,446,7803.89,14671.29,72,53.19,17.5,16.14,CUT BID 40%
"asin=""B08JM117QJ""",TARGETING_EXPRESSION,38391,197,5661.62,9005.23,31,62.87,28.74,15.74,CUT BID 40%
dishwash,PHRASE,77358,312,4259.49,1483.86,9,287.05,13.65,2.88,CUT BID 40%
"asin=""B07ZKP4R14""",TARGETING_EXPRESSION,32716,168,2939.53,4146.5,25,70.89,17.5,14.88,CUT BID 40%
"asin=""B07227PB7C""",TARGETING_EXPRESSION,46962,108,2735.9,5516.15,17,49.6,25.33,15.74,MONITOR
bathroom cleaner,PHRASE,107072,117,2706.96,1595.78,7,169.63,23.14,5.98,CUT BID 40%
handwash refill 5 litre,EXACT,29410,99,2625.26,1970.34,5,133.24,26.52,5.05,CUT BID 40%
handwash refill pack,EXACT,73097,75,1950.33,0.0,0,,26.0,0.0,NEGATE
bathroom cleaner liquid,EXACT,22965,60,1914.72,635.6,2,301.25,31.91,3.33,CUT BID 40%
"asin=""B0755CG1LW""",TARGETING_EXPRESSION,41444,60,1761.95,2772.87,8,63.54,29.37,13.33,CUT BID 40%
"asin=""B0F9WP8YXW""",TARGETING_EXPRESSION,12085,67,1613.28,2724.62,12,59.21,24.08,17.91,CUT BID 40%
complements,TARGETING_EXPRESSION_PREDEFINED,16654,174,1579.55,5623.21,18,28.09,9.08,10.34,MONITOR
"asin=""B09ZQ37Z9G""",TARGETING_EXPRESSION,14923,47,1556.78,2389.83,6,65.14,33.12,12.77,CUT BID 40%
"asin=""B01G8J7H34""",TARGETING_EXPRESSION,13807,75,1311.28,1491.48,10,87.92,17.48,13.33,CUT BID 40%
floor cleaner,EXACT,22719,45,1293.04,1500.02,5,86.2,28.73,11.11,CUT BID 40%
glass cleaner 5 ltr,EXACT,4491,35,1242.47,2343.25,7,53.02,35.5,20.0,CUT BID 40%
"asin=""B0C73WPBDK""",TARGETING_EXPRESSION,12578,66,1221.03,640.66,4,190.59,18.5,6.06,CUT BID 40%
toilet cleaner liquid,EXACT,16042,45,1210.75,734.74,3,164.79,26.91,6.67,CUT BID 40%
"asin=""B08CNMBJZ7""",TARGETING_EXPRESSION,11152,71,1139.8,151.69,1,751.4,16.05,1.41,CUT BID 40%
glass cleaner,EXACT,10606,31,1119.62,1004.25,3,111.49,36.12,9.68,CUT BID 40%
"asin=""B0BNHPGZX3""",TARGETING_EXPRESSION,9451,49,1054.78,1224.6,5,86.13,21.53,10.2,CUT BID 40%
"asin=""B09ZQ3B6G2""",TARGETING_EXPRESSION,7304,31,1031.45,377.12,1,273.51,33.27,3.23,CUT BID 40%
"asin=""B08CKYZ7X9""",TARGETING_EXPRESSION,9903,31,1004.58,796.61,2,126.11,32.41,6.45,CUT BID 40%
"asin=""B01LZSWXWI""",TARGETING_EXPRESSION,14033,38,934.89,317.8,1,294.18,24.6,2.63,CUT BID 40%
"asin=""B0DPL26W18""",TARGETING_EXPRESSION,3739,26,930.98,796.61,2,116.87,35.81,7.69,CUT BID 40%
handwash,PHRASE,32862,49,866.42,2305.09,6,37.59,17.68,12.24,MONITOR
"asin=""B08CKYZ7X8""",TARGETING_EXPRESSION,6251,26,828.05,1593.22,4,51.97,31.85,15.38,CUT BID 40%
bathroom cleaner,EXACT,6836,20,820.01,1138.99,3,71.99,41.0,15.0,CUT BID 40%
"asin=""B0DPMZYCZY""",TARGETING_EXPRESSION,6916,28,807.02,545.77,2,147.87,28.82,7.14,CUT BID 40%
"asin=""B08G5V76PT""",TARGETING_EXPRESSION,6606,24,780.92,419.5,1,186.15,32.54,4.17,CUT BID 40%
"asin=""B01MQXZDMU""",TARGETING_EXPRESSION,9207,39,774.96,1469.52,6,52.74,19.87,15.38,CUT BID 40%
glass cleaner spray,EXACT,13589,22,754.49,1339.0,4,56.35,34.3,18.18,CUT BID 40%
bathroom tiles cleaner,EXACT,13624,21,734.86,0.0,0,,34.99,0.0,NEGATE
"asin=""B00HJ2EVV6""",TARGETING_EXPRESSION,6217,52,721.6,303.38,2,237.85,13.88,3.85,CUT BID 40%
"asin=""B09RF8HZBR""",TARGETING_EXPRESSION,9849,31,706.28,522.88,3,135.07,22.78,9.68,CUT BID 40%
