SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
b0d8hw8sz7,85682,741,12561.82,11026.01,65,113.93,8.77,CONVERTING
egg boiler electric,140768,926,9564.65,20934.68,67,45.69,7.24,CONVERTING
b0cv79f1tm,94580,418,8901.98,16225.72,58,54.86,13.88,CONVERTING
b07kt852pd,45551,446,7768.58,14494.17,71,53.6,15.92,CONVERTING
b07s2qxdtf,35932,319,6855.43,9988.17,46,68.64,14.42,CONVERTING
b08jm117qj,35622,189,5305.67,8729.81,30,60.78,15.87,CONVERTING
toilet cleaner liquid,69960,249,5096.12,7467.0,37,68.25,14.86,CONVERTING
harpic flushmatic toilet cleaner,8520,124,3955.37,4994.95,25,79.19,20.16,CONVERTING
harpic toilet cleaner,12862,133,3274.81,2860.19,15,114.5,11.28,CONVERTING
b07zkp4r14,28714,155,2743.24,3691.43,22,74.31,14.19,CONVERTING
b07227pb7c,43663,110,2726.24,5676.32,18,48.03,16.36,CONVERTING
handwash refill 5 litre,28415,100,2633.81,1970.34,5,133.67,5.0,CONVERTING
bathroom cleaner liquid,32420,80,2347.79,1091.53,4,215.09,5.0,CONVERTING
handwash refill pack,72630,87,2243.45,377.12,1,594.89,1.15,MONITOR
harpic toilet cleaner 5 litre offer,14875,108,2181.05,1812.71,9,120.32,8.33,CONVERTING
egg boiler,34227,221,2036.64,4570.41,14,44.56,6.33,CONVERTING
harpic toilet cleaner 1 litre,12160,104,1937.33,919.5,5,210.69,4.81,CONVERTING
automatic electric egg boiler,35275,223,1842.05,5309.88,17,34.69,7.62,CONVERTING
hot water bag for pain relief,11138,221,1839.58,4122.87,24,44.62,10.86,CONVERTING
b0755cg1lw,32317,61,1664.02,2772.87,8,60.01,13.11,CONVERTING
b0f9wp8yxw,9979,67,1613.28,2724.62,12,59.21,17.91,CONVERTING
floor cleaner,22299,53,1357.0,1010.18,4,134.33,7.55,CONVERTING
glass cleaner 5 ltr,4122,35,1242.47,2343.25,7,53.02,20.0,CONVERTING
b09zq37z9g,10356,37,1223.69,1970.34,5,62.11,13.51,CONVERTING
b0c73wpbdk,12086,66,1221.03,640.66,4,190.59,6.06,CONVERTING
