unitsSoldClicks,cost,purchases,campaignId,campaignStatus,clicks,impressions,campaignName,sales
1,357.36,1,203760006376283,ENABLED,13,4806,SD-CPC-Dishwash (Comp),151.69
0,0,0,90235035345781,ENABLED,0,1,SD-CPC-Glass Cleaner (Comp),0
0,0,0,65913501785234,PAUSED,0,0,SD-CPC-Toilet Cleaner (Comp),0
0,0,0,234889607334500,PAUSED,0,0,SD-CPC-Handwash (Comp),0
3,2973.01,9,99221537314911,ENABLED,74,52561,SD-VCPM-Hommies Defensive,2217.81
0,0,0,54368893466800,PAUSED,0,0,SD-CPC-Floor Cleaner (Comp),0
0,0,0,6283820425993,PAUSED,0,0,SD-CPC-Bathroom Cleaner,0
2,6569.28,5,304379286960237,ENABLED,149,111751,SD-VCPM-Toilet Cleaner,936.45
2,5152.68,2,312332048243287,ENABLED,156,95220,SD-VCPM-Dishwash,320.33
9,6182.37,12,381935978953393,ENABLED,276,153783,SD-VCPM-Handwash,4732.21
0,0,0,546161106605021,PAUSED,0,0,SD-VCPM-Bathroom Cleaner,0
0,0,0,306985752515154,PAUSED,0,0,SD-VCPM-Steamer (Competition),0
0,168.84,0,361284452303170,ENABLED,2,3094,SD-VCPM-Glass Cleaner,0
6,4487.71,14,439855929104334,ENABLED,86,65233,SD-VCPM-Floor Cleaner,3815.28
