cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
0,0,Unitecare Products-Auto,347048935154945,B0FD71YLKK,0,B0FD71YLKK,0,0,1,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCSG4W8C,0,B0FCSG4W8C,0,0,2,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCS49PPQ,0,B0FCS49PPQ,0,0,581,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCS2XGG3,0,B0FCS2XGG3,0,0,343,Unitecare Products-Auto,372227431445170
10.03,0,Unitecare Products-Auto,347048935154945,B0FCMTF964,2,B0FCMTF964,0,0,296,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCMW7MKM,0,B0FCMW7MKM,0,0,71,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCMLR62S,0,B0FCMLR62S,0,0,1340,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCFZW36G,0,B0FCFZW36G,0,0,69,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCG5JKGN,0,B0FCG5JKGN,0,0,2,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCG19KW3,0,B0FCG19KW3,0,0,4,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCG31261,0,B0FCG31261,0,0,27,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCG177NL,0,B0FCG177NL,0,0,505,Unitecare Products-Auto,372227431445170
13.68,0,Unitecare Products-Auto,347048935154945,B0FCFW8KWY,2,B0FCFW8KWY,0,0,455,Unitecare Products-Auto,372227431445170
256.62,0,Unitecare Products-Auto,347048935154945,B0FCSDCV89,37,B0FCSDCV89,0,0,3958,Unitecare Products-Auto,372227431445170
86.92,0,Unitecare Products-Auto,347048935154945,B0FCRT7NSY,13,B0FCRT7NSY,0,0,3862,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCMPL3DR,0,B0FCMPL3DR,0,0,109,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCMJVTF6,0,B0FCMJVTF6,0,0,1078,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCM2DXWM,0,B0FCM2DXWM,0,0,5,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCFTXQLL,0,B0FCFTXQLL,0,0,23,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0FCG17GFC,0,B0FCG17GFC,0,0,436,Unitecare Products-Auto,372227431445170
54.69,0,Unitecare Products-Auto,347048935154945,B0FCFVKPBM,11,B0FCFVKPBM,0,0,17057,Unitecare Products-Auto,372227431445170
155.36,0,Unitecare Products-Auto,347048935154945,B0FCFVTZJ5,21,B0FCFVTZJ5,0,0,10024,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0CXM7GV2N,0,B0CXM7GV2N,0,0,80,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0CXTDG11G,0,B0CXTDG11G,0,0,88,Unitecare Products-Auto,372227431445170
0,0,Unitecare Products-Auto,347048935154945,B0CXQ389V8,0,B0CXQ389V8,0,0,182,Unitecare Products-Auto,372227431445170
27.7,0,Unitecare Products-Auto,347048935154945,B0CZ3XB2TQ,6,B0CZ3XB2TQ,0,0,6089,Unitecare Products-Auto,372227431445170
20.18,0,Unitecare Products-Auto,347048935154945,B0CXT158RK,2,B0CXT158RK,0,0,361,Unitecare Products-Auto,372227431445170
0,0,Ad Group - 8/8/2025 16:19:55.439,299721350987996,B0CGNMWJMT,0,B0CGNMWJMT,0,0,0,SPA- Heat Bag,338420886260972
3409.05,11,Ad Group - 8/9/2025 14:02:12.324,401401556761257,B0FFB9SF9R,255,B0FFB9SF9R,11,2100.86,249296,SPA-Toilet Cleaner,300502082004838
3421.08,18,Ad Group - 8/9/2025 15:50:18.882,408143135328940,B0FFB9VK8N,310,B0FFB9VK8N,17,2832.12,106146,SPA-Dishwash,302315659951605
792.2,6,Ad Group - 8/9/2025 15:36:47.288,546520737103958,B0FFBC22J7,49,B0FFBC22J7,6,1232.21,70049,SPA-Bathroom Cleaner,433436929707892
0,0,Ad Group - 8/9/2025 16:30:20.193,307605513689558,B0F8J275QC,0,B0F8J275QC,0,0,0,SPA-Handwash,514334148109659
3569.55,5,Ad Group - 8/9/2025 16:30:20.193,307605513689558,B0F8HXFXMH,164,B0F8HXFXMH,4,2097.45,179178,SPA-Handwash,514334148109659
1443.22,4,Ad Group - 8/9/2025 15:43:03.678,350040861907539,B0F8HX1LWF,93,B0F8HX1LWF,4,1339.0,94684,SPA-Glass Cleaner,509638583452742
