cost,unitsSoldClicks1d,campaignId,campaignStatus,clicks,purchases1d,sales1d,impressions,campaignName,campaignBudgetAmount
384.51,1,53912245365086,ENABLED,33,1,244.92,8142,SP-PT-Hommies-Defensive,200.0
18678.29,155,219554620839594,ENABLED,956,143,29645.09,119252,SP-PT-Toilet Cleaner,2000.0
3762.42,4,180284341484787,ENABLED,132,4,1091.53,46831,SP-PT-Bathroom Cleaner,600.0
9035.13,21,16843794354150,ENABLED,285,21,8512.72,99577,SP-PT-Handwash,400.0
4485.33,0,233363584560305,ENABLED,137,0,0,54609,SPA-Hand Sanitizer,200.0
4182.87,33,22275390977964,ENABLED,165,27,11412.7,110009,SP-PT-Floor Cleaner,500.0
21458.38,122,150935945169412,ENABLED,1267,119,19732.55,177224,SP-PT-Dishwash,800.0
18391.32,131,36300873748827,ENABLED,791,118,32119.21,169362,SP-PT-Phenyl,1000.0
9855.31,46,185952594798445,ENABLED,1094,46,10626.12,159887,Steamer- 2/3/2026 10:30:10.328,1000.0
25374.6,158,92743541578962,ENABLED,2833,157,49258.05,593604,Egg Boiler - 2/3/2026 10:26:31.473,1000.0
24854.95,268,216235499016602,ENABLED,3084,260,43528.22,225409,Heating Pad Automatic - 2/3/2026 10:14:33.862,1000.0
3434.87,70,254888731825287,ENABLED,436,59,10148.43,144836,SPA-Hommies-Non selling SKU,425.0
100.51,0,73112425027996,ENABLED,8,0,0,3146,SPA-Non Selling Dishwash,200.0
24.03,0,176299667442030,ENABLED,3,0,0,2289,SPA-Non Selling Handwash,200.0
499.57,5,31195746368660,ENABLED,40,3,687.3,18658,SPA-Non Selling Bathroom Cleaner,200.0
625.18,0,347048935154945,ENABLED,94,0,0,47048,Unitecare Products-Auto,1000.0
0,0,299721350987996,PAUSED,0,0,0,0,SPA- Heat Bag,1000.0
3569.55,5,307605513689558,ENABLED,164,4,2097.45,179178,SPA-Handwash,500.0
3025.36,31,541827772160779,ENABLED,259,30,7592.52,229728,SPA-Floor Cleaner,300.0
792.2,6,546520737103958,ENABLED,49,6,1232.21,70049,SPA-Bathroom Cleaner,700.0
1443.22,4,350040861907539,ENABLED,93,4,1339.0,94684,SPA-Glass Cleaner,350.0
3421.08,18,408143135328940,ENABLED,310,17,2832.12,106146,SPA-Dishwash,400.0
3409.05,11,401401556761257,ENABLED,255,11,2100.86,249296,SPA-Toilet Cleaner,600.0
27423.08,140,297008422777552,ENABLED,1164,133,26406.95,289051,SP-KT-Toilet Cleaner-Multi Keywords,1100.0
3350.95,15,382668512964887,ENABLED,106,14,3704.3,37686,SP-KT-Floor Cleaner-Multi Keywords,600.0
7526.38,17,474884043698560,ENABLED,272,16,4419.53,171650,SP-KT-Bathroom Cleaner-Multi Keywords,1000.0
3130.96,14,469325631828807,ENABLED,89,14,4686.5,29422,SP-KT-Glass Cleaner,1000.0
5716.23,11,559996026392825,ENABLED,234,11,4275.43,139071,SP-KT-Handwash,600.0
5147.4,12,443817337002972,ENABLED,349,12,1955.88,82966,SP-KT-Dishwash,300.0
1254.4,9,283430406546761,PAUSED,188,9,4209.55,20929,SPA-SmileCaster,500.0
3133.26,21,449918354347491,ENABLED,132,21,6855.14,56704,SP-PT-Glass Cleaner,400.0
