targeting,cost,searchTerm,unitsSoldClicks1d,adGroupName,campaignId,clicks,purchases1d,sales1d,impressions,campaignName,adGroupId
substitutes,9.18,1 egg boiler machine,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,2,0,0,9,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,5.24,1 litre electric hot water bag,0,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,1,0,0,2,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
substitutes,44.41,1 litre electric hot water bag,0,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,6,0,0,57,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
toilet cleaner,47.69,10× toilet cleaner,0,Ad Group - 29/9/2025 16:40:06.228,297008422777552,1,0,0,2,SP-KT-Toilet Cleaner-Multi Keywords,517308795394080
loose-match,6.5,12volt electric hot pad,0,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,1,0,0,1,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
loose-match,51.15,14 egg electric egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,6,0,0,88,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,19.35,14 egg electric egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,2,0,0,68,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
handwash,13.84,1500 ml handwash refill pack,0,Ad Group - 28/10/2025 15:56:41.817,559996026392825,1,0,0,6,SP-KT-Handwash,396121760421903
substitutes,3.72,2 egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,13,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,15.73,2 egg boiler electric,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,33,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,9.24,20 eggs automatic incubator,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
close-match,277.16,3 egg boiler,2,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,42,2,655.23,10424,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,104.51,3 egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,9,0,0,98,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
complements,96.22,3 egg boiler,2,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,10,2,609.09,208,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,110.74,3 egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,13,0,0,346,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
close-match,24.0,3 egg boiler electric,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,4,0,0,767,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
close-match,6.51,3 eggs boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,485,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,11.17,3 in 1 egg cooker,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,3,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,10.56,3 in 1 steam nose steamer cough steamer nozzle inhaler & nose vapo,1,Steamer- 2/3/2026 10:30:04.075,185952594798445,1,1,246.67,1,Steamer- 2/3/2026 10:30:10.328,448954156706047
substitutes,17.38,3 in 1 steamer,0,Steamer- 2/3/2026 10:30:04.075,185952594798445,2,0,0,7,Steamer- 2/3/2026 10:30:10.328,448954156706047
close-match,167.7,3 in 1 steamer for cold,0,Steamer- 2/3/2026 10:30:04.075,185952594798445,23,0,0,1899,Steamer- 2/3/2026 10:30:10.328,448954156706047
substitutes,58.94,3 in 1 steamer for cold,0,Steamer- 2/3/2026 10:30:04.075,185952594798445,4,0,0,20,Steamer- 2/3/2026 10:30:10.328,448954156706047
close-match,7.8,3 in 1 steamer for cold and cough,0,Steamer- 2/3/2026 10:30:04.075,185952594798445,1,0,0,117,Steamer- 2/3/2026 10:30:10.328,448954156706047
close-match,9.03,3 in 1 vaporizer,0,Steamer- 2/3/2026 10:30:04.075,185952594798445,1,0,0,13,Steamer- 2/3/2026 10:30:10.328,448954156706047
loose-match,7.3,3egg boiler electric,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,8,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,12.6,3gg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
bathroom cleaner,24.9,3m bathroom cleaner,0,Ad Group - 30/9/2025 13:20:13.337,474884043698560,1,0,0,35,SP-KT-Bathroom Cleaner-Multi Keywords,362897441336816
substitutes,30.38,3m sanitizer,0,Ad Group - 22/1/2026 16:39:45.960,233363584560305,1,0,0,26,SPA-Hand Sanitizer,340480483728003
substitutes,30.53,3m sanitizer 500ml,0,Ad Group - 22/1/2026 16:39:45.960,233363584560305,1,0,0,4,SPA-Hand Sanitizer,340480483728003
loose-match,21.79,4 eggs boiler electric,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,2,0,0,6,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
close-match,57.54,4 in 1 adjustable baby carrier,0,Ad Group - 28/12/2025 13:34:30.696,283430406546761,8,0,0,737,SPA-SmileCaster,348191669525917
"asin=""B09ZQ3B6G2""",33.29,5 l handwash,0,Ad Group - 22/1/2026 14:32:58.474,16843794354150,1,0,0,7,SP-PT-Handwash,398274808323663
substitutes,12.36,5 litre phenyl,0,Ad Group - 8/9/2025 16:03:04.670,541827772160779,1,0,0,2,SPA-Floor Cleaner,362241293488270
"asin=""B0D6Z1QBVC""",22.02,5 ltr glass cleaner,0,Ad Group - 27/12/2025 13:05:14.745,449918354347491,1,0,0,16,SP-PT-Glass Cleaner,426965246244511
dishwash,12.28,500 ml dishwash gel,0,Ad Group - 28/10/2025 15:53:21.629,443817337002972,1,0,0,2,SP-KT-Dishwash,396414115142382
close-match,164.94,500ml dishwash liquid,1,Ad Group - 8/9/2025 15:50:18.882,408143135328940,15,1,151.69,542,SPA-Dishwash,302315659951605
dishwash,69.5,500ml dishwash liquid,0,Ad Group - 28/10/2025 15:53:21.629,443817337002972,6,0,0,313,SP-KT-Dishwash,396414115142382
toilet cleaner,48.67,500ml toilet cleaner,0,Ad Group - 29/9/2025 16:40:06.228,297008422777552,2,0,0,4,SP-KT-Toilet Cleaner-Multi Keywords,517308795394080
substitutes,18.58,500ml vim liquid,0,Ad Group - 8/9/2025 15:50:18.882,408143135328940,1,0,0,2,SPA-Dishwash,302315659951605
substitutes,11.51,5g hotspot device for all sim,0,Ad Group - 8/9/2025 15:43:03.678,350040861907539,1,0,0,3,SPA-Glass Cleaner,509638583452742
bathroom cleaner,22.33,5l bathroom cleaner,0,Ad Group - 30/9/2025 13:20:13.337,474884043698560,1,0,0,1,SP-KT-Bathroom Cleaner-Multi Keywords,362897441336816
substitutes,13.54,5l black phenyl,0,Ad Group - 8/9/2025 16:03:04.670,541827772160779,1,0,0,3,SPA-Floor Cleaner,362241293488270
close-match,5.47,7 eggs boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,61,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,8.19,7 eggs boiler machine,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,8,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
bathroom cleaner,28.49,acid bathroom cleaner,1,Ad Group - 30/9/2025 13:20:13.337,474884043698560,1,1,227.97,7,SP-KT-Bathroom Cleaner-Multi Keywords,362897441336816
substitutes,15.04,acid for bathroom cleaning,0,Ad Group - 4/4/2026 15:17:20.499,31195746368660,1,0,0,4,SPA-Non Selling Bathroom Cleaner,335805093123753
substitutes,14.46,acid slurry 1 liter,0,Ad Group - 4/4/2026 15:17:20.499,31195746368660,1,0,0,14,SPA-Non Selling Bathroom Cleaner,335805093123753
substitutes,20.87,active hands gripping aid,0,Ad Group - 8/9/2025 16:30:20.193,307605513689558,1,0,0,3,SPA-Handwash,514334148109659
loose-match,5.88,agaro egg boiler and poacher,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,12,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
complements,11.17,agaro egg boiler and poacher,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,19,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,10.16,agaro egg boiler and poacher,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,17,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
complements,6.29,agaro egg boiler machine 3 in 1,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,11,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,8.08,agaro electric hot water bag,0,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,1,0,0,2,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
close-match,166.04,agaro facial steamer,1,Steamer- 2/3/2026 10:30:04.075,185952594798445,11,1,219.49,302,Steamer- 2/3/2026 10:30:10.328,448954156706047
substitutes,10.28,agaro gel pads,0,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,1,0,0,1,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
substitutes,7.18,agaro hot bag,0,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,1,0,0,2,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
substitutes,6.92,agaro hot water bag,0,Heating Pad - 2/3/2026 10:14:27.957,216235499016602,1,0,0,11,Heating Pad Automatic - 2/3/2026 10:14:33.862,491172615022687
substitutes,25.85,age boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,2,0,0,4,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,6.78,agg,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,19.4,aggro egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,3,0,0,143,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,5.91,agro egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,10,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,22.5,air blower manual hand,0,Ad Group - 8/9/2025 16:30:20.193,307605513689558,1,0,0,5,SPA-Handwash,514334148109659
substitutes,17.98,alcohol cleaning liquid,0,Ad Group - 8/9/2025 15:43:03.678,350040861907539,1,0,0,1,SPA-Glass Cleaner,509638583452742
close-match,11.16,all purpose cleaner,0,Ad Group - 8/9/2025 16:03:04.670,541827772160779,1,0,0,5,SPA-Floor Cleaner,362241293488270
close-match,7.35,all purpose cleaner,0,glass cleaner,254888731825287,1,0,0,1,SPA-Hommies-Non selling SKU,339357991452314
"asin=""B09ZQ37Z9G""",34.33,aloe vera herbal handwash,0,Ad Group - 22/1/2026 14:32:58.474,16843794354150,1,0,0,1,SP-PT-Handwash,398274808323663
loose-match,6.34,alzyme syrup 200ml pineapple,0,Unitecare Products-Auto,347048935154945,2,0,0,3,Unitecare Products-Auto,372227431445170
substitutes,17.36,amaze cleaning acid for tiles bathrooms,0,Ad Group - 8/9/2025 15:36:47.288,546520737103958,1,0,0,3,SPA-Bathroom Cleaner,433436929707892
close-match,8.66,amazon basic egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,2,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,20.88,amazon basic egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,2,0,0,2,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,6.35,amazon basic egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,10,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,10.61,amazon basic egg boiler electric,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,2,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,10.61,amazon basic egg boiler electric,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,3,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,2.18,amazon basic electric egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,342,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,10.25,amazon basic electric egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,2,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,9.01,amazon basics egg,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,4,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
close-match,10.61,amazon basics egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,2,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,47.13,amazon basics egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,6,0,0,74,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
complements,23.15,amazon basics egg boiler,1,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,3,1,322.86,15,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,91.42,amazon basics egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,10,0,0,147,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,35.76,amazon basics egg boiler electric,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,4,0,0,49,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,10.5,amazon basics eggs boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,22.56,amazon basics electric egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,7,0,0,473,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,10.42,amazon basics electric egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,18.99,amazon basics products egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,2,0,0,2,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,15.68,amazon basics products egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,3,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
phenyl floor cleaner,24.73,amazon brand - presto  phenyl floor cleaner,0,Ad Group - 29/9/2025 16:22:44.351,382668512964887,1,0,0,10,SP-KT-Floor Cleaner-Multi Keywords,388760220039137
substitutes,8.26,amazon egg,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,10.61,amazon egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,7,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
complements,8.8,amazon egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,18.64,amazon egg boiler,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,2,0,0,27,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,11.17,amazon egg boiler electric,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,2,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,32.82,amazon now 10 minutes,1,Ad Group - 8/9/2025 16:03:04.670,541827772160779,3,1,244.92,2284,SPA-Floor Cleaner,362241293488270
loose-match,9.48,amazon now 10 minutes eggs,0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
substitutes,13.64,amazon now items,0,Ad Group - 8/9/2025 16:03:04.670,541827772160779,1,0,0,1,SPA-Floor Cleaner,362241293488270
loose-match,5.92,"amazone,basic egg boild￼",0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
loose-match,6.65,"amazone,basic egg fry",0,Egg Boiler - 2/3/2026 10:26:30.440,92743541578962,1,0,0,1,Egg Boiler - 2/3/2026 10:26:31.473,419347263838304
close-match,1.23,amla harar bahera,0,Unitecare Products-Auto,347048935154945,1,0,0,1,Unitecare Products-Auto,372227431445170
substitutes,20.0,amway dish drops liquid 1l,0,Ad Group - 8/9/2025 15:50:18.882,408143135328940,1,0,0,3,SPA-Dishwash,302315659951605
"asin=""B07S2QXDTF""",24.99,amway toilet cleaner liquid,1,Ad Group - 22/1/2026 14:13:21.915,219554620839594,1,1,194.07,1,SP-PT-Toilet Cleaner,346393697030121
