keywordId,cost,adGroupName,matchType,campaignId,sales1d,impressions,adGroupId,keywordBid,targeting,keywordType,clicks,purchases1d,keyword,campaignName
78581492576379,51.32,Unitecare Products-Auto,TARGETING_EXPRESSION_PREDEFINED,347048935154945,0,3856,372227431445170,6,close-match,TARGETING_EXPRESSION_PREDEFINED,8,0,close-match,Unitecare Products-Auto
227503583033992,337.52,Unitecare Products-Auto,TARGETING_EXPRESSION_PREDEFINED,347048935154945,0,14822,372227431445170,6,loose-match,TARGETING_EXPRESSION_PREDEFINED,51,0,loose-match,Unitecare Products-Auto
152984236699509,0,Unitecare Products-Auto,TARGETING_EXPRESSION_PREDEFINED,347048935154945,0,45,372227431445170,6,complements,TARGETING_EXPRESSION_PREDEFINED,0,0,complements,Unitecare Products-Auto
95141179150297,236.34,Unitecare Products-Auto,TARGETING_EXPRESSION_PREDEFINED,347048935154945,0,28325,372227431445170,6,substitutes,TARGETING_EXPRESSION_PREDEFINED,35,0,substitutes,Unitecare Products-Auto
103270454990377,0,Ad Group - 8/8/2025 16:19:55.439,TARGETING_EXPRESSION_PREDEFINED,299721350987996,0,0,338420886260972,4.5,substitutes,TARGETING_EXPRESSION_PREDEFINED,0,0,substitutes,SPA- Heat Bag
130427779171666,62.39,Ad Group - 8/9/2025 14:02:12.324,TARGETING_EXPRESSION_PREDEFINED,401401556761257,0,6409,300502082004838,16,close-match,TARGETING_EXPRESSION_PREDEFINED,4,0,close-match,SPA-Toilet Cleaner
259486737438931,5.86,Ad Group - 8/9/2025 14:02:12.324,TARGETING_EXPRESSION_PREDEFINED,401401556761257,177.12,47,300502082004838,5,loose-match,TARGETING_EXPRESSION_PREDEFINED,1,1,loose-match,SPA-Toilet Cleaner
266320565530172,0,Ad Group - 8/9/2025 14:02:12.324,TARGETING_EXPRESSION_PREDEFINED,401401556761257,0,9,300502082004838,7,complements,TARGETING_EXPRESSION_PREDEFINED,0,0,complements,SPA-Toilet Cleaner
51445983921944,3340.8,Ad Group - 8/9/2025 14:02:12.324,TARGETING_EXPRESSION_PREDEFINED,401401556761257,1923.74,242831,300502082004838,13,substitutes,TARGETING_EXPRESSION_PREDEFINED,250,10,substitutes,SPA-Toilet Cleaner
274976376798658,312.28,Ad Group - 8/9/2025 15:36:47.288,TARGETING_EXPRESSION_PREDEFINED,546520737103958,0,31412,433436929707892,16,close-match,TARGETING_EXPRESSION_PREDEFINED,19,0,close-match,SPA-Bathroom Cleaner
273659212168012,0,Ad Group - 8/9/2025 15:36:47.288,TARGETING_EXPRESSION_PREDEFINED,546520737103958,0,9,433436929707892,5,loose-match,TARGETING_EXPRESSION_PREDEFINED,0,0,loose-match,SPA-Bathroom Cleaner
149443983847851,479.92,Ad Group - 8/9/2025 15:36:47.288,TARGETING_EXPRESSION_PREDEFINED,546520737103958,1232.21,38628,433436929707892,18,substitutes,TARGETING_EXPRESSION_PREDEFINED,30,6,substitutes,SPA-Bathroom Cleaner
175782069628287,99.53,Ad Group - 8/9/2025 16:30:20.193,TARGETING_EXPRESSION_PREDEFINED,307605513689558,419.49,4016,514334148109659,10,close-match,TARGETING_EXPRESSION_PREDEFINED,3,1,close-match,SPA-Handwash
