ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category
B09MYDPF3Y,EH-Multicolor-Interlock-Mat-4,1024324,13734,100219.9,766681.88,315,428,13.07,7.65,1.34,2.29,7.3,20,PUSH HARDER
B0CRKV5XTR,eHK_EVA_Black_4,702474,9305,66274.35,378578.27,207,247,17.51,5.71,1.32,2.22,7.12,27,WINNER
B0GVJNXTFT,LT_Baby_Play_Mat_S,502468,10696,58798.84,198037.06,285,286,29.69,3.37,2.13,2.66,5.5,14,MONITOR
B0G1YX6GXV,SB_Orange&Navy Blue_33Ltrs_PO2,482292,3801,58355.06,183586.67,333,359,31.79,3.15,0.79,8.76,15.35,10,MONITOR
B0CN177JS7,AntiSkidMat_Diamond_Grey_60cmx10mtr,348407,2395,37757.73,209352.08,250,303,18.04,5.54,0.69,10.44,15.77,24,WINNER
B0F228RM13,eh_DIAMOND_EVA_MULTI_PO9,438861,4886,34861.16,354451.61,140,155,9.84,10.17,1.11,2.87,7.13,18,PUSH HARDER
B0D92MQ123,LT_Baby_Play_Mat_R,458305,5237,33514.07,152301.45,178,180,22.01,4.54,1.14,3.4,6.4,14,WINNER
B0G1YHH1ZN,SB_Orange & Navy Blue_70Ltrs_PO2,355287,2237,30922.54,109911.83,197,204,28.13,3.55,0.63,8.81,13.82,11,MONITOR
B0BN631JD4,AntiSkidMat_Diamond_Clear_60cmx10mtr,543667,2012,25472.53,120969.73,135,176,21.06,4.75,0.37,6.71,12.66,17,WINNER
B0C1431JNZ,EH_EVA_Black_Mat_PO4,319489,3203,24786.3,243743.04,116,132,10.17,9.83,1.0,3.62,7.74,6,PUSH HARDER
B0CJJPJP4M,Antislipmat_Grey_Lines_45cmx5mtr,286036,1775,21640.16,51548.82,114,135,41.98,2.38,0.62,6.42,12.19,13,MONITOR
B0G1YT2S5N,SB_Grey&Black_70Ltrs_PO2,196351,1129,16835.92,49212.22,87,93,34.21,2.92,0.57,7.71,14.91,12,MONITOR
B0D9HH4VYG,eHK_Black&Grey_EVA_PO8,394459,2255,15974.0,143902.29,57,58,11.1,9.01,0.57,2.53,7.08,34,PUSH HARDER
B0CRHQLDZG,LT_EVA_MULTI_4,384617,3554,15959.88,191801.68,75,96,8.32,12.02,0.92,2.11,4.49,1,PUSH HARDER
B0D9HB8LTP,EH_Black&Grey_EVA_PO8,318155,1860,15376.68,107965.33,45,50,14.24,7.02,0.58,2.42,8.27,32,PUSH HARDER
B0F91VHKKW,EH_EVA_Blue_Grey_White_PO9,160795,1910,14513.73,136473.71,55,76,10.63,9.4,1.19,2.88,7.6,11,PUSH HARDER
B0D9HCMCCY,EH_Black&Grey_EVA_PO4,131195,1883,14306.83,66533.28,41,42,21.5,4.65,1.44,2.18,7.6,5,WINNER
B09MY5K3SH,EH-Black-Interlock-Mat-4,322010,3448,14015.19,76116.22,40,43,18.41,5.43,1.07,1.16,4.06,9,WINNER
B0822GYVNX,eva_mats_multi_16,304255,2135,13727.36,280831.01,75,108,4.89,20.46,0.7,3.51,6.43,22,PUSH HARDER
B0GQ4L7R75,LT_Baby_Play_Mat_A,198261,2151,13584.12,53585.58,62,63,25.35,3.94,1.08,2.88,6.32,14,MONITOR
B0D9HBWG5P,eh_DIAMOND_EVA_MULTI_PO6,168098,2241,13003.41,119284.37,56,60,10.9,9.17,1.33,2.5,5.8,1,PUSH HARDER
B0FMRH64X9,EH_EVA_Grey_Mat_PO04,189436,1655,11520.96,78580.04,44,49,14.66,6.82,0.87,2.66,6.96,4,PUSH HARDER
B0BN5NZCGH,AntiSkidMat_Diamond_Grey_45cmx5mtr,224554,1104,11409.14,36601.64,80,97,31.17,3.21,0.49,7.25,10.33,18,MONITOR
B0F9X8LW1G,EH_EVA_Brown&Beige_PO9,129596,1452,11060.43,94226.44,38,50,11.74,8.52,1.12,2.62,7.62,11,PUSH HARDER
B0D54GKMYX,LT_Baby_Play_Mat,231732,1742,10797.14,47084.37,59,59,22.93,4.36,0.75,3.39,6.2,14,WINNER
B0G1YWZH29,SB_Grey&Black_33Ltrs_PO2,89965,660,10477.27,24822.44,43,47,42.21,2.37,0.73,6.52,15.87,11,MONITOR
B0F7RLG815,EH_EVA_Orange_Sea_Green_Navy_PO9,97505,1290,10453.17,92333.2,37,48,11.32,8.83,1.32,2.87,8.1,10,PUSH HARDER
B0G1YQXMCY,SB_Orange & Navy Blue_70Ltrs_PO4,140950,664,9996.3,39772.69,55,57,25.13,3.98,0.47,8.28,15.05,11,MONITOR
B0822G97QZ,eva_mat_multi_12,207802,1570,9920.99,114216.86,45,52,8.69,11.51,0.76,2.87,6.32,24,PUSH HARDER
B0CJR94LNG,Antislipmat_Clear_Lines_45cmx1.5mtr,171182,1012,9701.76,18788.36,64,81,51.64,1.94,0.59,6.32,9.59,7,LOSER - CUT BIDS
B0D9QXVWLL,LT_Baby_Play_Mat_N,137809,1502,9646.71,55367.95,61,65,17.42,5.74,1.09,4.06,6.42,14,PUSH HARDER
B0CRHSF42W,LT_EVA_MULTI_8,185002,1497,9102.12,190393.85,63,90,4.78,20.92,0.81,4.21,6.08,23,PUSH HARDER
B0G1YKGMTJ,SB_Black&White_70Ltrs_PO2,169187,656,8642.07,21714.05,40,41,39.8,2.51,0.39,6.1,13.17,11,MONITOR
B08642G3SR,eva_mats_black_8,268660,1194,8637.54,80439.07,39,40,10.74,9.31,0.44,3.27,7.23,9,PUSH HARDER
B0GT4KHZBW,LT_Baby_Play_Mat_R_S,38040,1426,8523.71,9810.99,9,9,86.88,1.15,3.75,0.63,5.98,13,LOSER - CUT BIDS
B0CJJSVBSJ,Antislipmat_Grey_Lines_60cmx10mtr,218341,682,8372.0,21715.08,27,31,38.55,2.59,0.31,3.96,12.28,8,MONITOR
B0F7RQKXVL,EH_EVA_ALL_MULTICOLOR_PO9,319402,1303,8329.78,93094.69,31,46,8.95,11.18,0.41,2.38,6.39,11,PUSH HARDER
B0F7RM1269,EH_EVA_Yellow_Sea_Green_Purple_PO9,116498,1005,8310.3,62761.51,25,37,13.24,7.55,0.86,2.49,8.27,1,PUSH HARDER
B0G25TVVSX,SB_Navy Blue&White_33Ltrs_PO2,108515,611,7873.74,22255.05,41,42,35.38,2.83,0.56,6.71,12.89,6,MONITOR
B086424GCB,eva_mats_black_16,217452,849,7103.09,78547.62,26,31,9.04,11.06,0.39,3.06,8.37,12,PUSH HARDER
B0CJR97J2H,Antislipmat_Clear_Lines_60cmx10mtr,154858,580,7011.66,31044.51,39,47,22.59,4.43,0.37,6.72,12.09,7,WINNER
B0CJJP2RLH,Antislipmat_Grey_Lines_45cmx1.5mtr,79311,639,6888.76,10758.06,41,43,64.03,1.56,0.81,6.42,10.78,7,LOSER - CUT BIDS
B0D9C1KYDY,Lil_EVA_MULTI_12,67745,1034,6389.71,83717.17,30,35,7.63,13.1,1.53,2.9,6.18,2,PUSH HARDER
B0C145JTP3,EH_EVA_Grey_Mat_PO12,150158,675,6168.9,79566.67,29,30,7.75,12.9,0.45,4.3,9.14,9,PUSH HARDER
B0B6T6D2YV,eva_mats_grey_4_,55892,939,6068.41,75792.35,30,33,8.01,12.49,1.68,3.19,6.46,3,PUSH HARDER
B0F2TLCK85,eva_mats_black_PO4,162725,747,5204.67,25998.07,14,18,20.02,5.0,0.46,1.87,6.97,5,WINNER
B0F2TCMVWC,EH-Black-Mat-8,59275,592,4820.1,35507.6,16,17,13.57,7.37,1.0,2.7,8.14,24,PUSH HARDER
B0G1YNMTPK,SB_Navy Blue&White_70Ltrs_PO2,71421,344,4727.33,12698.88,26,26,37.23,2.69,0.48,7.56,13.74,11,MONITOR
B0B6VDFMJT,eva_mats_multi-8,92883,792,4622.61,78912.11,29,46,5.86,17.07,0.85,3.66,5.84,12,PUSH HARDER
B0FP9WSZ8Q,Lil_EVA_MULTI_9_,163790,923,4475.21,75465.84,28,36,5.93,16.86,0.56,3.03,4.85,2,PUSH HARDER
B0GQ9H6BV3,LT_Baby_Play_Mat_B,73998,727,4360.46,14727.61,16,16,29.61,3.38,0.98,2.2,6.0,13,MONITOR
B0D9HBH1XQ,eHK_Black&Grey_EVA_PO4,100078,572,4204.74,22917.15,10,15,18.35,5.45,0.57,1.75,7.35,3,WINNER
B0BN5P232F,AntiSkidMat_Diamond_Clear_45cmx5mtr,76484,365,3977.61,15298.82,30,39,26.0,3.85,0.48,8.22,10.9,23,MONITOR
B0C141W8X1,EH_EVA_Black_Mat_PO12,56131,459,3746.76,48732.65,16,16,7.69,13.01,0.82,3.49,8.16,16,PUSH HARDER
B0D9D3X4WF,Lil_EVA_MULTI_6,19119,469,3723.55,48633.32,20,26,7.66,13.06,2.45,4.26,7.94,1,PUSH HARDER
B0DX25VNGF,eh_eva_mats_black_8,117668,599,3542.73,29614.29,14,14,11.96,8.36,0.51,2.34,5.91,6,PUSH HARDER
B0G1YY2HCV,SB_Orange&Navy Blue_33Ltrs_PO4,66943,269,3522.3,12685.06,18,18,27.77,3.6,0.4,6.69,13.09,7,MONITOR
B0G1YPN442,SB_Black&White_70Ltrs_PO4,49349,223,3292.92,11602.33,13,14,28.38,3.52,0.45,5.83,14.77,11,MONITOR
B0G1YX68NH,SB_Black&White_33Ltrs_PO4,32983,155,3040.18,5787.95,9,9,52.53,1.9,0.47,5.81,19.61,1,LOSER - CUT BIDS
B0G1YPPMQR,SB_Grey&Black_70Ltrs_PO4,55528,190,3033.64,10297.49,12,12,29.46,3.39,0.34,6.32,15.97,11,MONITOR
B0CRKV6Z84,eHK_EVA_Black_8,47497,446,2723.04,27557.15,14,14,9.88,10.12,0.94,3.14,6.11,6,PUSH HARDER
B0FPD2S95J,EH_EVA_Multicolor_Mat_PO08,52638,295,2575.46,18394.31,8,10,14.0,7.14,0.56,2.71,8.73,5,PUSH HARDER
B0G1YSGT1J,SB_Navy Blue&White_33Ltrs_PO4,31481,174,2541.28,4152.34,5,5,61.2,1.63,0.55,2.87,14.61,7,LOSER - CUT BIDS
B0D9HBVW5C,EH_Black&Grey_EVA_PO16,47848,226,2247.19,41310.72,12,13,5.44,18.38,0.47,5.31,9.94,12,PUSH HARDER
B0CJR9TTCR,Antislipmat_Clear_Lines_45cmx5mtr,37727,118,1767.41,7956.4,12,17,22.21,4.5,0.31,10.17,14.98,8,WINNER
B0B5RVR7ZF,eva_mats_black_12,14422,202,1388.38,17976.2,6,6,7.72,12.95,1.4,2.97,6.87,4,PUSH HARDER
B0F48HZBYQ,EH_ASM_Floral_45x5,40538,185,1360.3,487.29,1,1,279.16,0.36,0.46,0.54,7.35,1,LOSER - CUT BIDS
B0GTVQWCRY,LT_Baby_Play_Mat_L,21853,205,1315.96,5136.37,6,6,25.62,3.9,0.94,2.93,6.42,14,MONITOR
B0G1YW28HY,SB_Grey&Black_33Ltrs_PO4,21253,77,1076.85,2597.13,3,3,41.46,2.41,0.36,3.9,13.99,6,MONITOR
B0B6VCW2VK,eva_mat_grey_12,30984,139,1036.53,7952.39,3,3,13.03,7.67,0.45,2.16,7.46,5,PUSH HARDER
B0CRHST3YZ,LT_EVA_MULTI_16,18414,166,818.14,27584.75,10,11,2.97,33.72,0.9,6.02,4.93,6,PUSH HARDER
B0G1YT7BSC,SB_Navy Blue&White_70Ltrs_PO4,11354,50,782.35,0.0,0,0,,0.0,0.44,0.0,15.65,12,LOSER - PAUSE
B0GSVW2GQ2,LT_Baby_Play_Mat_R_L,14684,129,696.73,2600.85,3,3,26.79,3.73,0.88,2.33,5.4,13,MONITOR
B0D77DKFJB,EH_EVA_Black_Mat_PO16,22591,98,693.34,1376.19,1,1,50.38,1.98,0.43,1.02,7.07,14,LOSER - CUT BIDS
B09D9Q1B26,Baking Paper 20m -PO 1,24457,49,608.26,756.4,1,4,80.42,1.24,0.2,2.04,12.41,1,LOSER - CUT BIDS
B0G1YY2HNF,SB_Black&White_33Ltrs_PO2,14887,42,527.35,461.9,1,1,114.17,0.88,0.28,2.38,12.56,5,LOSER - CUT BIDS
B0C145GFJY,EH_EVA_Grey_Mat_PO8,15952,85,505.42,4042.85,3,3,12.5,8.0,0.53,3.53,5.95,1,PUSH HARDER
B0F2TH8Z6S,eva_mats_black_PO12,11276,45,472.5,5243.8,2,2,9.01,11.1,0.4,4.44,10.5,7,PUSH HARDER
B0C1471G4X,EH_EVA_Grey_Mat_PO16,12368,61,469.44,0.0,0,0,,0.0,0.49,0.0,7.7,12,LOSER - PAUSE
B0GVK7LNG7,SB_Black&Grey_70Ltrs_PO2,4677,30,468.73,519.05,1,1,90.31,1.11,0.64,3.33,15.62,12,LOSER - CUT BIDS
B0CRKQJNL4,eHK_EVA_MULTI_4,3052,71,464.58,0.0,0,0,,0.0,2.33,0.0,6.54,1,LOSER - PAUSE
B0FMP6CMM6,eh_DIAMOND_EVA_MULTI_PO9_New,10951,61,454.38,0.0,0,0,,0.0,0.56,0.0,7.45,3,LOSER - PAUSE
B09CMVG7PQ,Papfoil 10m -PO 1,6272,23,350.43,227.62,1,1,153.95,0.65,0.37,4.35,15.24,1,LOSER - CUT BIDS
B0BN5QG1KJ,AntiSkidMat_Diamond_Brown_45cmx5mtr,2421,33,294.47,2322.04,6,6,12.68,7.89,1.36,18.18,8.92,1,PUSH HARDER
B0GVK25ZVT,SB_Black&Grey_70Ltrs_PO4,3218,13,212.91,838.98,1,1,25.38,3.94,0.4,7.69,16.38,12,MONITOR
B0F48HNNB1,EH_ASM_Small_Leaf_45x5,5502,24,204.35,0.0,0,0,,0.0,0.44,0.0,8.51,1,LOSER - PAUSE
B0C143T5D8,EH_EVA_Grey_Mat_PO24,6672,50,201.94,0.0,0,0,,0.0,0.75,0.0,4.04,1,LOSER - PAUSE
B0CRKWXKCK,eHK_EVA_Grey_4,545,36,201.77,0.0,0,0,,0.0,6.61,0.0,5.6,1,LOSER - PAUSE
B0GL8BF4Z6,EH_Black&Grey_Leaf_PO8,8992,32,197.17,0.0,0,0,,0.0,0.36,0.0,6.16,1,LOSER - PAUSE
B0D9HD43H9,eHK_Black&Grey_EVA_PO16,9797,35,194.7,2757.14,1,1,7.06,14.16,0.36,2.86,5.56,1,MONITOR
B0D9HDFSH3,EH_Black&Grey_EVA_PO12,5159,20,131.73,0.0,0,0,,0.0,0.39,0.0,6.59,7,LOSER - PAUSE
B09CMST5QJ,Papfoil 10m -PO 2,7820,9,121.29,0.0,0,0,,0.0,0.12,0.0,13.48,1,LOSER - PAUSE
B0CRKRDHL3,eHK_EVA_MULTI_8,445,8,63.99,3885.95,1,1,1.65,60.73,1.8,12.5,8.0,1,MONITOR
B0GVKK57VD,SB_Black&Grey_33Ltrs_PO2,2037,5,59.43,0.0,0,0,,0.0,0.25,0.0,11.89,7,MONITOR
B0CRKV362W,eHK_EVA_Black_16,787,7,41.82,0.0,0,0,,0.0,0.89,0.0,5.97,1,MONITOR
B0GVKGJXGT,SB_Black&Grey_33Ltrs_PO4,1185,4,39.53,0.0,0,0,,0.0,0.34,0.0,9.88,7,MONITOR
B0BZZHSTNQ,EH_EVA_Multicolor_Mat_PO4,6,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
B09D9NZ8B8,Baking Paper 1kg -PO 1,131,0,0.0,0.0,0,0,,0,0.0,0,0,1,MONITOR
