Campaign,CampaignId,Status,AdType,Budget,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS
SPA-Liltoes-EVA Kids Mat,535245711377,ENABLED,SP,250.0,189983,1495,7252.91,100685.73,40,52,7.2,13.88
SP-PT-Storage Bag-Defensive,20968751452637,ENABLED,SP,200.0,6091,90,933.26,7789.41,17,17,11.98,8.35
SP-KT-Cloth Storage Bags for Clothes,158475079786365,PAUSED,SP,200.0,3533,19,237.82,447.62,1,1,53.13,1.88
SP-KT-Blanket Cover Bag,256308032752309,PAUSED,SP,200.0,3509,29,311.46,422.03,1,1,73.8,1.36
SP-KT-Storage Bag,247409222779109,ENABLED,SP,400.0,21947,104,1434.99,3617.8,7,7,39.66,2.52
SP-KT-Storage Bags for Clothes,10906973167401,ENABLED,SP,450.0,11818,63,742.82,2341.61,5,5,31.72,3.15
SP-KT-Storage Bags for Clothes Large,39113273495549,ENABLED,SP,300.0,52184,337,4186.18,14371.88,23,26,29.13,3.43
SP-KT-Clothes Storage Box,82554496906576,PAUSED,SP,200.0,11415,70,752.77,2161.42,5,5,34.83,2.87
SP-KT-Under Bed Storage Organizer Box,9582538140844,PAUSED,SP,200.0,2984,9,104.05,419.49,1,1,24.8,4.03
SP-KT-Blanket Storage Bags,255888663353885,PAUSED,SP,300.0,21838,82,874.7,834.74,1,1,104.79,0.95
SP-PT-SB-(B07QRQZK1G Storite),6450007315179,PAUSED,SP,300.0,32107,253,3258.4,5540.94,13,13,58.81,1.7
SP-PT-SB-(B0DBDYX4W6 Storite),256312749004119,ENABLED,SP,100.0,8759,44,666.8,2466.12,4,4,27.04,3.7
SP-PT-SB-(B07B8K3RQK Storite),241740193793969,ENABLED,SP,350.0,14504,206,2352.25,8018.03,15,16,29.34,3.41
SP-PT-SB-(B0DBDWG8K4 Storite),65232048239628,PAUSED,SP,300.0,8106,73,883.81,3786.43,9,9,23.34,4.28
SP-PT-SB-(B07BZ1XZ77 Storite),203340432142488,PAUSED,SP,400.0,32119,239,3890.85,11222.39,19,20,34.67,2.88
SP-PT-SB-(B081T9SFWY Storite),33915106654796,ENABLED,SP,100.0,3119,21,354.66,792.37,1,1,44.76,2.23
SP-KT-EVA Kids Mat-(kids play mats for floor),59099144882217,ENABLED,SP,100.0,7306,54,246.57,14537.16,3,6,1.7,58.96
SP-KT-EVA Kids Mat-(playing mat for kids),85048571595974,ENABLED,SP,100.0,8545,28,151.79,2566.67,1,1,5.91,16.91
SP-KT-EVA Kids Mat-(kids mats for floor thick),3283598490371,ENABLED,SP,300.0,16973,208,1369.77,9306.67,5,5,14.72,6.79
SP-KT-EVA Kids Mat-(mat for kids playing),168320907718990,ENABLED,SP,300.0,16194,144,801.11,5596.19,3,3,14.32,6.99
SP-KT-EVA EHK Gym Mat- (Interlocking Floor Mat),97733685567435,ENABLED,SP,100.0,6698,58,301.31,9261.9,3,3,3.25,30.74
SP-KT-EVA EHK Gym Mat- (Gym Mats for Floor),140185208970172,ENABLED,SP,500.0,29794,203,1283.0,9591.42,6,6,13.38,7.48
SP-KT-EVA EHK Gym Mat- (Gym Mat),219925089309364,ENABLED,SP,300.0,5321,65,461.52,6612.38,2,2,6.98,14.33
SP-KT-EVA EHK Gym Mat- (Rubber Mat for Gym),81689102298827,ENABLED,SP,300.0,16679,113,782.8,6968.57,3,3,11.23,8.9
SP-KT-EVA EHK B&G Gym Mat- (Gym floor Mat Rubber),196874581232754,ENABLED,SP,500.0,5217,47,260.95,3296.19,1,1,7.92,12.63
SP-KT-EVA EHK Gym Mat- (Gym Floor Mat),187742561244204,ENABLED,SP,100.0,1096,2,11.15,0.0,0,0,,0.0
SP-KT-EVA EHK `Gym Mat (Gym Flooring),38747506437576,ENABLED,SP,100.0,174,0,0.0,0.0,0,0,,0
SP-KT-EVA EHK Gym Mat- (Gym Matt for Workout),264859196534408,ENABLED,SP,100.0,4010,46,236.92,1657.14,2,2,14.3,6.99
SP-KT-BPM-LT-(Mat for Baby),241007015837636,ENABLED,SP,300.0,7643,56,356.13,1610.85,2,2,22.11,4.52
SP-KT-BPM-LT-(Play Mat for Babies 0 to 3 Years Thick),50402724701940,ENABLED,SP,100.0,531,11,67.8,0.0,0,0,,0.0
SP-KT-BPM-LT-(Kids Mats for Floor Thick),156537487256378,ENABLED,SP,100.0,4144,32,239.15,1610.85,2,2,14.85,6.74
SP-KT-BPM-LT-(Play Mat),220664481004072,ENABLED,SP,400.0,5498,62,381.44,852.38,1,1,44.75,2.23
SP-KT-BPM-LT-(Multi),71797717631962,ENABLED,SP,200.0,3733,35,218.49,2557.14,3,3,8.54,11.7
SP-KT-BPM-LT-(Baby Mats for Floor),207289207672400,ENABLED,SP,300.0,5534,44,273.34,0.0,0,0,,0.0
SP-KT-BPM-LT-(Baby Mat),43333490979919,ENABLED,SP,100.0,5699,56,333.01,1610.85,2,2,20.67,4.84
SPA-BPM-LT,140884656142754,ENABLED,SP,200.0,23329,195,1261.11,4261.9,4,5,29.59,3.38
