SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
gym mats for floor,535391,3683,29016.93,238512.28,108,12.17,2.93,BEST CONVERTING
baby mats for floor,319872,4004,23742.15,99156.67,110,23.94,2.75,BEST CONVERTING
b08jz8ss2h,100709,2543,22449.58,229399.66,86,9.79,3.38,BEST CONVERTING
b07bz1xz77,118172,1120,21623.6,46664.6,85,46.34,7.59,CONVERTING
interlocking play mat for kids,297102,3082,20726.28,317877.83,104,6.52,3.37,BEST CONVERTING
storage bags for clothes large,250251,1228,17465.85,59450.41,99,29.38,8.06,CONVERTING
b0d95tb7kv,97753,2094,16128.44,107111.94,59,15.06,2.82,BEST CONVERTING
mat for kids playing,160978,1836,15647.94,80244.33,36,19.5,1.96,BEST CONVERTING
kids mats for floor thick,183044,1964,15252.6,61816.93,45,24.67,2.29,BEST CONVERTING
gym mat,200945,1497,13104.62,109187.66,46,12.0,3.07,BEST CONVERTING
play mat for babies 0 to 12 months,120020,1967,12246.01,51998.39,64,23.55,3.25,BEST CONVERTING
rubber mat for gym,260484,1456,12214.29,76425.71,33,15.98,2.27,BEST CONVERTING
b0dbdwg8k4,92316,581,10893.03,20937.08,37,52.03,6.37,CONVERTING
gym floor mat rubber,169142,1536,10815.6,62079.57,34,17.42,2.21,BEST CONVERTING
b0d7w73kz1,56224,518,10531.67,40695.03,49,25.88,9.46,CONVERTING
b0d3ld71bg,84219,1729,10005.2,36046.06,46,27.76,2.66,CONVERTING
play mat,103776,1467,9986.86,31964.6,34,31.24,2.32,CONVERTING
b09mydpf3y,50781,1224,9435.92,99007.9,40,9.53,3.27,BEST CONVERTING
shelf liners for kitchen shelves,256114,703,8228.01,24831.57,35,33.14,4.98,CONVERTING
drawer mat,131159,567,7849.31,21659.79,29,36.24,5.11,CONVERTING
interlocking floor mat,171225,1408,7574.01,97676.26,30,7.75,2.13,BEST CONVERTING
storage bags for clothes,77876,445,7081.35,34586.6,50,20.47,11.24,BEST CONVERTING
interlocking mat,124054,763,6606.47,34869.59,19,18.95,2.49,BEST CONVERTING
blanket storage bags,106409,431,6295.11,16833.9,31,37.4,7.19,CONVERTING
b0chmzcx43,70718,852,6005.18,28393.32,17,21.15,2.0,BEST CONVERTING
b0822gyvnx,28733,735,5923.49,96169.07,26,6.16,3.54,BEST CONVERTING
b07qrqzk1g,40625,380,5743.7,12374.27,23,46.42,6.05,CONVERTING
kids mat,69358,591,5474.42,27042.07,14,20.24,2.37,BEST CONVERTING
b0gvjnxtft,30976,668,5465.4,13056.54,17,41.86,2.54,CONVERTING
b08gj2w8h6,59100,1001,5394.02,60699.95,23,8.89,2.3,BEST CONVERTING
