unitsSoldClicks,cost,purchases,campaignId,campaignStatus,clicks,impressions,campaignName,sales
0,0,0,262455623220693,PAUSED,0,0,SD-vCPM-EASYHOME EVA Mats,0
0,0,0,157428663096746,PAUSED,0,0,SD-Category/CompetitionTarget-Eva Mat,0
0,0.62,0,209292321847418,ENABLED,0,12,Multicolor vCPM- Target Temoli,0
4,1304.05,4,67689273965447,ENABLED,47,24415,SD-VCPM-Storage Bag-Defensive,2670.48
0,33.64,0,52081996498520,ENABLED,1,1254,SD-VCPM-SB-Competition,0
4,1190.31,7,443522020803957,ENABLED,56,21953,SD-VCPM-EVA Kids Mats- B08GJ2W8H6 Liltoes,13998.1
0,67.48,1,511827829287276,ENABLED,10,2099,Multicolor vCPM- Target Ehomekart,3423.81
0,39.83,0,306854315900695,ENABLED,0,1141,SD-Views-Anti-Slip Mats Defensive,0
5,2896.55,13,481061152849251,ENABLED,162,91258,SD-VCPM-EVA Gym Mat- (B0CHMZCX43 Xtrim),30031.34
0,409.78,0,537801191689695,ENABLED,17,14510,SD-VCPM-EVA Gym Mat- (B09QMK3PC5 Nasmodo),0
0,39.33,0,355409400089994,ENABLED,0,735,SD-VCPM-EVA Gym Mat- (B01DAOOAW6 Stalwart),0
1,1856.66,2,457139211617322,ENABLED,75,55009,SD-VCPM-EVA Gym Mat-Defensive,6923.82
15,1044.06,11,389639008589861,ENABLED,110,36807,SD-EVA Kids Mat-Defensive,34638.08
0,239.95,0,388683862001772,ENABLED,22,6124,"SD-VCPM-EVA Gym Mat- (B0784MK315, B07F3JN779 Kobo)",0
0,12.22,0,459114062083124,ENABLED,0,746,SD-VCPM-EVA Gym Mat- (B0D95SFFL9 Xtrim),0
1,784.84,4,290187432097965,ENABLED,32,24688,SD-VCPM-EVA Gym Mat- (B09SJ6VDN4 Nasmodo),12571.41
0,228.31,0,397624518684234,ENABLED,18,7035,SD-VCPM-EVA Gym Mat- (B0D95TB7KV Xtrim),0
1,505.53,1,449905481136315,ENABLED,30,20739,SD-VCPM-EVA Gym Mat- (B09P3NQ1V5 Signatron),1760.95
0,49.55,1,305564740370745,ENABLED,1,2314,"SD-VCPM-EVA Gym Mat- (B09P3NQ1V5, B09F68LRLC, B0B5N7S9QJ Signatron)",4276.19
0,252.5,1,349980243723708,ENABLED,11,8675,SD-VCPM-ASM- (B078X7KLTH Urbanfix),334.75
0,0,0,413703656044062,ENABLED,0,5,SD-CPC-ASM- (B08N4R1HQ6 KayJen),0
0,373.7,2,450971091916435,ENABLED,4,9721,SD-VCPM-ASM-(B0DDXRHF54 Niwlix),669.5
0,111.61,0,431945262212312,ENABLED,4,2961,SD-VCPM-ASM- (B08N4R1HQ6 KayJen),0
0,0,0,352399194287445,ENABLED,0,1,SD-CPC-ASM- (B0D8L853WP Niwlix),0
0,0,0,478359384774103,ENABLED,0,0,SD-CPC-ASM- (B078X7KLTH Urbanfix),0
1,52.94,1,392989596184040,ENABLED,1,122,SD-CPC-ASM- (B08W3CF11M Elastpro),334.75
0,0,0,420370903781708,PAUSED,0,0,SD-VCPM-ASM- (B07MNKGT2P Kuber),0
0,0,0,455734630575915,ENABLED,0,3,SD-CPC-ASM- (B08336VK4N Urbanfix),0
