cost,unitsSoldClicks1d,adGroupName,campaignId,advertisedAsin,clicks,advertisedSku,purchases1d,sales1d,impressions,campaignName,adGroupId
7.09,0,kitchen shelf mats roll,429616088691752,B0CN177JS7,1,AntiSkidMat_Diamond_Grey_60cmx10mtr,0,0,153,SP-KT-ASM- (Kitchen Shelf Mats Roll),326807220936343
45.64,0,ASINs,525534316779701,B0CN177JS7,5,AntiSkidMat_Diamond_Grey_60cmx10mtr,0,0,198,Defense- Antislip- SPM ASIN,370304859254119
194.11,1,ASINs,525534316779701,B0BN5NZCGH,22,AntiSkidMat_Diamond_Grey_45cmx5mtr,1,299.15,1666,Defense- Antislip- SPM ASIN,370304859254119
8.68,0,ASINs,525534316779701,B0BN5P232F,1,AntiSkidMat_Diamond_Clear_45cmx5mtr,0,0,440,Defense- Antislip- SPM ASIN,370304859254119
203.23,3,ASINs,525534316779701,B0BN631JD4,22,AntiSkidMat_Diamond_Clear_60cmx10mtr,3,2394.08,926,Defense- Antislip- SPM ASIN,370304859254119
191.22,1,Ad Group - 24/5/2025 11:17:13.814,540403636890128,B09MY5K3SH,25,EH-Black-Interlock-Mat-4,1,2614.29,5025,SP-KT-EVA Gym Mat-Defensive,538890822032291
0,0,Ad Group - 24/5/2025 11:17:13.814,540403636890128,B0F2TCMVWC,0,EH-Black-Mat-8,0,0,74,SP-KT-EVA Gym Mat-Defensive,538890822032291
983.67,2,Ad Group - 24/5/2025 11:37:01.833,431252039560980,B0D9HB8LTP,88,EH_Black&Grey_EVA_PO8,2,5358.09,6961,SP-KT-EVA Gym Mat- (Gym Mat),412317785138777
94.47,1,Ad Group - 24/5/2025 11:37:01.833,431252039560980,B0F2TCMVWC,13,EH-Black-Mat-8,1,1371.43,1411,SP-KT-EVA Gym Mat- (Gym Mat),412317785138777
1106.48,1,Ad Group - 24/5/2025 11:37:01.833,431252039560980,B08642G3SR,117,eva_mats_black_8,1,2614.29,13526,SP-KT-EVA Gym Mat- (Gym Mat),412317785138777
772.93,2,Ad Group - 24/5/2025 11:34:17.967,471873610002541,B0D9HB8LTP,81,EH_Black&Grey_EVA_PO8,2,5500.95,12992,SP-KT-EVA Gym Mat- (Gym Mats for Floor),438144705350280
1822.89,3,Ad Group - 24/5/2025 11:34:17.967,471873610002541,B09MY5K3SH,225,EH-Black-Interlock-Mat-4,3,4906.67,24906,SP-KT-EVA Gym Mat- (Gym Mats for Floor),438144705350280
0,0,Ad Group - 24/5/2025 11:37:22.788,355311063587869,B0D9HB8LTP,0,EH_Black&Grey_EVA_PO8,0,0,79,SP-KT-EVA Gym Mat- (Foam Mat),413600167687188
54.32,1,Ad Group - 24/5/2025 11:37:06.999,306648672666736,B0D9HB8LTP,8,EH_Black&Grey_EVA_PO8,1,1600.95,2170,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),336047415485697
49.89,0,Ad Group - 24/5/2025 11:37:06.999,306648672666736,B0F2TCMVWC,9,EH-Black-Mat-8,0,0,1357,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),336047415485697
221.8,2,Ad Group - 24/5/2025 11:37:06.999,306648672666736,B08642G3SR,43,eva_mats_black_8,2,4142.85,10417,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),336047415485697
73.22,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B0D9HB8LTP,7,EH_Black&Grey_EVA_PO8,0,0,563,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
0,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B0F2TCMVWC,0,EH-Black-Mat-8,0,0,27,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
112.48,0,Ad Group - 24/5/2025 11:37:33.625,465835212527063,B08642G3SR,11,eva_mats_black_8,0,0,930,SP-KT-EVA Gym Mat- (Gym Carpet),530796269824942
8.8,0,Ad Group - 24/5/2025 12:15:01.512,359469823003063,B0D9HB8LTP,1,EH_Black&Grey_EVA_PO8,0,0,102,SP-KT-EVA Gym Mat- (Rubber Floor Tiles),469993859433214
34.56,0,Ad Group - 24/5/2025 12:15:01.512,359469823003063,B08642G3SR,3,eva_mats_black_8,0,0,130,SP-KT-EVA Gym Mat- (Rubber Floor Tiles),469993859433214
9.86,0,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B0D9HB8LTP,2,EH_Black&Grey_EVA_PO8,0,0,683,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
574.52,2,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B09MY5K3SH,125,EH-Black-Interlock-Mat-4,2,1593.33,9412,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
12.91,0,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B0F2TCMVWC,3,EH-Black-Mat-8,0,0,341,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
18.29,0,Ad Group - 24/5/2025 11:36:56.919,447874778015438,B08642G3SR,4,eva_mats_black_8,0,0,548,SP-KT-EVA Gym Mat- (Gym Matt for Workout),439121147951940
112.54,1,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0D9HB8LTP,14,EH_Black&Grey_EVA_PO8,1,3900.0,1355,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
0,0,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0F2TCMVWC,0,EH-Black-Mat-8,0,0,615,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
0,0,Ad Group - 24/5/2025 11:37:17.806,307260474921082,B0B6VCW2VK,0,eva_mat_grey_12,0,0,204,SP-KT-EVA Gym Mat- (Gym Floor Mat),502295335486580
16.33,0,Ad Group - 24/5/2025 12:15:19.387,330012053021270,B0D9HB8LTP,2,EH_Black&Grey_EVA_PO8,0,0,264,SP-KT-EVA Gym Mat- (Gym Flooring),446287475736959
11.95,0,Ad Group - 24/5/2025 12:15:19.387,330012053021270,B0F2TCMVWC,2,EH-Black-Mat-8,0,0,32,SP-KT-EVA Gym Mat- (Gym Flooring),446287475736959
0,0,Ad Group - 24/5/2025 11:34:30.975,537007738248322,B0D9HB8LTP,0,EH_Black&Grey_EVA_PO8,0,0,2314,SP-KT-EVA Gym Mat- (Exercise Mat for Home Workout),364970581964338
67.74,0,Ad Group - 24/5/2025 11:34:30.975,537007738248322,B09MY5K3SH,6,EH-Black-Interlock-Mat-4,0,0,370,SP-KT-EVA Gym Mat- (Exercise Mat for Home Workout),364970581964338
28.38,0,Ad Group - 24/5/2025 11:34:30.975,537007738248322,B0F2TCMVWC,3,EH-Black-Mat-8,0,0,626,SP-KT-EVA Gym Mat- (Exercise Mat for Home Workout),364970581964338
11.7,0,Ad Group - 24/5/2025 11:34:30.975,537007738248322,B0B6VCW2VK,1,eva_mat_grey_12,0,0,255,SP-KT-EVA Gym Mat- (Exercise Mat for Home Workout),364970581964338
89.37,1,Ad Group - 24/5/2025 11:34:30.975,537007738248322,B08642G3SR,12,eva_mats_black_8,1,3133.33,2622,SP-KT-EVA Gym Mat- (Exercise Mat for Home Workout),364970581964338
132.31,0,Ad Group - 24/5/2025 12:15:14.966,335463343417473,B0D9HB8LTP,15,EH_Black&Grey_EVA_PO8,0,0,4989,SP-KT-EVA Gym Mat- (Rubber Mat for Gym),550847276292210
7.64,0,Ad Group - 24/5/2025 12:15:32.648,425765379909690,B0D9HB8LTP,2,EH_Black&Grey_EVA_PO8,0,0,576,SP-KT-EVA Gym Mat- (Gym Floor Mat for Heavy Workout),389155763929070
15.96,0,Ad Group - 24/5/2025 12:15:32.648,425765379909690,B0F2TCMVWC,3,EH-Black-Mat-8,0,0,489,SP-KT-EVA Gym Mat- (Gym Floor Mat for Heavy Workout),389155763929070
9.68,0,Ad Group - 24/5/2025 12:15:32.648,425765379909690,B08642G3SR,3,eva_mats_black_8,0,0,1004,SP-KT-EVA Gym Mat- (Gym Floor Mat for Heavy Workout),389155763929070
16.04,0,Ad Group - 24/5/2025 12:15:28.007,546255629915286,B0D9HB8LTP,1,EH_Black&Grey_EVA_PO8,0,0,470,SP-KT-EVA Gym Mat- (Gym Equipment Mat),389658433063855
15.03,0,Ad Group - 24/5/2025 12:15:28.007,546255629915286,B09MY5K3SH,1,EH-Black-Interlock-Mat-4,0,0,75,SP-KT-EVA Gym Mat- (Gym Equipment Mat),389658433063855
0,0,Ad Group - 24/5/2025 12:15:28.007,546255629915286,B0F2TCMVWC,0,EH-Black-Mat-8,0,0,5,SP-KT-EVA Gym Mat- (Gym Equipment Mat),389658433063855
28.8,0,Ad Group - 24/5/2025 12:15:23.827,361079652913959,B09MY5K3SH,2,EH-Black-Interlock-Mat-4,0,0,62,SP-KT-EVA Gym Mat- (Interlocking Floor Mat),392007376840560
223.85,0,Ad Group - 24/5/2025 13:02:24.065,455121583944025,B0D9HB8LTP,28,EH_Black&Grey_EVA_PO8,0,0,4046,SP-PT-EVA Gym Mat-Defensive,519866902368980
70.94,1,Ad Group - 24/5/2025 13:02:24.065,455121583944025,B09MY5K3SH,13,EH-Black-Interlock-Mat-4,1,777.14,737,SP-PT-EVA Gym Mat-Defensive,519866902368980
69.65,0,Ad Group - 24/5/2025 13:02:24.065,455121583944025,B0F2TCMVWC,10,EH-Black-Mat-8,0,0,971,SP-PT-EVA Gym Mat-Defensive,519866902368980
60.88,0,Ad Group - 24/5/2025 13:02:24.065,455121583944025,B0B6VCW2VK,8,eva_mat_grey_12,0,0,1869,SP-PT-EVA Gym Mat-Defensive,519866902368980
