cost,unitsSoldClicks1d,campaignId,campaignStatus,clicks,purchases1d,sales1d,impressions,campaignName,campaignBudgetAmount
7252.91,52,535245711377,ENABLED,1495,40,100685.73,189983,SPA-Liltoes-EVA Kids Mat,250.0
933.26,17,20968751452637,ENABLED,90,17,7789.41,6091,SP-PT-Storage Bag-Defensive,200.0
237.82,1,158475079786365,PAUSED,19,1,447.62,3533,SP-KT-Cloth Storage Bags for Clothes,200.0
311.46,1,256308032752309,PAUSED,29,1,422.03,3509,SP-KT-Blanket Cover Bag,200.0
1434.99,7,247409222779109,ENABLED,104,7,3617.8,21947,SP-KT-Storage Bag,400.0
742.82,5,10906973167401,ENABLED,63,5,2341.61,11818,SP-KT-Storage Bags for Clothes,450.0
4186.18,26,39113273495549,ENABLED,337,23,14371.88,52184,SP-KT-Storage Bags for Clothes Large,300.0
752.77,5,82554496906576,PAUSED,70,5,2161.42,11415,SP-KT-Clothes Storage Box,200.0
104.05,1,9582538140844,PAUSED,9,1,419.49,2984,SP-KT-Under Bed Storage Organizer Box,200.0
874.7,1,255888663353885,PAUSED,82,1,834.74,21838,SP-KT-Blanket Storage Bags,300.0
3258.4,13,6450007315179,PAUSED,253,13,5540.94,32107,SP-PT-SB-(B07QRQZK1G Storite),300.0
666.8,4,256312749004119,ENABLED,44,4,2466.12,8759,SP-PT-SB-(B0DBDYX4W6 Storite),100.0
2352.25,16,241740193793969,ENABLED,206,15,8018.03,14504,SP-PT-SB-(B07B8K3RQK Storite),350.0
883.81,9,65232048239628,PAUSED,73,9,3786.43,8106,SP-PT-SB-(B0DBDWG8K4 Storite),300.0
3890.85,20,203340432142488,PAUSED,239,19,11222.39,32119,SP-PT-SB-(B07BZ1XZ77 Storite),400.0
354.66,1,33915106654796,ENABLED,21,1,792.37,3119,SP-PT-SB-(B081T9SFWY Storite),100.0
246.57,6,59099144882217,ENABLED,54,3,14537.16,7306,SP-KT-EVA Kids Mat-(kids play mats for floor),100.0
151.79,1,85048571595974,ENABLED,28,1,2566.67,8545,SP-KT-EVA Kids Mat-(playing mat for kids),100.0
1369.77,5,3283598490371,ENABLED,208,5,9306.67,16973,SP-KT-EVA Kids Mat-(kids mats for floor thick),300.0
801.11,3,168320907718990,ENABLED,144,3,5596.19,16194,SP-KT-EVA Kids Mat-(mat for kids playing),300.0
301.31,3,97733685567435,ENABLED,58,3,9261.9,6698,SP-KT-EVA EHK Gym Mat- (Interlocking Floor Mat),100.0
1283.0,6,140185208970172,ENABLED,203,6,9591.42,29794,SP-KT-EVA EHK Gym Mat- (Gym Mats for Floor),500.0
461.52,2,219925089309364,ENABLED,65,2,6612.38,5321,SP-KT-EVA EHK Gym Mat- (Gym Mat),300.0
782.8,3,81689102298827,ENABLED,113,3,6968.57,16679,SP-KT-EVA EHK Gym Mat- (Rubber Mat for Gym),300.0
260.95,1,196874581232754,ENABLED,47,1,3296.19,5217,SP-KT-EVA EHK B&G Gym Mat- (Gym floor Mat Rubber),500.0
11.15,0,187742561244204,ENABLED,2,0,0,1096,SP-KT-EVA EHK Gym Mat- (Gym Floor Mat),100.0
0,0,38747506437576,ENABLED,0,0,0,174,SP-KT-EVA EHK `Gym Mat (Gym Flooring),100.0
236.92,2,264859196534408,ENABLED,46,2,1657.14,4010,SP-KT-EVA EHK Gym Mat- (Gym Matt for Workout),100.0
356.13,2,241007015837636,ENABLED,56,2,1610.85,7643,SP-KT-BPM-LT-(Mat for Baby),300.0
67.8,0,50402724701940,ENABLED,11,0,0,531,SP-KT-BPM-LT-(Play Mat for Babies 0 to 3 Years Thick),100.0
239.15,2,156537487256378,ENABLED,32,2,1610.85,4144,SP-KT-BPM-LT-(Kids Mats for Floor Thick),100.0
381.44,1,220664481004072,ENABLED,62,1,852.38,5498,SP-KT-BPM-LT-(Play Mat),400.0
218.49,3,71797717631962,ENABLED,35,3,2557.14,3733,SP-KT-BPM-LT-(Multi),200.0
273.34,0,207289207672400,ENABLED,44,0,0,5534,SP-KT-BPM-LT-(Baby Mats for Floor),300.0
333.01,2,43333490979919,ENABLED,56,2,1610.85,5699,SP-KT-BPM-LT-(Baby Mat),100.0
1261.11,5,140884656142754,ENABLED,195,4,4261.9,23329,SPA-BPM-LT,200.0
339.94,2,196758043116120,ENABLED,56,2,1704.76,3852,SP-KT-BPM-LT-(Baby Playing Mat),300.0
47.2,0,49320689416740,PAUSED,8,0,0,1142,SP-KT-BPM-LT-(Floor Mat for Kids),100.0
7.09,0,429616088691752,ENABLED,1,0,0,270,SP-KT-ASM- (Kitchen Shelf Mats Roll),200.0
451.66,4,525534316779701,ENABLED,50,4,2693.23,3230,Defense- Antislip- SPM ASIN,399.99
646.3,2,447874778015438,ENABLED,141,2,1593.33,12192,SP-KT-EVA Gym Mat- (Gym Matt for Workout),300.0
5238.2,21,486573877816929,ENABLED,881,20,44324.75,77686,SP-PT-EVA Gym Mat- (B0D95SFFL9 Xtrim),350.0
0,0,424814241746405,ENABLED,0,0,0,1,SP-PT-EVA Gym Mat- (B09F6SLMS4 Agaro),100.0
65.38,0,355311063587869,ENABLED,13,0,0,866,SP-KT-EVA Gym Mat- (Foam Mat),200.0
0,0,373158452443701,ENABLED,0,0,0,2,SP-PT-EVA Gym Mat- (B0BGHCFLYJ Horianzo),100.0
698.32,4,306648672666736,ENABLED,104,4,9500.94,19519,SP-KT-EVA B&G Gym Mat- (Gym floor Mat Rubber),450.0
321.96,1,425765379909690,ENABLED,59,1,3280.96,9492,SP-KT-EVA Gym Mat- (Gym Floor Mat for Heavy Workout),100.0
8.04,0,298172857793238,ENABLED,1,0,0,81,SP-PT-EVA Gym Mat- (B012TWTUMU WeSellMats),100.0
