keyword,page_no,position_on_page,overall_position,asin,title,brand,price,rating,review_count,sponsored,is_own,bsr_rank,bsr_category,monthly_sales_est,total_ratings_page,bought_last_month,link
gym mats for floor,1,1,1,B0FDQMC84R,Amazon Brand - Symactive Puzzle Exercise Mat | EVA Interlocking Tiles | Set of 4 | 61 x 61 cm each | 10 MM | Protective ,100+ bought in past month,₹809,3.9 out of 5 stars,8,True,False,,,,8,100+,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDg0MDExNTY0OTExNDkxOjE3NzYyNDI2Nzc6c3BfYXRmOjMwMDk3MzE1NDMyMTkzMjo6MDo6&url=%2FAmazon-Brand-Symactive-Interlocking-Protective%2Fdp%2FB0FDQMC84R%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1IS6QWQEIRA7O%26dib%3DeyJ2IjoiMSJ9.VWodkRx56RKHiA_MZQbr_C24r5_y-CComhDHkElLCjlFVoyAX9vm8aD6GUUbvv1ju6D30Gc-ueORuUHDoSF2eDKTEROfR9F6zVaPH55Jgfz32yD0pDkkG2kHO8onsxEZIKtEKXHTNn-gpE0-VjZye-bAUA_S9VT9ZalL6sTy_OsUAahfCdTRuKUddH8isuzOWs9kog_sVggawl5NzovI2g6gz_3qXpmfFomXwCrLWTbcEAhESu-B35_WRn7PcJOW7_tPCROZx9SzVY0hvE4zeY1V0DjecgIDnunkqWYWpP4.PMyle_iI-zXbNripTXefHbXZZggnRSANtIJ_ChtPbOM%26dib_tag%3Dse%26keywords%3Dgym%2Bmats%2Bfor%2Bfloor%26qid%3D1776242677%26sprefix%3Dgym%2Bmats%2Bfor%2Bfloor%252Caps%252C423%26sr%3D8-1-spons%26aref%3DIiBQAkK6lc%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=IiBQAkK6lc&sp_cr=ZAZ
gym mats for floor,1,2,2,B08JZ6GKDX,ABB INITIO GYM (A De Jure Fitness Brand) PVC Leatherette Yoga Mat 10mm Extra Thick Non Slip Raxine | Odorless Eco Friend,400+ bought in past month,₹842,4.2 out of 5 stars,"84,20084,200100",True,False,,,,385,400+,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDg0MDExNTY0OTExNDkxOjE3NzYyNDI2Nzc6c3BfYXRmOjMwMDU3MDA2MDAzNDQzMjo6MDo6&url=%2FABB-INITIO-GYM-Leatherette-Lightweight%2Fdp%2FB08JZ6GKDX%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1IS6QWQEIRA7O%26dib%3DeyJ2IjoiMSJ9.VWodkRx56RKHiA_MZQbr_C24r5_y-CComhDHkElLCjlFVoyAX9vm8aD6GUUbvv1ju6D30Gc-ueORuUHDoSF2eDKTEROfR9F6zVaPH55Jgfz32yD0pDkkG2kHO8onsxEZIKtEKXHTNn-gpE0-VjZye-bAUA_S9VT9ZalL6sTy_OsUAahfCdTRuKUddH8isuzOWs9kog_sVggawl5NzovI2g6gz_3qXpmfFomXwCrLWTbcEAhESu-B35_WRn7PcJOW7_tPCROZx9SzVY0hvE4zeY1V0DjecgIDnunkqWYWpP4.PMyle_iI-zXbNripTXefHbXZZggnRSANtIJ_ChtPbOM%26dib_tag%3Dse%26keywords%3Dgym%2Bmats%2Bfor%2Bfloor%26qid%3D1776242677%26sprefix%3Dgym%2Bmats%2Bfor%2Bfloor%252Caps%252C423%26sr%3D8-2-spons%26aref%3DuvI80Nkn5z%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=uvI80Nkn5z&sp_cr=ZAZ
gym mats for floor,1,3,3,B0B7599YRJ,Boldfit Yoga Mats For Women and Men Exercise For Home Workout Gym Anti Slip EVA Material Yoga Mat 4Mm For Kids Gym Mats ,M.R.P:,₹349,4.0 out of 5 stars,166,True,False,,,,"16,637",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDg0MDExNTY0OTExNDkxOjE3NzYyNDI2Nzc6c3BfYXRmOjIwMTA3MDM1NzEyODk4OjowOjo&url=%2FBoldfit-Women-Exercise-workout-Workout%2Fdp%2FB0B7599YRJ%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1IS6QWQEIRA7O%26dib%3DeyJ2IjoiMSJ9.VWodkRx56RKHiA_MZQbr_C24r5_y-CComhDHkElLCjlFVoyAX9vm8aD6GUUbvv1ju6D30Gc-ueORuUHDoSF2eDKTEROfR9F6zVaPH55Jgfz32yD0pDkkG2kHO8onsxEZIKtEKXHTNn-gpE0-VjZye-bAUA_S9VT9ZalL6sTy_OsUAahfCdTRuKUddH8isuzOWs9kog_sVggawl5NzovI2g6gz_3qXpmfFomXwCrLWTbcEAhESu-B35_WRn7PcJOW7_tPCROZx9SzVY0hvE4zeY1V0DjecgIDnunkqWYWpP4.PMyle_iI-zXbNripTXefHbXZZggnRSANtIJ_ChtPbOM%26dib_tag%3Dse%26keywords%3Dgym%2Bmats%2Bfor%2Bfloor%26qid%3D1776242677%26sprefix%3Dgym%2Bmats%2Bfor%2Bfloor%252Caps%252C423%26sr%3D8-3-spons%26aref%3D2OiP2yL7Vg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=2OiP2yL7Vg&sp_cr=ZAZ
gym mats for floor,1,4,4,B0BQY8TLLM,"TEGO Core Yoga Mat (Grey Brick) | 8mm Ultra-Cushioned TPE Mat with Posture Reference Lines | Antimicrobial, Non-Slip, Li",M.R.P:,"₹1,819",4.0 out of 5 stars,890,True,False,,,,890,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDg0MDExNTY0OTExNDkxOjE3NzYyNDI2Nzc6c3BfYXRmOjMwMDAxNjUyOTU2MjYzMjo6MDo6&url=%2FTEGO-Ultra-Cushioned-Antimicrobial-Beginner-friendly-Joint-Friendly%2Fdp%2FB0BQY8TLLM%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1IS6QWQEIRA7O%26dib%3DeyJ2IjoiMSJ9.VWodkRx56RKHiA_MZQbr_C24r5_y-CComhDHkElLCjlFVoyAX9vm8aD6GUUbvv1ju6D30Gc-ueORuUHDoSF2eDKTEROfR9F6zVaPH55Jgfz32yD0pDkkG2kHO8onsxEZIKtEKXHTNn-gpE0-VjZye-bAUA_S9VT9ZalL6sTy_OsUAahfCdTRuKUddH8isuzOWs9kog_sVggawl5NzovI2g6gz_3qXpmfFomXwCrLWTbcEAhESu-B35_WRn7PcJOW7_tPCROZx9SzVY0hvE4zeY1V0DjecgIDnunkqWYWpP4.PMyle_iI-zXbNripTXefHbXZZggnRSANtIJ_ChtPbOM%26dib_tag%3Dse%26keywords%3Dgym%2Bmats%2Bfor%2Bfloor%26qid%3D1776242677%26sprefix%3Dgym%2Bmats%2Bfor%2Bfloor%252Caps%252C423%26sr%3D8-4-spons%26aref%3DbKwuHOXi6B%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=bKwuHOXi6B&sp_cr=ZAZ
gym mats for floor,1,5,5,B0D95TB7KV,"Xtrim Puzzle Exercise Mat (6 Tiles & 10 Borders, 16 Sq.Ft.Area) High-Density EVA Foam Mat,Interlocking Tiles, Shock Proo",200+ bought in past month,"₹1,449",3.9 out of 5 stars,2415024150,False,False,,,,551,200+,https://www.amazon.in/Exercise-High-Density-Interlocking-Protective-Equipment/dp/B0D95TB7KV/ref=sr_1_5?crid=1IS6QWQEIRA7O&dib=eyJ2IjoiMSJ9.VWodkRx56RKHiA_MZQbr_C24r5_y-CComhDHkElLCjlFVoyAX9vm8aD6GUUbvv1ju6D30Gc-ueORuUHDoSF2eDKTEROfR9F6zVaPH55Jgfz32yD0pDkkG2kHO8onsxEZIKtEKXHTNn-gpE0-VjZye-bAUA_S9VT9ZalL6sTy_OsUAahfCdTRuKUddH8isuzOWs9kog_sVggawl5NzovI2g6gz_3qXpmfFomXwCrLWTbcEAhESu-B35_WRn7PcJOW7_tPCROZx9SzVY0hvE4zeY1V0DjecgIDnunkqWYWpP4.PMyle_iI-zXbNripTXefHbXZZggnRSANtIJ_ChtPbOM&dib_tag=se&keywords=gym+mats+for+floor&qid=1776242677&sprefix=gym+mats+for+floor%2Caps%2C423&sr=8-5
gym mats for floor,1,6,6,B0FBWLYYT2,"Cult EVA Foam Interlocking Workout Mat Tiles – Shock-Absorbing, Anti-Slip, Protective Gym Flooring for Home & Fitness Eq",200+ bought in past month,₹799,4.0 out of 5 stars,11,False,False,,,,11,200+,https://www.amazon.in/Cult-Foam-Interlocking-Workout-Tiles/dp/B0FBWLYYT2/ref=sr_1_6?crid=1IS6QWQEIRA7O&dib=eyJ2IjoiMSJ9.VWodkRx56RKHiA_MZQbr_C24r5_y-CComhDHkElLCjlFVoyAX9vm8aD6GUUbvv1ju6D30Gc-ueORuUHDoSF2eDKTEROfR9F6zVaPH55Jgfz32yD0pDkkG2kHO8onsxEZIKtEKXHTNn-gpE0-VjZye-bAUA_S9VT9ZalL6sTy_OsUAahfCdTRuKUddH8isuzOWs9kog_sVggawl5NzovI2g6gz_3qXpmfFomXwCrLWTbcEAhESu-B35_WRn7PcJOW7_tPCROZx9SzVY0hvE4zeY1V0DjecgIDnunkqWYWpP4.PMyle_iI-zXbNripTXefHbXZZggnRSANtIJ_ChtPbOM&dib_tag=se&keywords=gym+mats+for+floor&qid=1776242677&sprefix=gym+mats+for+floor%2Caps%2C423&sr=8-6
gym mats for floor,1,7,7,B0GTFMNMZG,"WENGTY EVA Interlocking Floor Mat 30x30cm 10 Tiles, Lightweight Portable Foam Rubber Flooring, Anti-Slip Waterproof Cush",M.R.P:,₹598,,,False,False,,,,,,https://www.amazon.in/WENGTY-Interlocking-Lightweight-Waterproof-Protection/dp/B0GTFMNMZG/ref=sr_1_7?crid=1IS6QWQEIRA7O&dib=eyJ2IjoiMSJ9.VWodkRx56RKHiA_MZQbr_C24r5_y-CComhDHkElLCjlFVoyAX9vm8aD6GUUbvv1ju6D30Gc-ueORuUHDoSF2eDKTEROfR9F6zVaPH55Jgfz32yD0pDkkG2kHO8onsxEZIKtEKXHTNn-gpE0-VjZye-bAUA_S9VT9ZalL6sTy_OsUAahfCdTRuKUddH8isuzOWs9kog_sVggawl5NzovI2g6gz_3qXpmfFomXwCrLWTbcEAhESu-B35_WRn7PcJOW7_tPCROZx9SzVY0hvE4zeY1V0DjecgIDnunkqWYWpP4.PMyle_iI-zXbNripTXefHbXZZggnRSANtIJ_ChtPbOM&dib_tag=se&keywords=gym+mats+for+floor&qid=1776242677&sprefix=gym+mats+for+floor%2Caps%2C423&sr=8-7
gym mats for floor,1,8,8,B0CRKV5XTR,"eHomeKart Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Workout at Home, Super Abso",( ₹228.75 ₹228.75/count),₹915,4.0 out of 5 stars,2287522875,False,True,,,,57,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc3MTUwNDUzNDUxNzcxOjE3NzYyNDI2Nzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDkxMzk2MjUzNzYzMjo6MDo6&url=%2FeHomeKart-Interlocking-Workout-Absorbent-60x60cm%2Fdp%2FB0CRKV5XTR%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D1IS6QWQEIRA7O%26cv_ct_cx%3Dgym%2Bmats%2Bfor%2Bfloor%26keywords%3Dgym%2Bmats%2Bfor%2Bfloor%26pd_rd_i%3DB0CRKV5XTR%26pd_rd_r%3Dd72c8c6b-9b37-49c6-9733-075a0cc5deb4%26pd_rd_w%3DSQ7zi%26pd_rd_wg%3Dgp3OQ%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DTWP0V41W1WE91P2ZWF9D%26qid%3D1776242677%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dgym%2Bmats%2Bfor%2Bfloor%252Caps%252C423%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DCXcgZXLrO5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=CXcgZXLrO5&sp_cr=ZAZ
gym mats for floor,1,9,9,B086424GCB,"EASY HOME Gym Mats for Floor for Home and Living Room, Interlocking Rubber Floor Gym Mat for Workout At Home, Eva Foam W",( ₹185.94 ₹185.94/count),"₹2,975",4.1 out of 5 stars,1859418594,False,True,,,,146,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc3MTUwNDUzNDUxNzcxOjE3NzYyNDI2Nzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDkxOTQwODM4NjczMjo6MTo6&url=%2FEASY-HOME-Interlocking-Workout-60X60Cm%2Fdp%2FB086424GCB%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D1IS6QWQEIRA7O%26cv_ct_cx%3Dgym%2Bmats%2Bfor%2Bfloor%26keywords%3Dgym%2Bmats%2Bfor%2Bfloor%26pd_rd_i%3DB086424GCB%26pd_rd_r%3Dd72c8c6b-9b37-49c6-9733-075a0cc5deb4%26pd_rd_w%3DSQ7zi%26pd_rd_wg%3Dgp3OQ%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DTWP0V41W1WE91P2ZWF9D%26qid%3D1776242677%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dgym%2Bmats%2Bfor%2Bfloor%252Caps%252C423%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3Ddq8N5Lz7C0%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=dq8N5Lz7C0&sp_cr=ZAZ
gym mats for floor,1,10,10,B08WK93SZZ,"Puzzle Exercise Mat with EVA Foam Interlocking Tiles,Protective Flooring for Gym 4 PCS (16 sqft) Black & red",( ₹68.69 ₹68.69/Square Feet),"₹1,099",4.1 out of 5 stars,68696869,False,False,,,,274,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc3MTUwNDUzNDUxNzcxOjE3NzYyNDI2Nzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDcxMDg2MTI4MjMzMjo6Mjo6&url=%2FSIGNATRON-Exercise-Interlocking-Protective-Flooring%2Fdp%2FB08WK93SZZ%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D1IS6QWQEIRA7O%26cv_ct_cx%3Dgym%2Bmats%2Bfor%2Bfloor%26keywords%3Dgym%2Bmats%2Bfor%2Bfloor%26pd_rd_i%3DB08WK93SZZ%26pd_rd_r%3Dd72c8c6b-9b37-49c6-9733-075a0cc5deb4%26pd_rd_w%3DSQ7zi%26pd_rd_wg%3Dgp3OQ%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DTWP0V41W1WE91P2ZWF9D%26qid%3D1776242677%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dgym%2Bmats%2Bfor%2Bfloor%252Caps%252C423%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DIeppKaTY9H%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=IeppKaTY9H&sp_cr=ZAZ
