keyword,page_no,position_on_page,overall_position,asin,title,brand,price,rating,review_count,sponsored,bsr_rank,bsr_category,monthly_sales_est,total_ratings_page,bought_last_month,link
shelf liners for kitchen shelves,1,1,1,B0G7YXCRFH,"DALUCI Anti Slip Fridge Mat & Shelf Liner Roll – EVA Food Grade Washable Refrigerator Mat for Kitchen Drawer, Shelf, Cup",100+ bought in past month,₹396,4.4 out of 5 stars,23,True,,,,23,100+,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDYxNTk4ODY4NjAyMTYwOjE3NzYwNjM1OTg6c3BfYXRmOjMwMDk0NzU1ODE2NTkzMjo6MDo6&url=%2FDALUCI-Anti-Fridge-Shelf-Liner%2Fdp%2FB0G7YXCRFH%2Fref%3Dsr_1_1_sspa%3Fcrid%3D11VQBCQCKA5ZW%26dib%3DeyJ2IjoiMSJ9.6hsbt1ipbwbVfDlYP2gGJGmfqvxwxNi2D0TqnoaVCW_PZdMMLZ3m1YibmRP0EJCDoRJ-9TFeAYu8D45ktQeZ4o_VBNKWR6j5AfZbo-Gn22QSXGnmIQzXo9_TajFA-XpIvM1HYovNVO9HGoSlNVxVOxaF_KLTLX1vZmO72Y2JSudTteMQONZkntBja2Bi8ZQpcyY2z3O26PlyDYPFJuDheJfUwPniQ1gLgmgGCgZBma7cHX_wRLQabk9UXIpZEdMBtga4S6SQvKlSS0ESPf99hRyytB1p59yhU-VaERri5Bk.X_YGODiuex47LNU8JmgGCf3GcjrjUcYgk0i6swD9kcQ%26dib_tag%3Dse%26keywords%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26qid%3D1776063597%26sprefix%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%252Caps%252C443%26sr%3D8-1-spons%26aref%3DPFyTH6b0ed%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=PFyTH6b0ed&sp_cr=ZAZ
shelf liners for kitchen shelves,1,2,2,B09VC32SHV,"by Trendy Home Anti-Slip Mat for Kitchen (45 cm x 5 m), Food Grade & Washable, Mat for Fridge, Shelves, Cupboards, EVA S",2K+ bought in past month,₹399,4.3 out of 5 stars,29,True,,,,"2,928",2K+,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDYxNTk4ODY4NjAyMTYwOjE3NzYwNjM1OTg6c3BfYXRmOjMwMDQzMzkwNjcwMjQzMjo6MDo6&url=%2FSenego-Anti-Slip-Kitchens-Anti-Microbial-Resistant%2Fdp%2FB09VC32SHV%2Fref%3Dsr_1_2_sspa%3Fcrid%3D11VQBCQCKA5ZW%26dib%3DeyJ2IjoiMSJ9.6hsbt1ipbwbVfDlYP2gGJGmfqvxwxNi2D0TqnoaVCW_PZdMMLZ3m1YibmRP0EJCDoRJ-9TFeAYu8D45ktQeZ4o_VBNKWR6j5AfZbo-Gn22QSXGnmIQzXo9_TajFA-XpIvM1HYovNVO9HGoSlNVxVOxaF_KLTLX1vZmO72Y2JSudTteMQONZkntBja2Bi8ZQpcyY2z3O26PlyDYPFJuDheJfUwPniQ1gLgmgGCgZBma7cHX_wRLQabk9UXIpZEdMBtga4S6SQvKlSS0ESPf99hRyytB1p59yhU-VaERri5Bk.X_YGODiuex47LNU8JmgGCf3GcjrjUcYgk0i6swD9kcQ%26dib_tag%3Dse%26keywords%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26qid%3D1776063597%26sprefix%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%252Caps%252C443%26sr%3D8-2-spons%26aref%3DtgHyPnjTG3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=tgHyPnjTG3&sp_cr=ZAZ
shelf liners for kitchen shelves,1,3,3,B0831486NM,"ElastPro EVA Food Grade Washable Anti Slip Mat/Sheet for Fridge, Shelf Liner, Table, Kitchen Drawer mat (Diamond Clear, ",5K+ bought in past month,₹398,4.3 out of 5 stars,7,True,,,,"7,010",5K+,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDYxNTk4ODY4NjAyMTYwOjE3NzYwNjM1OTg6c3BfYXRmOjMwMDE3MDY2NDQxMjUzMjo6MDo6&url=%2FElastPro-Multipurpose-Bathroom-Kitchen-Transparent%2Fdp%2FB0831486NM%2Fref%3Dsr_1_3_sspa%3Fcrid%3D11VQBCQCKA5ZW%26dib%3DeyJ2IjoiMSJ9.6hsbt1ipbwbVfDlYP2gGJGmfqvxwxNi2D0TqnoaVCW_PZdMMLZ3m1YibmRP0EJCDoRJ-9TFeAYu8D45ktQeZ4o_VBNKWR6j5AfZbo-Gn22QSXGnmIQzXo9_TajFA-XpIvM1HYovNVO9HGoSlNVxVOxaF_KLTLX1vZmO72Y2JSudTteMQONZkntBja2Bi8ZQpcyY2z3O26PlyDYPFJuDheJfUwPniQ1gLgmgGCgZBma7cHX_wRLQabk9UXIpZEdMBtga4S6SQvKlSS0ESPf99hRyytB1p59yhU-VaERri5Bk.X_YGODiuex47LNU8JmgGCf3GcjrjUcYgk0i6swD9kcQ%26dib_tag%3Dse%26keywords%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26qid%3D1776063597%26sprefix%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%252Caps%252C443%26sr%3D8-3-spons%26aref%3DgSlqOFTGki%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=gSlqOFTGki&sp_cr=ZAZ
shelf liners for kitchen shelves,1,4,4,B0CJJP2RLH,"EASYHOME Multipurpose EVA Anti-Slip Mat (45m x 1.5 Meter, Grey Lines) – Waterproof, Washable Shelf Liner Roll Sheet for ",M.R.P:,₹177,4.2 out of 5 stars,13,True,,,,"1,302",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDYxNTk4ODY4NjAyMTYwOjE3NzYwNjM1OTg6c3BfYXRmOjMwMTAyODQ4NzYwNDkzMjo6MDo6&url=%2FEASYHOME-Multipurpose-Anti-Slip-Meter-Lines%2Fdp%2FB0CJJP2RLH%2Fref%3Dsr_1_4_sspa%3Fcrid%3D11VQBCQCKA5ZW%26dib%3DeyJ2IjoiMSJ9.6hsbt1ipbwbVfDlYP2gGJGmfqvxwxNi2D0TqnoaVCW_PZdMMLZ3m1YibmRP0EJCDoRJ-9TFeAYu8D45ktQeZ4o_VBNKWR6j5AfZbo-Gn22QSXGnmIQzXo9_TajFA-XpIvM1HYovNVO9HGoSlNVxVOxaF_KLTLX1vZmO72Y2JSudTteMQONZkntBja2Bi8ZQpcyY2z3O26PlyDYPFJuDheJfUwPniQ1gLgmgGCgZBma7cHX_wRLQabk9UXIpZEdMBtga4S6SQvKlSS0ESPf99hRyytB1p59yhU-VaERri5Bk.X_YGODiuex47LNU8JmgGCf3GcjrjUcYgk0i6swD9kcQ%26dib_tag%3Dse%26keywords%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26qid%3D1776063597%26sprefix%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%252Caps%252C443%26sr%3D8-4-spons%26aref%3D1FzddDWZ27%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=1FzddDWZ27&sp_cr=ZAZ
shelf liners for kitchen shelves,1,5,5,B0831486NM,"ElastPro EVA Food Grade Washable Anti Slip Mat/Sheet for Fridge, Shelf Liner, Table, Kitchen Drawer mat (Diamond Clear, ",5K+ bought in past month,₹398,4.3 out of 5 stars,7,False,,,,,,https://www.amazon.in/ElastPro-Multipurpose-Bathroom-Kitchen-Transparent/dp/B0831486NM/ref=sr_1_5?crid=11VQBCQCKA5ZW&dib=eyJ2IjoiMSJ9.6hsbt1ipbwbVfDlYP2gGJGmfqvxwxNi2D0TqnoaVCW_PZdMMLZ3m1YibmRP0EJCDoRJ-9TFeAYu8D45ktQeZ4o_VBNKWR6j5AfZbo-Gn22QSXGnmIQzXo9_TajFA-XpIvM1HYovNVO9HGoSlNVxVOxaF_KLTLX1vZmO72Y2JSudTteMQONZkntBja2Bi8ZQpcyY2z3O26PlyDYPFJuDheJfUwPniQ1gLgmgGCgZBma7cHX_wRLQabk9UXIpZEdMBtga4S6SQvKlSS0ESPf99hRyytB1p59yhU-VaERri5Bk.X_YGODiuex47LNU8JmgGCf3GcjrjUcYgk0i6swD9kcQ&dib_tag=se&keywords=shelf+liners+for+kitchen+shelves&qid=1776063597&sprefix=shelf+liners+for+kitchen+shelves%2Caps%2C443&sr=8-5
shelf liners for kitchen shelves,1,6,6,B09VC32SHV,"by Trendy Home Anti-Slip Mat for Kitchen (45 cm x 5 m), Food Grade & Washable, Mat for Fridge, Shelves, Cupboards, EVA S",2K+ bought in past month,₹399,4.3 out of 5 stars,29,False,,,,,,https://www.amazon.in/Senego-Anti-Slip-Kitchens-Anti-Microbial-Resistant/dp/B09VC32SHV/ref=sr_1_6?crid=11VQBCQCKA5ZW&dib=eyJ2IjoiMSJ9.6hsbt1ipbwbVfDlYP2gGJGmfqvxwxNi2D0TqnoaVCW_PZdMMLZ3m1YibmRP0EJCDoRJ-9TFeAYu8D45ktQeZ4o_VBNKWR6j5AfZbo-Gn22QSXGnmIQzXo9_TajFA-XpIvM1HYovNVO9HGoSlNVxVOxaF_KLTLX1vZmO72Y2JSudTteMQONZkntBja2Bi8ZQpcyY2z3O26PlyDYPFJuDheJfUwPniQ1gLgmgGCgZBma7cHX_wRLQabk9UXIpZEdMBtga4S6SQvKlSS0ESPf99hRyytB1p59yhU-VaERri5Bk.X_YGODiuex47LNU8JmgGCf3GcjrjUcYgk0i6swD9kcQ&dib_tag=se&keywords=shelf+liners+for+kitchen+shelves&qid=1776063597&sprefix=shelf+liners+for+kitchen+shelves%2Caps%2C443&sr=8-6
shelf liners for kitchen shelves,1,7,7,B0DLG1WQD7,"(45 cm x 3 M Roll) Anti Slip Drawer Mats for Kitchen Shelf Liners for Kitchen Shelves, Sheet for Fridge, Kitchens, Cabin",1K+ bought in past month,₹293,4.5 out of 5 stars,806,False,,,,,,https://www.amazon.in/Niwlix-Kitchen-Kitchens-Cupboard-Wardrobe/dp/B0DLG1WQD7/ref=sr_1_7?crid=11VQBCQCKA5ZW&dib=eyJ2IjoiMSJ9.6hsbt1ipbwbVfDlYP2gGJGmfqvxwxNi2D0TqnoaVCW_PZdMMLZ3m1YibmRP0EJCDoRJ-9TFeAYu8D45ktQeZ4o_VBNKWR6j5AfZbo-Gn22QSXGnmIQzXo9_TajFA-XpIvM1HYovNVO9HGoSlNVxVOxaF_KLTLX1vZmO72Y2JSudTteMQONZkntBja2Bi8ZQpcyY2z3O26PlyDYPFJuDheJfUwPniQ1gLgmgGCgZBma7cHX_wRLQabk9UXIpZEdMBtga4S6SQvKlSS0ESPf99hRyytB1p59yhU-VaERri5Bk.X_YGODiuex47LNU8JmgGCf3GcjrjUcYgk0i6swD9kcQ&dib_tag=se&keywords=shelf+liners+for+kitchen+shelves&qid=1776063597&sprefix=shelf+liners+for+kitchen+shelves%2Caps%2C443&sr=8-7
shelf liners for kitchen shelves,1,8,8,B0CJR94LNG,"EASYHOME Multipurpose EVA Anti-Slip Mat (45cm x 1.5 Meter, Clear Lines) – Waterproof, Washable Shelf Liner Roll Sheet fo",M.R.P:,₹177,4.2 out of 5 stars,13,False,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTM3Mjk4MTg2MDUwODY6MTc3NjA2MzU5ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAxMDI4NDg3NjA0ODMyOjowOjo&url=%2FEASYHOME-Multipurpose-Anti-Slip-Meter-Lines%2Fdp%2FB0CJR94LNG%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D11VQBCQCKA5ZW%26cv_ct_cx%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26keywords%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26pd_rd_i%3DB0CJR94LNG%26pd_rd_r%3D7abe6b6e-3777-49ca-8f71-7a4fc4e32230%26pd_rd_w%3DPUa9H%26pd_rd_wg%3DpBmwe%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D3GJ220FVBRDDETV6A4GH%26qid%3D1776063597%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%252Caps%252C443%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3D0AL9vAbGYB%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=0AL9vAbGYB&sp_cr=ZAZ
shelf liners for kitchen shelves,1,9,9,B09VC32SHV,"by Trendy Home Anti-Slip Mat for Kitchen (45 cm x 5 m), Food Grade & Washable, Mat for Fridge, Shelves, Cupboards, EVA S",2K+ bought in past month,₹399,4.3 out of 5 stars,29,False,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTM3Mjk4MTg2MDUwODY6MTc3NjA2MzU5ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNDMzOTA2NzAyNDMyOjoxOjo&url=%2FSenego-Anti-Slip-Kitchens-Anti-Microbial-Resistant%2Fdp%2FB09VC32SHV%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D11VQBCQCKA5ZW%26cv_ct_cx%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26keywords%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26pd_rd_i%3DB09VC32SHV%26pd_rd_r%3D7abe6b6e-3777-49ca-8f71-7a4fc4e32230%26pd_rd_w%3DPUa9H%26pd_rd_wg%3DpBmwe%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D3GJ220FVBRDDETV6A4GH%26qid%3D1776063597%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%252Caps%252C443%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DtgHyPnjTG3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=tgHyPnjTG3&sp_cr=ZAZ
shelf liners for kitchen shelves,1,10,10,B0G7YXCRFH,"DALUCI Anti Slip Fridge Mat & Shelf Liner Roll – EVA Food Grade Washable Refrigerator Mat for Kitchen Drawer, Shelf, Cup",100+ bought in past month,₹396,4.4 out of 5 stars,23,False,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTM3Mjk4MTg2MDUwODY6MTc3NjA2MzU5ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwOTQ3NTU4MTY1OTMyOjoyOjo&url=%2FDALUCI-Anti-Fridge-Shelf-Liner%2Fdp%2FB0G7YXCRFH%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D11VQBCQCKA5ZW%26cv_ct_cx%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26keywords%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%26pd_rd_i%3DB0G7YXCRFH%26pd_rd_r%3D7abe6b6e-3777-49ca-8f71-7a4fc4e32230%26pd_rd_w%3DPUa9H%26pd_rd_wg%3DpBmwe%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D3GJ220FVBRDDETV6A4GH%26qid%3D1776063597%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dshelf%2Bliners%2Bfor%2Bkitchen%2Bshelves%252Caps%252C443%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DPFyTH6b0ed%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=PFyTH6b0ed&sp_cr=ZAZ
