title,views,views_raw
TALKING WHILE OUR MOUTHS ARE FULL😏😂 | SOME CHANNEL MUKBANG,98,98 views
Trumpets Challenge feat. Gina & the Trumpettes,328,328 views
EDI WOW MOMENTS #1: SCHOOL [NEW SERIES],262,262 views
GCVD # 02: #NERVOUSJEBS,266,266 views
GCVD # 01 - College Orientation,121,121 views
NEW SERIES!!!,62,62 views
#CAMSCAPADE: BAGUIO (DAY 2),48,48 views
#CAMSCAPADE: BAGUIO (DAY 1),105,105 views
#CAMSCAPADE: BORACAY,66,66 views
Dear Future Me,73,73 views
#PhanPHSupportGroup,47,47 views
HELLO COLLEGE?!,73,73 views
Truth or Dare,55,55 views
Some Reviews,62,62 views
THINGS TO DO DURING CLASS SUSPENSIONS,63,63 views
Hugot Sessions: The Friend Zone,689,689 views
Fanfest Rewind,41,41 views
MY GOOGLE SEARCH HISTORY,46,46 views
The OTP Challenge,54,54 views
I React To Some Of My First Tweets,78,78 views
I WAS A CHEERLEADER?!,60,60 views
OTAKU CONFESSIONS,53,53 views
Types of Teenagers,70,70 views
THERE ARE 2 TYPES OF PEOPLE,68,68 views
The Humming Challenge with Bena,61,61 views
My Boyfriend Does My Makeup Challenge,185,185 views
IDK the Future of some channel,56,56 views
REACTING TO CHARLIE THE UNICORN (ft. Gian and Jomar),384,384 views
BLIND TASTE TEST + A Very Special Message,52,52 views
HI! MY NAME'S GINA!,159,159 views
LYRIC BREAKDOWN + A Special Message to Joey Graceffa,72,72 views
Best Friend vs Best Friend Challenge,74,74 views
"PART 2 - Questions, Dares, et cetera",49,49 views
"Questions, Dares, et cetera - PART 1",76,76 views
13 REASONS WHY IT'S GOOD TO BE SHORT,584,584 views
Guess the Title with Mags and Jomar,94,94 views
SUPPORTIVE SARCASM,81,81 views
What's in my Secret Box?,1200,1.2k views
Gian: Youtube Whispers with Majah + Athena,80,80 views
We Try To Guess the Meanings of Foreign Words,246,246 views
REACTING TO SOME VIDEOS (ft. Bena and Agatha),473,473 views
INNUENDO BINGO WITH JENNINA AND AGATHA,132,132 views
We Have No WiFi And I Am Trying To Keep My Sanity,225,225 views
I WOKE UP AT 5 AM FOR THIS,142,142 views
REMINISCING MY CHILDHOOD,142,142 views
"My Life Goals, Which Most Probably, Won't Happen",169,169 views
Summer 2015,223,223 views
"Intro to Gian and the Abuse to the Phrase ""I Like""",417,417 views
